date, pm25, pm10, o3, no2, so2, co
2021/4/1, 102, 110, 38, 22, 20, 7
2021/4/2, 127, 114, 59, 28, 19, 9
2021/4/3, 135, 112, 52, 27, 23, 6
2021/4/4, 139, 150, 74, 30, 24, 9
2021/4/5, 159, 193, 105, 28, 23, 6
2021/4/6, 186, 157, 59, 18, 15, 3
2021/4/7, 146, 101, 47, 24, 18, 8
2021/4/8, 122, 113, 50, 27, 16, 7
2021/4/9, 123, 118, 62, 30, 19, 7
2021/4/10, 137, 127, 56, 31, 25, 8
2021/4/11, 143, 175, 58, 29, 21, 7
2021/4/12, 170, 173, 52, 28, 22, 6
2021/4/13, 169, 129, 44, 23, 17, 5
2021/4/14, 137, 158, 50, 27, 18, 6
2021/4/15, 155, 282, 8, 24, 15, 7
2021/4/16, 135, 71, 28, 17, 11, 5
2021/4/17, 101, 110, 60, 15, 17, 7
2021/4/18, 147, 145, 47, 24, 15, 8
2021/4/19, 133, 144, 51, 15, 21, 4
2021/4/20, 135, 76, 41, 11, 13, 3
2021/4/21, 118, 86, 60, 13, 14, 7
2021/4/22, 119, 84, 35, 12, 17, 4
2021/4/23, 127, , , , , 
2021/3/1, 165, 119, 37, 16, 17, 10
2021/3/2, 141, 174, 41, 27, 23, 17
2021/3/3, 181, 231, 65, 37, 21, 16
2021/3/4, 224, 143, 35, 22, 18, 6
2021/3/5, 173, 145, 40, 23, 19, 15
2021/3/6, 176, 185, 55, 28, 22, 10
2021/3/7, 198, 145, 41, 21, 17, 12
2021/3/8, 175, 191, 29, 22, 17, 9
2021/3/9, 189, 108, 51, 25, 17, 10
2021/3/10, 138, 144, 40, 28, 22, 12
2021/3/11, 175, 118, 26, 23, 16, 5
2021/3/12, 141, 154, 34, 25, 22, 12
2021/3/13, 191, 117, 37, 21, 24, 9
2021/3/14, 169, 138, 28, 22, 16, 7
2021/3/15, 161, 203, 20, 22, 17, 7
2021/3/16, 180, 236, 32, 25, 18, 8
2021/3/17, 181, 245, 40, 28, 17, 7
2021/3/18, 183, 177, 39, 30, 19, 6
2021/3/19, 173, 178, 40, 28, 21, 8
2021/3/20, 191, 204, 40, 27, 20, 8
2021/3/21, 199, 153, 26, 22, 17, 10
2021/3/22, 151, 196, 16, 21, 16, 4
2021/3/23, 132, 131, 41, 20, 17, 4
2021/3/24, 157, 88, 26, 16, 14, 5
2021/3/25, 88, 96, 30, 21, 18, 8
2021/3/26, 142, 166, 30, 30, 20, 10
2021/3/27, 179, 134, 33, 25, 15, 6
2021/3/28, 162, , , , , 
2021/3/30, 153, 117, 24, 18, 14, 2
2021/3/31, 75, 128, 38, 16, 15, 3
2021/2/1, 347, 311, 37, 44, 13, 16
2021/2/2, 318, 189, 25, 28, 8, 11
2021/2/3, 254, 135, 11, 19, 6, 5
2021/2/4, 211, 99, 20, 21, 9, 8
2021/2/5, 155, 111, 21, 20, 10, 7
2021/2/6, 178, 136, 23, 21, 11, 9
2021/2/7, 208, 220, 23, 25, 13, 10
2021/2/8, 265, 209, 15, 33, 11, 17
2021/2/9, 207, 284, 35, 30, 11, 14
2021/2/10, 278, 183, 26, 27, 12, 11
2021/2/11, 237, 265, 34, 27, 11, 14
2021/2/12, 291, 220, 38, 29, 10, 20
2021/2/13, 253, 256, 27, 32, 10, 14
2021/2/14, 286, 155, 41, 26, 8, 11
2021/2/15, 204, 200, 57, 33, 12, 11
2021/2/16, 238, 233, 49, 31, 9, 13
2021/2/17, 254, 202, 49, 30, 9, 13
2021/2/18, 227, 214, 27, 32, 10, 14
2021/2/19, 247, 139, 28, 24, 14, 14
2021/2/20, 199, 187, 39, 29, 16, 15
2021/2/21, 255, 185, 34, 27, 15, 18
2021/2/22, 228, 212, 34, 31, 17, 20
2021/2/23, 209, 318, 37, 31, 25, 32
2021/2/24, 247, 244, 29, 31, 19, 12
2021/2/25, 224, 185, 27, 24, 21, 15
2021/2/26, 193, 139, 25, 23, 15, 8
2021/2/27, 143, 137, 41, 22, 18, 7
2021/2/28, 154, 132, 38, 24, 19, 9
2021/1/4, 229, 62, 7, 16, 10, 17
2021/1/5, 375, 112, 23, 16, 9, 13
2021/1/11, 200, 172, 16, 23, 8, 17
2021/1/12, 245, 232, 24, 26, 8, 14
2021/1/13, 283, 429, 14, 31, 8, 19
2021/1/14, 434, 550, 18, 39, 10, 27
2021/1/15, 499, 222, 8, 30, 7, 13
2021/1/16, 311, 176, 17, 20, 9, 17
2021/1/17, 293, 259, 17, 24, 10, 25
2021/1/18, 317, 253, 9, 20, 8, 9
2021/1/19, 313, 130, 13, 19, 8, 14
2021/1/20, 209, 177, 23, 24, 9, 22
2021/1/21, 243, 283, 13, 26, 8, 22
2021/1/22, 353, 140, 18, 20, 8, 11
2021/1/23, 234, 229, 5, 21, 8, 14
2021/1/24, 300, 164, 16, 19, 8, 16
2021/1/25, 234, 210, 27, 25, 8, 10
2021/1/26, 271, 201, 25, 29, 11, 15
2021/1/27, 261, 309, 22, 32, 13, 19
2021/1/28, 341, 265, 29, 31, 9, 13
2021/1/29, 308, 190, 20, 33, 12, 11
2021/1/30, 251, 260, 37, 35, 10, 18
2021/1/31, 289, 353, 36, 42, 10, 19
2020/10/1, 146, 126, 36, 14, 4, 7
2020/10/2, 161, 118, 34, 15, 7, 7
2020/10/3, 156, 124, 39, 17, 7, 7
2020/10/4, 160, 123, 36, 17, 5, 7
2020/10/5, 151, 131, 36, 20, 8, 8
2020/10/6, 158, 140, 44, 20, 8, 8
2020/10/7, 172, 136, 45, , 10, 8
2020/10/8, 170, 138, 43, 17, 10, 8
2020/10/9, 171, 136, 44, 18, 10, 8
2020/10/10, 173, 134, 43, 17, 11, 9
2020/10/11, 175, 211, 55, 33, 10, 13
2020/10/12, 212, 189, 45, 19, 7, 13
2020/10/13, 218, 171, 32, , 6, 12
2020/10/14, 215, 200, 36, , 10, 9
2020/10/15, 222, 182, 33, , 10, 12
2020/10/16, 204, 183, 40, 23, 10, 11
2020/10/17, 212, 140, 36, 18, 11, 8
2020/10/18, 178, 163, 42, 19, 12, 8
2020/10/19, 200, 161, 38, 19, 12, 11
2020/10/20, 185, 182, 33, 20, 8, 17
2020/10/21, 189, 300, 32, 26, 12, 17
2020/10/22, 242, 337, 37, 22, 11, 15
2020/10/23, 234, 258, 14, 22, 11, 19
2020/10/24, 248, 260, 20, 23, 10, 21
2020/10/25, 269, 257, 22, 21, 11, 16
2020/10/26, 266, 177, 23, 17, 10, 12
2020/10/27, 239, 190, 34, 20, 10, 9
2020/10/28, 239, 345, 68, 54, 11, 20
2020/10/29, 217, 286, 51, 39, 12, 14
2020/10/30, 220, 309, 50, 29, 14, 13
2020/10/31, 201, 330, 56, 32, 15, 14
2020/11/1, 203, 226, 48, 31, 13, 17
2020/11/2, 238, 224, 31, 37, 12, 18
2020/11/3, 220, 465, 18, 45, 13, 21
2020/11/4, 298, 377, 33, 37, 17, 19
2020/11/5, 238, 371, 27, 36, 15, 17
2020/11/6, 252, 437, 38, 33, 14, 21
2020/11/7, 240, 453, 37, 37, 14, 20
2020/11/8, 318, 702, 26, 43, 13, 21
2020/11/10, 244, 314, 30, 32, 14, 22
2020/11/11, 205, 297, 43, 37, 11, 20
2020/11/12, 226, 356, 51, 43, 11, 17
2020/11/13, 221, 602, 55, 51, 14, 18
2020/11/14, 573, 357, 49, 34, 21, 9
2020/11/15, 348, 95, 27, 20, 8, 6
2020/11/16, 185, 95, 30, 24, 9, 6
2020/11/17, 165, 125, 47, 28, 8, 8
2020/11/18, 198, 156, 53, 35, 10, 8
2020/11/19, 227, 160, 48, 30, 11, 7
2020/11/20, 240, 134, 41, 27, 11, 7
2020/11/21, 196, 161, 43, 32, 11, 11
2020/11/22, 231, 306, 49, 45, 11, 21
2020/11/23, 309, 375, 46, 50, 9, 20
2020/11/24, 369, 415, 48, 43, 14, 13
2020/11/25, 418, 123, 27, 19, 7, 35
2020/11/26, 188, 98, 28, 22, 8, 29
2020/11/27, 169, 125, 37, 27, 9, 13
2020/11/28, 204, 183, 53, 30, 10, 24
2020/11/29, 237, 228, 48, 34, 9, 24
2020/11/30, 288, 316, 49, 39, 8, 25
2020/12/1, 362, 223, 46, 34, 10, 19
2020/12/2, 327, 247, 51, 37, 9, 22
2020/12/3, 302, 373, 65, 45, 9, 24
2020/12/4, 385, 292, 55, 35, 8, 17
2020/12/5, 369, 260, 50, 33, 5, 15
2020/12/6, 355, 299, 33, 32, 11, 23
2020/12/7, 384, 269, 45, 37, 13, 27
2020/12/8, 323, 309, 30, 41, 14, 25
2020/12/9, 309, 171, 22, 31, 10, 19
2020/12/10, 214, 182, 13, 38, 10, 19
2020/12/11, 242, 235, 7, 24, 9, 
2020/12/12, 332, 125, 19, 18, 10, 
2020/12/13, 204, 105, 25, 16, 13, 13
2020/12/14, 181, 124, 24, 20, 20, 13
2020/12/15, 198, 121, 20, 23, 10, 9
2020/12/16, 190, 126, 22, 21, 10, 21
2020/12/17, 205, 135, 31, 27, 12, 22
2020/12/18, 204, 148, 30, 31, 9, 16
2020/12/19, 214, 180, 22, 37, 10, 19
