date, pm25, pm10, o3, no2, so2, co
2021/4/1, 123, 67, 8, 2, 7, 5
2021/4/2, 110, 54, 8, 2, 14, 6
2021/4/3, 87, 57, 7, 1, 8, 5
2021/4/4, 89, 69, 7, 2, 7, 5
2021/4/5, 111, 85, 11, 3, 23, 7
2021/4/6, 130, 50, 10, 3, 20, 7
2021/4/7, 77, 41, 9, 2, 7, 4
2021/4/8, 67, 49, 8, 1, 14, 4
2021/4/9, 78, 56, 8, , 13, 3
2021/4/10, 87, 62, 7, , 7, 4
2021/4/11, 99, 76, 8, 1, 8, 3
2021/4/12, 127, 76, 8, 2, 7, 3
2021/4/13, 126, 88, 7, 2, 8, 3
2021/4/14, 141, 89, 7, 1, 7, 1
2021/4/15, 143, 74, 6, 6, 19, 5
2021/4/16, 119, 62, 10, 2, 7, 3
2021/4/17, 99, 71, 9, 2, 7, 4
2021/4/18, 115, 83, 9, 3, 7, 3
2021/4/19, 133, 77, 6, 3, 8, 3
2021/4/20, 126, , , , , 
2021/3/1, 132, 72, 14, 15, 7, 4
2021/3/2, 136, 77, 7, 12, 6, 5
2021/3/3, 138, 76, 8, 10, 7, 5
2021/3/4, 133, 63, 9, 10, 10, 5
2021/3/5, 142, 21, 7, 11, 11, 6
2021/3/6, 154, 90, 12, 7, 6, 4
2021/3/7, 117, 75, 16, 7, 5, 5
2021/3/8, 123, 100, 14, 7, 5, 7
2021/3/9, 161, 84, 15, 7, 5, 6
2021/3/10, 157, 80, 13, 7, 5, 5
2021/3/11, 148, 64, 9, 7, 5, 3
2021/3/12, 96, 53, 9, 23, 4, 3
2021/3/13, 91, 58, 10, 15, 5, 4
2021/3/14, 108, 70, 11, 9, 4, 3
2021/3/15, 134, 83, 9, 5, 5, 3
2021/3/16, 156, 145, 8, 8, 5, 5
2021/3/17, 161, 103, 9, 8, 5, 3
2021/3/18, 176, 62, 10, 9, 14, 2
2021/3/19, 152, 83, 10, 15, 5, 4
2021/3/20, 148, 87, 10, 15, 5, 4
2021/3/21, 147, 54, 7, 15, 16, 2
2021/3/22, 87, 63, 6, 9, 5, 2
2021/3/23, 94, 53, 7, 2, 20, 2
2021/3/24, 100, 35, 7, 2, 13, 3
2021/3/25, 77, 60, 9, 2, 9, 5
2021/3/26, 99, 64, 11, 2, 7, 4
2021/3/27, 120, 69, 10, 3, 7, 4
2021/3/28, 112, 99, 8, 3, 7, 5
2021/3/29, 152, 97, 10, 3, 12, 5
2021/3/30, 153, 95, 9, 3, 7, 5
2021/3/31, 138, 74, 7, 2, 7, 4
2021/2/1, 152, 92, 9, 30, 6, 6
2021/2/2, 157, 99, 8, 24, 7, 8
2021/2/3, 164, 70, 6, 8, 7, 5
2021/2/4, 117, 45, 7, 10, 5, 3
2021/2/5, 82, 60, 8, 11, 22, 5
2021/2/6, 115, 82, 9, 13, 27, 7
2021/2/7, 146, 96, 9, 10, 3, 6
2021/2/8, 154, 84, 8, 10, 4, 6
2021/2/9, 144, 104, 11, 10, 5, 7
2021/2/10, 157, 112, 10, 10, 6, 10
2021/2/11, 156, 95, 12, 10, 7, 9
2021/2/12, 164, 79, 7, 10, 5, 7
2021/2/13, 143, 81, 10, 11, 5, 7
2021/2/14, 152, 70, 9, 10, 4, 7
2021/2/15, 136, 71, 10, 10, 5, 8
2021/2/16, 131, 74, 9, 10, 11, 10
2021/2/17, 132, 72, 7, 10, 17, 11
2021/2/18, 148, 66, 9, 11, 21, 10
2021/2/19, 134, 90, 11, 15, 6, 10
2021/2/20, 161, 95, 10, 15, 6, 10
2021/2/21, 171, 80, 10, 15, 6, 7
2021/2/22, 160, 80, 13, 15, 6, 6
2021/2/23, 155, 81, 9, 15, 88, 6
2021/2/24, 158, 76, 8, 15, 6, 7
2021/2/25, 141, 94, 9, 15, 9, 7
2021/2/26, 149, 79, 12, 15, 9, 3
2021/2/27, 148, 66, 18, 15, 8, 3
2021/2/28, 131, 72, 18, 15, 7, 4
2021/1/4, 108, 43, 9, 27, 23, 3
2021/1/5, 40, 35, 7, 26, 23, 4
2021/1/6, 70, 38, 10, 22, 12, 4
2021/1/7, 82, 59, 10, 24, 7, 6
2021/1/8, 120, 60, 9, 26, 11, 6
2021/1/9, 121, 55, 11, 28, 7, 4
2021/1/10, 109, 64, 8, 28, 7, 7
2021/1/11, 112, 76, 9, 26, 6, 10
2021/1/12, 139, 79, 9, 27, 5, 10
2021/1/13, 139, 75, 8, 25, 12, 9
2021/1/14, 133, 66, 9, 30, 8, 9
2021/1/15, 126, 61, 5, 26, 7, 8
2021/1/16, 115, 71, 7, 29, 5, 8
2021/1/17, 127, 90, 6, 27, 8, 10
2021/1/18, 160, 64, 4, 26, 21, 9
2021/1/19, 113, 64, 6, 28, 6, 8
2021/1/20, 110, 84, 7, 24, 6, 10
2021/1/21, 135, 98, 8, 25, 7, 11
2021/1/22, 164, 88, 5, 23, 6, 9
2021/1/23, 156, 75, 3, 31, 6, 9
2021/1/24, 141, 105, 6, 25, 4, 8
2021/1/25, 144, 105, 8, 26, 6, 7
2021/1/26, 171, 100, 9, 30, 6, 8
2021/1/27, 162, 159, 10, 34, 6, 9
2021/1/28, 169, 100, 9, 38, 6, 9
2021/1/29, 169, 94, 8, 25, 5, 6
2021/1/30, 152, 100, 9, 34, 5, 8
2021/1/31, 159, 86, 9, 30, 11, 5
2020/10/1, 101, 102, 28, 7, 42, 7
2020/10/2, 129, 91, 30, 8, 15, 7
2020/10/3, 124, 95, 31, 8, 16, 7
2020/10/4, 124, 110, 28, 10, 23, 7
2020/10/5, 138, 98, 23, 14, 38, 7
2020/10/6, 129, 92, 21, 12, 25, 7
2020/10/7, 126, 98, 24, 12, 16, 7
2020/10/8, 128, 98, 30, 11, 12, 6
2020/10/9, 125, 103, 26, 13, 8, 7
2020/10/10, 130, 107, 23, 16, 24, 8
2020/10/11, 144, 107, 26, 16, 8, 8
2020/10/12, 143, 110, 37, 14, 9, 9
2020/10/13, 152, 117, 51, 13, 4, 8
2020/10/14, 153, 114, 32, 14, 12, 8
2020/10/15, 153, 101, 35, 12, 10, 7
2020/10/16, 141, 130, 43, 15, 11, 9
2020/10/17, 164, 111, 33, 22, 9, 9
2020/10/18, 155, 111, 38, 17, 11, 8
2020/10/19, 151, 120, 34, 21, 9, 11
2020/10/20, 159, 121, 35, 20, 8, 10
2020/10/21, 161, 120, 38, 20, 8, 10
2020/10/22, 161, 173, 39, 20, 9, 12
2020/10/23, 184, 151, 39, 20, 23, 11
2020/10/24, 181, 185, 33, 20, 25, 15
2020/10/25, 182, 162, 31, 17, 20, 12
2020/10/26, 179, 142, 39, 15, 25, 9
2020/10/27, 152, 165, 41, 19, 18, 11
2020/10/28, 183, 213, 40, 19, 18, 13
2020/10/29, 213, 252, 32, 19, 21, 14
2020/10/30, 215, 148, 32, 15, 18, 9
2020/10/31, 168, 142, 31, 17, 17, 8
2020/11/1, 170, 153, 29, 17, 18, 11
2020/11/2, 177, 190, 32, 20, 16, 11
2020/11/3, 187, 235, 22, 31, 22, 12
2020/11/4, 213, 169, 34, 28, 23, 12
2020/11/5, 195, 267, 35, 26, 22, 15
2020/11/6, 235, 310, 48, 30, 25, 18
2020/11/7, 248, , , , , 
2020/11/9, 256, 289, 40, 26, 30, 15
2020/11/10, 235, 245, 41, 23, 28, 14
2020/11/11, 218, 252, 31, 19, 30, 14
2020/11/12, 223, 295, 26, 22, 31, 15
2020/11/13, 228, 522, 23, 23, 28, 27
