date, pm25, pm10, o3, no2, so2, co
2021/4/1, 119, 88, 19, 18, 4, 3
2021/4/2, 129, 94, 65, 19, 8, 4
2021/4/3, 148, 93, 70, 22, 1, 5
2021/4/4, 157, 136, 45, 25, 6, 8
2021/4/5, 170, 206, 91, 24, 3, 12
2021/4/6, 202, 105, 74, 19, 25, 5
2021/4/7, 161, 80, 71, 16, 4, 3
2021/4/8, 133, 83, 72, 13, 3, 3
2021/4/9, 131, 88, 256, 14, 3, 4
2021/4/10, 137, 99, 256, 14, 20, 4
2021/4/11, 154, 105, 246, 15, 4, 5
2021/4/12, 158, 123, 41, 8, 5, 2
2021/4/13, 154, 117, 31, 11, 8, 4
2021/4/14, 156, 136, 36, 16, 13, 4
2021/4/15, 166, 175, 23, 20, 12, 6
2021/4/16, 176, 84, 27, 14, 7, 4
2021/4/17, 145, 86, 36, 13, 3, 3
2021/4/18, 136, 105, 95, 12, 15, 3
2021/4/19, 155, 99, 26, 11, 42, 4
2021/4/20, 145, , , , , 
2021/3/1, 144, 94, 36, 7, 3, 3
2021/3/2, 128, 87, 34, 8, 2, 4
2021/3/3, 138, 128, 37, 14, 5, 8
2021/3/4, 171, 92, 34, 9, 3, 5
2021/3/5, 153, 78, 40, 1, 10, 3
2021/3/6, 153, 124, 17, 8, 2, 7
2021/3/7, 183, 67, 28, 13, 2, 3
2021/3/8, 131, , , , , 
2021/3/11, 192, 110, 13, 12, 3, 7
2021/3/12, 174, 78, 23, 18, 15, 6
2021/3/13, 146, 74, 29, 19, 3, 3
2021/3/14, 147, 91, 32, 16, 3, 4
2021/3/15, 151, 123, 29, 18, 3, 4
2021/3/16, 155, 134, 33, 19, 3, 5
2021/3/17, 172, 162, 47, 20, 3, 6
2021/3/18, 195, 128, 43, 16, 5, 8
2021/3/19, 173, 103, 50, 16, 8, 5
2021/3/20, 160, 134, 56, 21, 114, 7
2021/3/21, 185, 100, 23, 22, 61, 5
2021/3/22, 153, 96, 77, 20, 7, 11
2021/3/23, 150, 99, 30, 20, 7, 5
2021/3/24, 152, 69, 35, 14, 26, 3
2021/3/25, 132, 74, 19, 10, 4, 4
2021/3/26, 148, 95, 23, 7, 3, 5
2021/3/27, 164, 138, 44, 15, 3, 9
2021/3/28, 182, 122, 44, 15, 7, 9
2021/3/29, 183, 123, 33, 19, 3, 7
2021/3/30, 174, 117, 4, 15, 3, 2
