date, pm25, pm10, o3, no2, so2, co
2021/4/1, 60, 41, 48, , 6, 4
2021/4/2, 59, 73, 62, 4, 76, 3
2021/4/3, 53, 79, 63, 2, 20, 5
2021/4/4, 66, 98, 62, , 18, 4
2021/4/5, 97, 130, 62, , 9, 6
2021/4/6, 61, 117, 53, , 15, 3
2021/4/7, 79, 65, 58, , 21, 4
2021/4/8, 56, 68, 57, , 4, 4
2021/4/9, 56, 71, 59, , 4, 3
2021/4/10, 71, 81, 62, , 4, 4
2021/4/11, 53, 106, 57, 6, 3, 4
2021/4/12, 83, 113, 54, 6, 2, 4
2021/4/13, 73, 105, 57, 6, 52, 4
2021/4/14, 94, 127, 35, 8, 11, 4
2021/4/15, 75, 159, 45, 5, 30, 3
2021/4/16, 98, 72, 77, 7, 216, 3
2021/4/17, 72, 92, 46, 4, 51, 5
2021/4/18, 68, 104, 52, 1, 1, 5
2021/4/19, 57, 120, 81, , 51, 4
2021/4/20, 57, , , , , 
2021/3/1, 59, 97, 62, 4, 1, 3
2021/3/2, 79, 80, 54, 6, , 3
2021/3/3, 66, 81, 14, 9, 34, 3
2021/3/4, 97, 94, 7, 6, , 5
2021/3/5, 78, 89, 9, 5, , 4
2021/3/6, 61, 110, 12, 6, , 6
2021/3/7, 64, 110, 16, 5, 26, 7
2021/3/8, 96, 113, 28, 4, 56, 6
2021/3/9, 110, 95, 63, 13, 2, 6
2021/3/10, 75, 105, 75, 4, , 6
2021/3/11, 77, 91, 84, 4, 17, 4
2021/3/12, 86, 90, 63, 5, 2, 5
2021/3/13, 81, 64, 45, 4, , 2
2021/3/14, 94, 88, 56, 2, 1, 4
2021/3/15, 79, 118, 57, 1, 1, 4
2021/3/16, 70, 133, 54, 1, 2, 4
2021/3/17, 83, 134, 47, 5, 1, 5
2021/3/18, 64, , , , , 
2021/3/24, 86, 68, 48, 2, 19, 3
2021/3/25, 58, 71, 57, , 1, 4
2021/3/26, 54, 92, 72, 2, 9, 4
2021/3/27, 75, 87, 65, 3, 1, 6
2021/3/28, 70, 133, 58, 1, 8, 5
2021/3/29, 65, 304, 94, 1, 20, 5
2021/3/30, 92, 103, 42, 2, 58, 6
2021/3/31, 78, 93, 46, 1, 5, 3
2021/2/1, 116, 112, 35, 12, 1, 7
2021/2/2, 101, 113, 24, 13, 24, 8
2021/2/3, 102, 71, 24, 9, 1, 4
2021/2/4, 85, 47, 27, 9, 8, 4
2021/2/5, 73, 68, 25, 8, 1, 4
2021/2/6, 76, 88, 26, 8, , 5
2021/2/7, 71, 94, 20, 14, 4, 5
2021/2/8, 111, 111, 22, 22, 13, 8
2021/2/9, 96, 118, 21, 23, , 9
2021/2/10, 82, 136, 32, 20, 36, 11
2021/2/11, 109, 117, 24, 20, 2, 9
2021/2/12, 99, 94, 30, 15, 12, 9
2021/2/13, 89, 95, 36, 12, , 9
2021/2/14, 74, 106, 35, 11, , 8
2021/2/15, 103, 166, 33, 2, 216, 6
2021/2/16, 214, 107, 37, 3, 211, 9
2021/2/17, 89, 95, 50, 2, 21, 8
2021/2/18, 93, 84, 54, , , 8
2021/2/19, 66, 76, 55, , 11, 7
2021/2/20, 96, 98, 61, , 2, 7
2021/2/21, 68, 139, 68, , 126, 7
2021/2/22, 65, 120, 80, , , 8
2021/2/23, 61, 96, 44, 12, 216, 7
2021/2/24, 96, 100, 89, 8, 1, 4
2021/2/25, 87, 98, 98, 3, 7, 5
2021/2/26, 59, , , , , 
2021/1/4, 77, 93, 17, 13, 45, 4
2021/1/5, 98, 60, 32, 14, 27, 5
2021/1/6, 75, 67, 43, 12, 28, 11
2021/1/7, 83, 61, 210, 12, 15, 4
2021/1/8, 104, 82, 35, 8, 44, 4
2021/1/9, 130, 83, 39, 10, , 4
2021/1/10, 94, 78, 78, 10, 11, 6
2021/1/11, 92, 93, 42, 10, 1, 6
2021/1/12, 87, 109, 42, 12, 1, 8
2021/1/13, 102, 112, 43, 14, 20, 13
2021/1/14, 138, 110, 32, 12, 19, 9
2021/1/15, 132, 77, 34, 11, 1, 9
2021/1/16, 109, 86, 33, 11, 1, 9
2021/1/17, 97, 120, 31, 12, 3, 9
2021/1/18, 136, 86, 28, 12, 2, 9
2021/1/19, 112, 70, 36, 9, 55, 6
2021/1/20, 95, 97, 30, 9, , 7
2021/1/21, 73, 127, 27, 14, 9, 10
2021/1/22, 132, 84, 46, 9, 81, 8
2021/1/23, 119, 96, 37, 9, 212, 5
2021/1/24, 96, 122, 25, 12, 119, 6
2021/1/25, 119, 106, 29, 10, 2, 6
2021/1/26, 105, 116, 35, 8, , 5
2021/1/27, 87, 107, 35, 11, 9, 11
2021/1/28, 110, 113, 40, 9, 1, 7
2021/1/29, 78, 101, 41, 10, 15, 7
2021/1/30, 88, 101, 35, 12, 23, 9
2021/1/31, 106, 121, 26, 13, 12, 8
2020/10/1, 70, 82, 67, 4, 2, 4
2020/10/2, 65, 95, 51, 3, 13, 7
2020/10/3, 99, 76, 27, , 10, 4
2020/10/4, 61, 84, 27, 10, 8, 5
2020/10/5, 66, 83, 43, 8, 3, 4
2020/10/6, 76, 85, 56, 4, 2, 5
2020/10/7, 61, 79, 50, 5, 17, 6
2020/10/8, 67, 107, 44, 10, 32, 7
2020/10/9, 98, 92, 60, 3, 2, 6
2020/10/10, 69, 93, 61, , 2, 5
2020/10/11, 59, 93, 68, , 2, 6
2020/10/12, 69, 93, 70, , 3, 7
2020/10/13, 86, 93, 56, 7, 2, 6
2020/10/14, 98, 92, 53, 9, 7, 5
2020/10/15, 92, 99, 62, 9, 2, 7
2020/10/16, 79, 100, 66, 8, 2, 7
2020/10/17, 81, 127, 68, 8, 3, 8
2020/10/18, 101, 84, 57, 8, 26, 5
