date, pm25, pm10, o3, no2, so2, co
2021/4/1, 118, 186, 4, 5, 20, 10
2021/4/2, 99, 63, 4, 5, 4, 3
2021/4/3, 89, 67, 5, 5, 5, 3
2021/4/4, 94, 82, 13, 6, 5, 3
2021/4/5, 111, 121, 7, 5, 19, 5
2021/4/6, 137, 65, 13, 6, 1, 2
2021/4/7, 91, 58, 4, 5, 3, 2
2021/4/8, 74, 64, 3, 3, 4, 2
2021/4/9, 71, 94, 3, 1, 7, 2
2021/4/10, 89, 119, 4, 1, 7, 2
2021/4/11, 107, 158, 4, 1, 6, 2
2021/4/12, 127, 153, 4, 1, 6, 3
2021/4/13, 125, 151, 4, 2, 6, 3
2021/4/14, 137, 129, 4, 3, 5, 2
2021/4/15, 141, 184, 4, 4, 4, 2
2021/4/16, 135, 79, 6, 3, 3, 2
2021/4/17, 95, 172, 5, 3, 28, 3
2021/4/18, 138, 118, 5, 3, 5, 2
2021/4/19, 132, 121, 4, 4, 6, 1
2021/4/20, 135, , , , , 
2021/3/1, 130, 97, 7, 13, 4, 3
2021/3/2, 126, 92, 7, 13, 4, 2
2021/3/3, 141, 82, 8, 13, 6, 2
2021/3/4, 132, 95, 9, 13, 5, 3
2021/3/5, 137, 93, 7, 13, 5, 3
2021/3/6, 133, 89, 11, 13, 5, 4
2021/3/7, 132, 95, 11, 13, 4, 4
2021/3/8, 138, 120, 12, 13, 8, 6
2021/3/9, 165, 107, 8, 13, 4, 6
2021/3/10, 158, 103, 8, 14, 6, 4
2021/3/11, 156, 66, 5, 14, 2, 2
2021/3/12, 93, 55, 4, 11, 12, 2
2021/3/13, 91, 82, 5, 5, 4, 3
2021/3/14, 107, 134, 5, 5, 6, 4
2021/3/15, 137, 183, 5, 5, 17, 5
2021/3/16, 160, 224, 4, 5, 5, 3
2021/3/17, 168, 219, 4, 5, 3, 3
2021/3/18, 167, 178, 5, 5, 6, 3
2021/3/19, 162, , , , , 
2021/3/24, 87, 62, 6, 6, 3, 2
2021/3/25, 86, 64, 6, 6, 5, 2
2021/3/26, 93, 72, 7, 6, 8, 3
2021/3/27, 122, 82, 6, 5, 6, 2
2021/3/28, 135, 153, 4, 6, 6, 3
2021/3/29, 158, 135, 6, 5, 5, 3
2021/3/30, 143, 136, 4, 5, 9, 2
2021/3/31, 128, 151, 6, 5, 8, 3
2021/2/1, 168, 87, 7, 14, 6, 6
2021/2/2, 159, 118, 7, 15, 4, 9
2021/2/3, 176, 64, 5, 13, 1, 2
2021/2/4, 107, 48, 16, 13, 2, 3
2021/2/5, 87, 120, 7, 14, 5, 4
2021/2/6, 129, 91, 8, 13, 3, 5
2021/2/7, 146, 110, 9, 14, 5, 7
2021/2/8, 167, , , , , 
2021/2/10, 184, 108, 14, 13, 2, 7
2021/2/11, 169, 117, 16, 14, 3, 10
2021/2/12, 170, 65, 14, 14, 1, 7
2021/2/13, 132, 84, 12, 13, 3, 5
2021/2/14, 156, 76, 11, 13, 16, 6
2021/2/15, 134, 127, 13, 13, , 6
2021/2/16, 132, 87, 10, 13, , 10
2021/2/17, 124, 74, 8, 12, 3, 9
2021/2/18, 122, 249, 11, 13, , 8
2021/2/19, 92, 221, 12, 13, , 9
2021/2/20, 101, 469, 11, 13, , 7
2021/2/21, 130, 104, 9, 13, , 5
2021/2/22, 98, 88, 8, 13, 1, 2
2021/2/23, 94, 91, 9, 13, 1, 3
2021/2/24, 90, 87, 10, 13, 1, 4
2021/2/25, 96, , , , , 
2021/1/4, 124, 25, 8, 14, 2, 1
2021/1/5, 53, 49, 4, 14, 1, 3
2021/1/6, 111, 213, 5, 15, , 3
2021/1/7, 142, 60, 7, 14, 5, 5
2021/1/8, 135, 335, 6, 15, 2, 4
2021/1/9, 167, 95, 6, 15, 6, 3
2021/1/10, 172, 309, 6, 15, , 5
2021/1/11, 169, 110, 5, 14, 1, 6
2021/1/12, 171, 77, 5, 15, 1, 7
2021/1/13, 169, 186, 4, 14, 10, 7
2021/1/14, 164, 79, 5, 14, 1, 7
2021/1/15, 164, 177, 3, 14, , 7
2021/1/16, 159, 75, 7, 14, 2, 5
2021/1/17, 176, 173, 5, 14, 2, 6
2021/1/18, 219, 148, 4, 14, 1, 4
2021/1/19, 168, 102, 5, 14, 44, 5
2021/1/20, 148, 101, 10, 14, 12, 9
2021/1/21, 173, 127, 8, 14, 4, 8
2021/1/22, 190, 121, 5, 14, 3, 8
2021/1/23, 186, 116, 3, 14, 1, 8
2021/1/24, 182, 85, 7, 14, 1, 7
2021/1/25, 153, 122, 6, 14, 4, 6
2021/1/26, 187, 121, 7, 13, 5, 7
2021/1/27, 187, 118, 7, 14, 5, 8
2021/1/28, 185, 109, 6, 14, 7, 15
2021/1/29, 176, 98, 5, 15, 23, 8
2021/1/30, 171, 97, 5, 14, 6, 8
2021/1/31, 170, 94, 7, 14, 9, 5
2020/10/1, 152, 104, 17, 4, 4, 5
2020/10/2, 158, 87, 45, 4, 5, 6
2020/10/3, 150, 100, 65, 2, 7, 5
2020/10/4, 157, 102, 63, 12, 6, 5
2020/10/5, 159, 97, 42, 8, 6, 5
2020/10/6, 158, 95, 55, 2, 6, 5
2020/10/7, 163, 99, 47, 2, 7, 5
2020/10/8, 153, 103, 54, 2, 12, 7
2020/10/9, 175, 113, 46, 3, 9, 6
2020/10/10, 162, 112, 56, 3, 8, 4
2020/10/11, 186, 93, 54, 3, 6, 4
2020/10/12, 164, 123, 59, 2, 7, 7
