date, pm25, pm10, o3, no2, so2, co
2021/4/1, 84, 107, 12, 6, 16, 2
2021/4/2, 101, 103, 12, 12, 47, 3
2021/4/3, 124, 108, 12, 9, 17, 4
2021/4/4, 145, 131, 12, 6, 16, 4
2021/4/5, 135, 189, 12, 10, 16, 8
2021/4/6, 172, 165, 12, 13, 46, 4
2021/4/7, 135, 97, 12, 14, 16, 3
2021/4/8, 90, 116, 12, 14, 16, 3
2021/4/9, 104, 131, 13, 11, 46, 3
2021/4/10, 111, 132, 12, 7, 34, 2
2021/4/11, 128, 228, 12, 6, 16, 5
2021/4/12, 154, 143, 12, 8, 16, 4
2021/4/13, 134, 175, 12, 6, 66, 3
2021/4/14, 130, 273, 16, 5, 35, 3
2021/4/15, 141, 364, 12, 7, 55, 4
2021/4/16, 161, 100, 12, 5, 16, 3
2021/4/18, 120, 168, 12, 3, 28, 4
2021/4/19, 135, 202, 12, 4, 16, 6
2021/4/20, 161, , , , , 
2021/3/1, 81, 85, 12, 5, 6, 4
2021/3/2, 80, 88, 12, 7, 6, 10
2021/3/3, 89, 140, 12, 25, 18, 12
2021/3/4, 136, 134, 12, 15, 6, 4
2021/3/5, 97, 116, 13, 14, 48, 8
2021/3/6, 125, 188, 13, 17, 41, 7
2021/3/7, 142, 193, 12, 13, 6, 6
2021/3/8, 133, 225, 14, 15, 15, 7
2021/3/9, 156, 104, 11, 12, 6, 4
2021/3/10, 85, 152, 13, 15, 13, 6
2021/3/11, 129, 173, 13, 12, 13, 7
2021/3/12, 141, 128, 12, 10, 5, 6
2021/3/13, 123, 97, 12, 7, 6, 3
2021/3/14, 77, 113, 12, 6, 6, 4
2021/3/15, 88, 147, 14, 7, 38, 5
2021/3/16, 119, 182, 12, 8, 5, 4
2021/3/17, 122, 198, 12, 15, 6, 4
2021/3/18, 111, 142, 12, 16, 5, 4
2021/3/19, 106, 105, 12, 17, 5, 3
2021/3/20, 98, 218, 12, 20, 24, 5
2021/3/21, 136, 193, 12, 19, 15, 5
2021/3/22, 116, 190, 12, 14, 26, 3
2021/3/23, 120, 163, 12, 15, 9, 4
2021/3/24, 126, 154, 12, 8, 19, 2
2021/3/25, 89, 101, 12, 9, 16, 2
2021/3/26, 89, 130, 12, 12, 24, 4
2021/3/27, 133, 130, 16, 13, 36, 5
2021/3/28, 146, 171, 13, 13, 92, 7
2021/3/29, 168, 225, 12, 12, 41, 3
2021/3/30, 159, 130, 12, 9, 16, 2
2021/3/31, 109, 126, 12, 6, 25, 1
2021/2/1, 179, 124, 12, 10, 1, 6
2021/2/2, 170, 155, 12, 11, 1, 9
2021/2/3, 176, 99, 12, 10, 5, 5
2021/2/4, 132, 56, 12, 5, 1, 3
2021/2/5, 73, 72, 12, 6, 1, 3
2021/2/6, 105, 90, 12, 8, 1, 4
2021/2/7, 139, 104, 12, 10, 1, 5
2021/2/8, 158, 113, 12, 12, 1, 7
2021/2/9, 160, 169, 12, 19, 1, 7
2021/2/10, 172, 126, 12, 15, 1, 7
2021/2/11, 159, 184, 13, 13, 1, 8
2021/2/12, 162, 160, 12, 17, 1, 10
2021/2/13, 141, 97, 12, 21, 1, 10
2021/2/14, 150, 267, 12, 20, 4, 9
2021/2/15, 169, 189, 14, 18, 17, 8
2021/2/16, 162, 93, 12, 11, 6, 7
2021/2/17, 137, 130, 13, 18, 5, 8
2021/2/18, 154, 96, 12, 11, 6, 8
2021/2/19, 141, 78, 12, 9, 5, 8
2021/2/20, 118, 109, 12, 8, 6, 6
2021/2/21, 156, 126, 12, 8, 5, 6
2021/2/22, 143, 118, 12, 10, 5, 5
2021/2/23, 121, 125, 12, 14, 6, 6
2021/2/24, 130, 143, 12, 11, 5, 6
2021/2/25, 129, 120, 12, 9, 5, 4
2021/2/26, 104, 190, 12, 15, 6, 5
2021/2/27, 92, 117, 12, 10, 20, 3
2021/2/28, 87, 95, 12, 7, 6, 3
2021/1/4, 102, 64, 12, 18, 19, 3
2021/1/5, 62, 100, 12, 19, 7, 6
2021/1/6, 129, 84, 12, 16, 7, 4
2021/1/7, 135, 104, 12, 17, 7, 4
2021/1/8, 150, 87, 12, 13, 7, 5
2021/1/9, 149, 82, 12, 11, 7, 3
2021/1/10, 137, 84, 12, 9, 13, 4
2021/1/11, 125, 132, 12, 10, 6, 5
2021/1/12, 151, 204, 12, 16, 8, 8
