date, pm25, pm10, o3, no2, co
2021/3/1, 130, 92, 28, 4, 4
2021/3/2, 126, 90, 24, 5, 5
2021/3/3, 123, 109, 28, 6, 7
2021/3/4, 144, 120, 28, 6, 7
2021/3/5, 157, 79, 25, 5, 5
2021/3/6, 131, 93, 11, 5, 6
2021/3/7, 159, 128, 30, 4, 7
2021/3/8, 172, 134, 28, 4, 6
2021/3/9, 167, 46, 7, 5, 4
2021/3/10, 81, , , , 
2021/2/1, 191, 142, 44, 6, 3
2021/2/2, 221, 124, 49, 4, 3
2021/2/3, 206, 104, 111, 6, 5
2021/2/4, 171, 73, 24, 6, 4
2021/2/5, 139, 79, 23, 6, 3
2021/2/6, 141, 100, 29, 6, 3
2021/2/7, 170, 129, 32, 6, 6
2021/2/8, 192, 147, 31, 6, 7
2021/2/9, 201, 126, 31, 5, 5
2021/2/10, 184, 142, 34, 7, 8
2021/2/11, 194, 169, 43, 6, 7
2021/2/12, 224, 120, 36, 7, 10
2021/2/13, 183, 127, 37, 5, 8
2021/2/14, 189, 128, 33, 5, 8
2021/2/15, 191, 143, 34, 6, 10
2021/2/16, 194, 135, 36, 6, 7
2021/2/17, 191, 137, 37, 7, 9
2021/2/18, 192, 146, 35, 7, 9
2021/2/19, 196, 109, 28, 6, 8
2021/2/20, 173, 142, 35, 6, 6
2021/2/21, 196, 122, 33, 5, 5
2021/2/22, 173, 103, 28, 6, 4
2021/2/23, 151, 117, 27, 6, 4
2021/2/24, 154, 115, 23, 7, 5
2021/2/25, 161, 106, 21, 6, 3
2021/2/26, 133, 94, 19, 7, 244
2021/2/27, 118, 129, 24, 6, 500
2021/2/28, 144, 97, 31, 5, 449
2021/1/4, 174, 48, 16, 8, 33
2021/1/5, 124, 94, 7, 9, 39
2021/1/6, 196, 90, 20, 7, 32
2021/1/7, 167, 102, 9, 9, 33
2021/1/8, 171, 139, 15, 8, 34
2021/1/9, 182, 95, 18, 7, 29
2021/1/10, 168, 94, 22, 8, 24
2021/1/11, 171, 101, 25, 8, 21
2021/1/12, 187, 118, 23, 9, 23
2021/1/13, 204, 245, 34, 10, 31
2021/1/14, 325, 172, 36, 7, 20
2021/1/15, 289, 129, 24, 14, 26
2021/1/16, 212, 142, 14, 7, 22
2021/1/17, 214, 137, 28, 7, 15
2021/1/18, 217, 183, 14, 9, 28
2021/1/19, 270, 92, 22, 8, 14
2021/1/20, 172, 89, 33, 8, 12
2021/1/21, 172, 142, 25, 8, 17
2021/1/22, 227, 102, 25, 9, 17
2021/1/23, 184, 141, 13, 9, 29
2021/1/24, 206, 133, 27, 9, 26
2021/1/25, 193, 138, 35, 9, 28
2021/1/26, 197, 141, 35, 10, 27
2021/1/27, 206, 222, 32, 11, 24
