date, pm25, pm10, o3, no2, so2, co
2021/4/1, 90, 51, 23, 1, 2, 6
2021/4/2, 106, 43, 21, , 6, 6
2021/4/3, 101, 45, 27, 1, 7, 5
2021/4/4, 120, 64, 24, , 9, 6
2021/4/5, 112, 103, 22, 1, 17, 10
2021/4/6, 155, 61, 24, 1, 10, 5
2021/4/7, 117, 52, 21, 1, 16, 3
2021/4/8, 80, 62, 17, , 16, 4
2021/4/9, 101, 62, 17, 1, 5, 6
2021/4/10, 117, 69, 16, 1, 5, 4
2021/4/11, 130, 79, 23, 1, 7, 4
2021/4/12, 126, 70, 25, , 28, 3
2021/4/13, 114, 69, 21, 1, 5, 5
2021/4/14, 103, 77, 27, 1, 7, 5
2021/4/15, 126, 128, 24, 1, 31, 5
2021/4/16, 137, 52, 9, , 1, 4
2021/4/17, 87, 65, 27, , 3, 3
2021/4/18, 109, 61, 24, , 42, 4
2021/4/19, 95, 76, 24, , 1, 5
2021/4/20, 135, , , , , 
2021/3/1, 125, 70, 20, , 5, 6
2021/3/2, 113, 128, 20, , 2, 6
2021/3/3, 105, 88, 24, , 4, 9
2021/3/4, 154, 68, 31, , 5, 7
2021/3/5, 128, 71, 25, 1, 3, 7
2021/3/6, 133, 79, 22, , 5, 7
2021/3/7, 149, 65, 21, , 5, 7
2021/3/8, 114, 76, 23, 1, 49, 7
2021/3/9, 145, 82, 6, 1, 161, 9
2021/3/10, 156, , , , , 
2021/3/19, 214, 79, 40, , 2, 4
2021/3/20, 138, 85, 32, 1, 2, 6
2021/3/21, 149, 50, 27, 1, 6, 3
2021/3/22, 100, 61, 8, 1, 8, 4
2021/3/23, 93, 67, 21, 1, 9, 3
2021/3/24, 116, 56, 20, , 16, 3
2021/3/25, 96, 62, 23, , 7, 7
2021/3/26, 117, 69, 26, , 9, 8
2021/3/27, 132, 77, 28, 1, 13, 10
2021/3/28, 152, 141, 27, , 14, 10
2021/3/29, 157, 340, 38, , 11, 7
2021/3/30, 155, 70, 24, 1, 57, 2
2021/3/31, 89, 70, 23, 1, 52, 3
2021/2/1, 171, 101, 14, 1, 4, 13
2021/2/2, 161, 100, 16, , 5, 9
2021/2/3, 156, 32, 11, , 5, 6
2021/2/4, 65, 41, 19, , 6, 9
2021/2/5, 81, 65, 16, 1, 74, 5
2021/2/6, 102, 70, 20, 1, 1, 6
2021/2/7, 134, 86, 21, 1, 1, 9
2021/2/8, 157, 89, 13, 1, 1, 12
2021/2/9, 157, 85, 20, 1, 1, 12
2021/2/10, 160, 86, 19, 1, 3, 10
