date, pm25, pm10, o3, no2, so2, co
2021/4/1, 67, 83, 4, 11, 9, 2
2021/4/2, 65, 69, 3, 18, 20, 3
2021/4/3, 62, 67, 3, 13, 12, 3
2021/4/4, 80, 80, 3, 13, 12, 4
2021/4/5, 90, 123, 5, 17, 11, 9
2021/4/6, 131, 111, 5, 7, , 3
2021/4/7, 124, 50, 3, 8, 8, 2
2021/4/8, 56, 82, 3, 8, 11, 4
2021/4/9, 63, 97, 3, 5, 12, 3
2021/4/10, 86, 102, 3, 5, 8, 3
2021/4/11, 85, 112, 3, 5, 11, 3
2021/4/12, 98, 101, 3, 5, 9, 3
2021/4/13, 89, 104, 3, 4, 6, 3
2021/4/14, 93, 112, 3, 5, 8, 4
2021/4/15, 99, 131, 6, 4, 5, 4
2021/4/16, 100, 61, 5, 4, 2, 3
2021/4/17, 71, 83, 3, 3, 3, 3
2021/4/18, 80, 83, 3, 4, 5, 3
2021/4/19, 90, 100, 2, 7, 12, 3
2021/4/20, 105, , , , , 
2021/3/1, 116, 86, 6, 8, 10, 3
2021/3/2, 99, 87, 5, 10, 9, 5
2021/3/3, 98, 114, 2, 18, 3, 9
2021/3/4, 105, 99, 6, 6, 11, 6
2021/3/5, 106, 114, 6, 10, 8, 7
2021/3/6, 107, 119, 9, 9, 9, 5
2021/3/7, 132, 108, 10, 4, 6, 5
2021/3/8, 113, 119, 11, 4, 9, 6
2021/3/9, 150, 84, 9, 4, 6, 4
2021/3/10, 99, 98, 10, 5, 9, 6
2021/3/11, 128, 68, 6, 3, 30, 4
2021/3/12, 90, 59, 5, 4, 8, 3
2021/3/13, 72, 63, 6, 2, 8, 3
2021/3/14, 75, 86, 6, 2, 8, 4
2021/3/15, 81, 105, 5, 1, 8, 3
2021/3/16, 81, 121, 5, 1, 9, 3
2021/3/17, 85, 129, 6, 1, 12, 4
2021/3/18, 95, 103, 6, 1, 28, 3
2021/3/19, 80, 91, 7, 2, 10, 4
2021/3/20, 89, 98, 6, 2, 12, 4
2021/3/21, 101, 65, 5, 6, 19, 2
2021/3/22, 65, 61, 4, 7, 15, 1
2021/3/23, 57, 87, 4, 6, 8, 3
2021/3/24, 73, 66, 4, 6, 7, 3
2021/3/25, 63, 67, 5, 5, 9, 3
2021/3/26, 72, 77, 5, 7, 11, 4
2021/3/27, 95, 84, 8, 7, 13, 6
2021/3/28, 103, 100, 7, 5, 11, 7
2021/3/29, 121, 129, 6, 4, 9, 5
2021/3/30, 104, 123, 4, 7, 7, 1
2021/3/31, 68, 106, 3, 11, 17, 2
2021/2/1, 170, 95, 5, 11, 3, 10
2021/2/2, 173, 90, 5, 9, 2, 9
2021/2/3, 174, 39, 5, 12, 5, 5
