date, pm25, pm10, o3, no2, so2, co
2021/4/1, 104, 65, 5, 1, 20, 2
2021/4/2, 118, 59, 9, 4, 15, 3
2021/4/3, 95, 61, 8, 3, 17, 3
2021/4/4, 116, 77, 9, 6, 22, 5
2021/4/5, 146, 163, 16, 6, 27, 8
2021/4/6, 180, 75, 13, 2, 19, 5
2021/4/7, 140, 51, 8, 2, 6, 3
2021/4/8, 88, 55, 6, 3, 7, 2
2021/4/9, 95, 54, 7, 2, 10, 2
2021/4/10, 101, 63, 7, 2, 8, 2
2021/4/11, 115, 73, 8, 4, 14, 3
2021/4/12, 139, 70, 8, 3, 9, 3
2021/4/13, 129, 72, 8, 2, 13, 2
2021/4/14, 117, 80, 9, 2, 9, 3
2021/4/15, 136, 180, 12, 5, 42, 3
2021/4/16, 113, 147, 11, 2, 6, 2
2021/4/17, 54, 293, 11, 2, 6, 2
2021/4/18, 63, 94, 9, 3, 9, 3
2021/4/19, 66, 162, 6, 4, 19, 6
2021/4/20, 95, , , , , 
2021/3/1, 146, 66, 6, 6, 9, 7
2021/3/2, 137, 70, 7, 6, 11, 6
2021/3/3, 123, 86, 10, 10, 15, 11
2021/3/4, 147, 73, 10, 6, 6, 8
2021/3/5, 151, 74, 10, 6, 7, 8
2021/3/6, 149, 85, 11, 9, 6, 8
2021/3/7, 162, 124, 13, 7, 21, 9
2021/3/8, 168, 156, 16, 8, 6, 8
2021/3/9, 184, 129, 13, 8, 6, 7
2021/3/10, 152, 206, 15, 9, 7, 7
2021/3/11, 168, 141, 10, 7, 6, 7
2021/3/12, 153, 64, 9, 8, 9, 8
2021/3/13, 136, 57, 9, 4, 6, 7
2021/3/14, 112, 74, 7, 5, 4, 7
2021/3/15, 137, 105, 9, 5, 4, 7
2021/3/16, 156, 245, 8, 5, 5, 7
2021/3/17, 167, 189, 9, 11, 15, 5
2021/3/18, 165, 90, 10, 7, 13, 3
2021/3/19, 158, 73, 10, 6, 17, 3
2021/3/20, 148, 82, 12, 7, 25, 4
2021/3/21, 157, 75, 11, 8, 22, 4
2021/3/22, 137, 64, 5, 10, 14, 3
2021/3/23, 120, 66, 8, 13, 44, 2
2021/3/24, 141, 51, 7, 5, 35, 2
2021/3/25, 94, 54, 9, 3, 14, 2
2021/3/26, 102, 63, 10, 4, 22, 3
2021/3/27, 121, 72, 16, 6, 27, 4
2021/3/28, 159, 83, 14, 5, 28, 5
2021/3/29, 171, 92, 14, 6, 24, 4
2021/3/30, 164, 80, 7, 2, 12, 2
2021/3/31, 125, 66, 6, 1, 37, 1
2021/2/1, 182, 84, 8, 22, 10, 5
2021/2/2, 166, 91, 9, 15, 9, 4
2021/2/3, 183, 43, 5, 9, 21, 5
2021/2/4, 110, 38, 6, 9, 11, 6
2021/2/5, 83, 55, 7, 6, 3, 6
2021/2/6, 109, 66, 9, 6, 3, 6
2021/2/7, 153, 80, 11, 9, 13, 7
2021/2/8, 161, 97, 12, 13, 13, 7
2021/2/9, 174, 106, 11, 17, 26, 8
2021/2/10, 170, 94, 6, 17, 6, 5
2021/2/11, 162, 73, 5, 10, 9, 5
2021/2/12, 162, 48, 8, 12, 17, 6
2021/2/13, 139, 72, 6, 22, 33, 4
2021/2/14, 166, 82, 9, 14, 16, 6
2021/2/15, 163, 87, 15, 16, 10, 6
2021/2/16, 167, 72, 4, 11, 7, 7
2021/2/17, 149, 76, 10, 14, 12, 7
2021/2/18, 160, 81, 7, 12, 7, 6
2021/2/19, 166, 72, 8, 8, 7, 5
2021/2/20, 161, 84, 10, 7, 7, 5
2021/2/21, 168, 86, 10, 7, 7, 6
2021/2/22, 168, 88, 8, 9, 8, 6
2021/2/23, 158, 105, 9, 11, 8, 5
2021/2/24, 157, 100, 8, 10, 10, 6
2021/2/25, 148, 95, 7, 8, 10, 6
2021/2/26, 143, 68, 8, 10, 9, 6
2021/2/27, 118, 82, 7, 8, 44, 8
2021/2/28, 125, 77, 8, 7, 10, 7
2021/1/4, 83, 31, 3, 7, 3, 7
2021/1/5, 66, 24, 7, 6, 4, 7
2021/1/6, 65, 58, 2, 12, 11, 8
2021/1/7, 141, 67, 6, 23, 4, 7
2021/1/8, 132, 80, 6, 17, 10, 7
2021/1/9, 160, 72, 5, 15, 5, 8
2021/1/10, 153, 77, 4, 15, 6, 7
2021/1/11, 158, 84, 5, 19, 5, 8
2021/1/12, 161, 91, 6, 24, 5, 8
2021/1/13, 177, 89, 4, 30, 5, 7
2021/1/14, 178, 88, 8, 27, 11, 7
2021/1/15, 172, 72, 3, 22, 4, 7
2021/1/16, 163, 76, 5, 17, 29, 8
2021/1/17, 153, 94, 7, 17, 11, 12
2021/1/18, 179, 92, 4, 20, 13, 3
2021/1/19, 174, 82, 3, 13, 4, 4
2021/1/20, 165, 80, 3, 20, 33, 7
2021/1/21, 163, 81, 2, 24, 22, 6
2021/1/22, 175, 90, 3, 24, 4, 6
2021/1/23, 184, 97, 2, 20, 17, 6
2021/1/24, 172, 84, 6, 17, 36, 7
2021/1/25, 156, 85, 3, 18, 25, 7
2021/1/26, 158, 86, 10, 23, 4, 6
2021/1/27, 165, 92, 4, 19, 2, 8
2021/1/28, 175, 84, 7, 19, 3, 4
2021/1/29, 167, 90, 6, 14, 13, 4
2021/1/30, 157, 111, 8, 21, 4, 8
2021/1/31, 180, 114, 9, 30, 4, 6
2020/10/1, 145, 64, 27, 2, 4, 3
2020/10/2, 148, 70, 31, 5, 12, 3
2020/10/3, 141, 79, 24, 2, 4, 4
2020/10/4, 158, 90, 23, 3, 12, 4
2020/10/5, 154, 80, 24, 3, 5, 4
2020/10/6, 152, 87, 33, 5, 10, 6
2020/10/7, 151, 94, 23, 3, 11, 5
2020/10/8, 153, 93, 23, 4, 5, 6
2020/10/9, 277, 85, 24, 3, 11, 5
2020/10/10, 316, 97, 23, 3, 6, 7
2020/10/11, 181, 160, 35, 7, 11, 10
2020/10/12, 196, 92, 15, 6, 4, 7
2020/10/13, 165, 105, 19, 7, 6, 10
2020/10/14, 265, 113, 20, 6, 14, 10
2020/10/15, 482, 101, 20, 7, 23, 8
2020/10/16, 181, 100, 16, 8, 9, 6
2020/10/17, 172, 104, 15, 5, 9, 4
2020/10/18, 166, 122, 33, 7, 18, 8
2020/10/19, 187, 99, 21, 6, 9, 8
2020/10/20, 182, 140, 23, 11, 17, 10
2020/10/21, 196, 144, 20, 12, 15, 12
2020/10/22, 197, 135, 20, 12, 41, 10
2020/10/23, 171, 141, 30, 15, 12, 11
2020/10/24, 203, 148, 18, 9, 8, 9
2020/10/25, 202, 175, 20, 10, 17, 8
2020/10/26, 185, 114, 17, 9, 16, 9
2020/10/27, 181, 130, 20, 10, 10, 13
2020/10/28, 190, 160, 18, 16, 15, 11
2020/10/29, 173, 115, 15, 12, 9, 7
2020/10/30, 173, 156, 17, 8, 11, 10
2020/10/31, 192, 161, 14, 8, 11, 10
2020/11/1, 200, 157, 12, 10, 13, 11
2020/11/2, 185, 172, 8, 18, 11, 19
2020/11/3, 191, 214, 6, 17, 21, 15
2020/11/4, 193, 269, 5, 17, 36, 9
2020/11/5, 207, 131, 4, 22, 17, 8
2020/11/6, 177, 154, 24, 19, 30, 15
2020/11/7, 183, 233, 27, 28, 60, 17
2020/11/8, 286, 196, 27, 38, 11, 15
2020/11/9, 208, 111, 27, 19, 25, 10
2020/11/10, 167, 106, 22, 17, 23, 12
2020/11/11, 178, 91, 25, 16, 18, 10
2020/11/12, 176, 118, 23, 14, 10, 9
2020/11/13, 179, 216, 22, 12, 17, 16
2020/11/14, 235, 243, 26, 12, 17, 9
2020/11/15, 235, 37, 13, 4, 21, 4
2020/11/16, 88, 57, 16, 7, 6, 4
2020/11/17, 108, 61, 20, 7, 22, 6
2020/11/18, 106, 81, 26, 8, 6, 5
2020/11/19, 157, 84, 20, 6, 9, 4
2020/11/20, 161, 60, 14, 6, 13, 2
2020/11/21, 116, 66, 14, 6, 20, 4
2020/11/22, 154, 111, 14, 11, 9, 8
2020/11/23, 181, 114, 13, 21, 6, 12
2020/11/24, 188, 117, 7, 15, 6, 11
2020/11/25, 186, 53, 11, 10, 5, 3
2020/11/26, 103, 57, 13, 8, 8, 3
2020/11/27, 108, 57, 20, 6, 9, 8
2020/11/28, 105, 108, 19, 12, 19, 17
2020/11/29, 179, 101, 21, 14, 25, 14
2020/11/30, 167, 118, 18, 12, 7, 11
2020/12/1, 176, 105, 18, 8, 9, 8
2020/12/2, 165, 117, 17, 16, 8, 5
2020/12/3, 187, 118, 16, 22, 5, 2
2020/12/4, 190, 92, 16, 16, 5, 3
2020/12/5, 160, 91, 25, 14, 21, 4
2020/12/6, 162, 94, 17, 11, 11, 4
2020/12/7, 164, 148, 6, 12, 4, 2
2020/12/8, 182, 125, 12, 15, 5, 5
2020/12/9, 153, 72, 8, 10, 14, 7
2020/12/10, 111, 72, 10, 13, 15, 2
2020/12/11, 138, 83, 8, 11, 6, 8
2020/12/12, 133, 50, 5, 7, 4, 7
2020/12/13, 87, 52, 5, 7, 4, 8
2020/12/14, 81, 55, 9, 7, 8, 8
2020/12/15, 114, 72, 5, 7, 3, 7
2020/12/16, 163, 82, 5, 6, 3, 8
2020/12/17, 163, 78, 8, 7, 3, 8
2020/12/18, 164, 76, 7, 7, 4, 7
2020/12/19, 167, 77, 7, 8, 7, 8
2020/12/20, 170, 108, 13, 13, 14, 12
2020/12/21, 212, 148, 12, 23, 47, 3
2020/12/22, 241, 109, 12, 18, 5, 5
