date, pm25, pm10, o3, no2, so2, co
2021/4/1, 89, 89, 1, , 14, 4
2021/4/2, 121, 95, 1, , 8, 6
2021/4/3, 139, 115, 1, , 17, 5
2021/4/4, 111, 116, 2, 2, 20, 6
2021/4/5, 143, 270, 5, 4, 33, 10
2021/4/6, 166, 118, 3, 4, 37, 5
2021/4/7, 159, 88, 2, 3, 34, 4
2021/4/8, 120, 112, 1, 3, 21, 4
2021/4/9, 109, 130, 1, 3, 1, 3
2021/4/10, 110, 130, 1, 3, 2, 4
2021/4/11, 114, 222, 42, 3, 50, 5
2021/4/12, 132, 127, 15, 3, 114, 4
2021/4/13, 121, 140, 16, 4, 184, 4
2021/4/14, 105, 144, 15, 4, 74, 6
2021/4/15, 120, 208, 16, 6, 75, 7
2021/4/16, 145, 79, 15, 4, 96, 5
2021/4/17, 79, 125, 15, 4, 119, 4
2021/4/18, 129, 142, 16, 3, 17, 5
2021/4/19, 119, 144, 15, 4, 24, 4
2021/4/20, 133, , , , , 
2021/3/1, 122, 142, 4, 9, 30, 10
2021/3/2, 151, 113, 4, 9, 30, 12
2021/3/3, 173, 167, 5, 9, 26, 12
2021/3/4, 187, 146, 5, 9, 18, 11
2021/3/5, 113, 361, 5, 9, 4, 11
2021/3/6, 108, 552, 6, 9, 5, 14
2021/3/7, 148, 360, 6, 9, 8, 13
2021/3/8, 167, 364, 7, 9, 11, 14
2021/3/9, 205, 191, 8, 10, 36, 14
2021/3/10, 159, 169, 6, 9, 9, 12
2021/3/11, 163, 122, 4, 9, 21, 11
2021/3/12, 144, 101, 2, 24, 9, 9
2021/3/13, 131, 77, 3, 33, 11, 6
2021/3/14, 126, 128, 3, 30, 20, 7
2021/3/15, 130, 171, 3, 26, 27, 7
2021/3/16, 128, 200, 2, 30, 28, 6
2021/3/17, 177, 163, 3, 32, 25, 7
2021/3/18, 169, 126, 3, 29, 21, 7
2021/3/19, 167, 116, 5, 40, 70, 11
2021/3/20, 175, 124, 3, 26, 19, 6
2021/3/21, 171, 107, 3, 15, 19, 6
2021/3/22, 151, 106, 2, 19, 19, 6
2021/3/23, 139, 100, 3, 25, 43, 4
2021/3/24, 129, 72, 2, 25, 19, 1
2021/3/25, 107, 79, 2, 29, 10, 2
2021/3/26, 118, 120, 3, 46, 17, 4
2021/3/27, 145, 131, 4, 39, 14, 5
2021/3/28, 170, 151, 2, 26, 19, 6
2021/3/29, 163, 167, 2, 13, 23, 4
2021/3/30, 151, 112, 2, , 19, 2
2021/3/31, 134, 109, 1, 1, 18, 1
2021/2/9, 211, 147, 9, 9, 16, 13
2021/2/10, 184, 255, 11, 9, 10, 12
2021/2/11, 165, 155, 5, 9, 11, 15
2021/2/12, 139, 140, 7, 9, 14, 17
2021/2/13, 163, 115, 11, 9, 18, 15
2021/2/14, 168, 161, 9, 9, 19, 16
2021/2/15, 151, 140, 10, 9, 29, 16
2021/2/16, 157, 147, 9, 9, 42, 14
2021/2/17, 124, 223, 9, 10, 38, 15
2021/2/18, 140, 163, 4, 9, 12, 16
2021/2/19, 127, 84, 5, 9, 13, 15
2021/2/20, 97, 184, 7, 9, 20, 13
2021/2/21, 129, 281, 6, 9, 30, 13
2021/2/22, 112, 132, 6, 9, 38, 14
2021/2/23, 109, 89, 6, 9, 46, 12
2021/2/24, 138, 100, 6, 9, 52, 12
2021/2/25, 165, 36, 5, 9, 56, 13
2021/2/26, 137, 98, 5, 9, 32, 11
2021/2/27, 147, 118, 4, 9, 5, 9
2021/2/28, 133, 184, 5, 10, 16, 11
2020/10/1, 157, 132, 46, , 32, 2
2020/10/2, 154, 144, 47, , 2, 2
2020/10/3, 118, 151, 49, , 1, 3
2020/10/4, 124, 127, 51, , 5, 3
2020/10/5, 118, 139, 42, , 89, 5
2020/10/6, 130, 226, 51, , 22, 9
2020/10/7, 153, 111, 58, , 3, 2
2020/10/8, 124, 163, 57, , 3, 4
2020/10/9, 125, 168, 40, , 17, 4
2020/10/10, 156, 237, 59, , 1, 2
2020/10/11, 182, 235, 70, 7, 13, 6
2020/10/12, 177, 319, 18, 7, 17, 7
