date, pm25, o3, no2, so2, co
2021/4/1, 142, 14, 13, 3, 13
2021/4/2, 122, 14, 13, 3, 14
2021/4/3, 96, 15, 13, 3, 8
2021/4/4, 140, 11, 13, 3, 4
2021/4/5, 162, 6, 12, 3, 7
2021/4/6, 157, 10, 12, 3, 16
2021/4/7, 137, 9, 12, 3, 9
2021/4/8, 96, 10, 13, 3, 3
2021/4/9, 84, 9, 13, 4, 1
2021/4/10, 73, 9, 13, 4, 
2021/4/11, 135, 10, 13, 3, 4
2021/4/12, 126, 10, 13, 3, 5
2021/4/13, 98, 8, 13, 3, 3
2021/4/14, 103, 10, 13, 4, 1
2021/4/15, 113, 11, 13, 3, 
2021/4/16, 113, 10, 13, 3, 
2021/4/17, 121, 10, 13, 3, 1
2021/4/18, 77, 9, 13, 3, 6
2021/4/19, 79, 10, 12, 3, 5
2021/4/20, 112, , , , 
2021/3/1, 96, 11, 10, 3, 7
2021/3/2, 82, 10, 11, 3, 4
2021/3/3, 89, 14, 13, 3, 1
2021/3/4, 75, 17, 13, 3, 2
2021/3/5, 84, 12, 13, 3, 5
2021/3/6, 101, 14, 13, 3, 3
2021/3/7, 120, 100, 13, 3, 3
2021/3/8, 112, 95, 13, 3, 2
2021/3/9, 136, 19, 13, 4, 1
2021/3/10, 144, 16, 13, 3, 4
2021/3/11, 76, 17, 13, 3, 3
2021/3/12, 77, 17, 13, 3, 3
2021/3/13, 78, 17, 13, 3, 9
2021/3/14, 140, 15, 13, 4, 6
2021/3/15, 146, 11, 13, 3, 1
2021/3/16, 167, 9, 13, 3, 
2021/3/17, 185, 7, 12, 3, 5
2021/3/18, 170, 4, 13, 4, 5
2021/3/19, 163, 4, 13, 4, 
2021/3/21, 156, 11, 13, 3, 12
2021/3/22, 101, 14, 13, 3, 12
2021/3/23, 102, 14, 13, 3, 8
2021/3/24, 93, 14, 13, 3, 5
2021/3/25, 92, 14, 12, 3, 3
2021/3/26, 136, 13, 13, 3, 1
2021/3/27, 128, 12, 13, 3, 
2021/3/28, 116, 11, 13, 3, 
2021/3/29, 143, 11, 13, 3, 
2021/3/30, 151, 13, 13, 3, 10
2021/3/31, 141, 12, 13, 4, 4
2021/2/1, 155, 30, 10, 3, 11
2021/2/2, 139, 27, 10, 3, 4
2021/2/3, 140, 22, 10, 3, 5
2021/2/4, 51, 20, 10, 9, 18
2021/2/5, 77, 14, 11, 3, 9
2021/2/6, 67, 8, 10, 3, 1
2021/2/7, 108, 6, 10, 3, 7
2021/2/8, 118, 4, 11, 3, 3
2021/2/9, 127, 15, 11, 3, 8
2021/2/10, 103, 15, 10, 3, 10
2021/2/11, 98, 12, 10, 3, 3
2021/2/12, 193, 10, 10, 3, 3
2021/2/13, 159, 12, 10, 3, 3
2021/2/14, 168, 10, 10, 3, 5
2021/2/15, 147, 9, 11, 6, 10
