date, pm25, pm10, o3, no2, so2, co
2021/4/1, 128, 87, 24, 8, 7, 2
2021/4/2, 131, 83, 27, 12, 12, 2
2021/4/3, 129, 74, 27, 7, 6, 2
2021/4/4, 124, 90, 22, 15, 10, 4
2021/4/5, 146, 147, 32, 15, 13, 8
2021/4/6, 175, 95, 27, 6, 16, 3
2021/4/7, 134, 70, 28, 7, 6, 4
2021/4/8, 109, 71, 20, 8, 18, 4
2021/4/9, 112, 74, 24, 8, 7, 2
2021/4/10, 116, 87, 24, 9, 7, 2
2021/4/11, 129, 102, 22, 10, 7, 2
2021/4/12, 145, 99, 21, 10, 6, 2
2021/4/13, 127, 99, 20, 8, 10, 2
2021/4/14, 122, 118, 23, 11, 7, 3
2021/4/15, 149, 156, 21, 18, 43, 5
2021/4/16, 181, 54, 19, 7, 25, 1
2021/4/17, 90, 97, 22, 4, 3, 6
2021/4/18, 107, 90, 23, 6, 4, 5
2021/4/19, 89, 108, 17, 9, 9, 3
2021/4/20, 137, , , , , 
2021/3/1, 147, 83, 26, 4, 7, 3
2021/3/2, 132, 80, 25, 8, 5, 3
2021/3/3, 129, 94, 21, 13, 19, 5
2021/3/4, 152, 90, 31, 8, 7, 4
2021/3/5, 156, 93, 27, 10, 7, 4
2021/3/6, 153, 105, 24, 15, 7, 5
2021/3/7, 161, 94, 23, 10, 6, 4
2021/3/8, 134, 110, 24, 19, 11, 6
2021/3/9, 166, 85, 20, 11, 7, 4
2021/3/10, 140, 107, 28, 9, 8, 6
2021/3/11, 161, 86, 15, 8, 12, 4
2021/3/12, 136, 72, 20, 9, 10, 3
2021/3/13, 125, 68, 22, 5, 5, 3
2021/3/14, 124, 83, 18, 5, 3, 3
2021/3/15, 135, 121, 18, 6, 4, 3
2021/3/16, 159, 136, 19, 7, 5, 3
2021/3/17, 162, 143, 21, 8, 6, 3
2021/3/18, 168, 118, 22, 7, 11, 4
2021/3/19, 159, 94, 25, 7, 7, 3
2021/3/20, 149, 88, 27, 11, 13, 4
2021/3/21, 157, 63, 15, 7, 6, 2
2021/3/22, 115, 68, 9, 10, 13, 2
2021/3/23, 105, 74, 20, 11, 10, 3
2021/3/24, 123, 67, 20, 5, 9, 2
2021/3/25, 98, 64, 24, 6, 8, 3
2021/3/26, 109, 80, 28, 8, 9, 3
2021/3/27, 136, 103, 35, 12, 15, 5
