date, pm25, pm10, o3, no2, so2, co
2021/4/1, 94, , 37, 40, 9, 12
2021/4/2, 105, , 57, 58, 12, 10
2021/4/3, 131, , 46, 54, 12, 12
2021/4/4, 131, , 51, 65, 13, 14
2021/4/5, 179, , 120, 36, 7, 14
2021/4/6, 178, , 87, 36, 2, 4
2021/4/7, 150, , 48, 45, 7, 7
2021/4/8, 119, , 41, 59, 11, 12
2021/4/9, 128, , 38, 52, 10, 9
2021/4/10, 114, , 37, 48, 10, 7
2021/4/11, 132, , 97, 63, 20, 12
2021/4/12, 160, , 82, 48, 5, 7
2021/4/13, 139, , 84, 40, 6, 3
2021/4/14, 133, , 75, 38, 5, 5
2021/4/15, 136, , 88, 42, 8, 9
2021/4/16, 158, , 92, 30, 4, 32
2021/4/17, 87, , 92, 33, 5, 5
2021/4/18, 142, , 92, 48, 7, 8
2021/4/19, 137, , 138, 37, 44, 6
2021/4/20, 189, , , , , 
2021/3/1, 130, , 42, 36, 12, 6
2021/3/2, 139, , 46, 38, 14, 10
2021/3/3, 140, , 22, 41, 19, 20
2021/3/4, 231, , 59, 32, 7, 12
2021/3/5, 161, , 5, 49, 8, 15
2021/3/6, 143, , 3, 33, 12, 16
2021/3/7, 193, , 52, 27, 21, 10
2021/3/8, 181, , 52, 24, 3, 27
2021/3/9, 190, , 53, 46, 14, 13
2021/3/10, 142, , , 24, 6, 19
2021/3/11, 189, , 38, 27, 5, 11
2021/3/12, 156, , 73, 30, 17, 14
2021/3/13, 154, , , 38, 6, 3
2021/3/14, 133, , 29, 30, 10, 22
2021/3/15, 156, , 22, 29, 12, 17
2021/3/16, 165, , 36, 39, 9, 18
2021/3/17, 171, , 55, 53, 16, 26
2021/3/18, 182, , 33, 42, 7, 18
2021/3/19, 171, , 26, 40, 7, 16
2021/3/20, 139, , 31, 46, 8, 21
2021/3/21, 162, , 81, 32, 26, 10
2021/3/22, 152, , 63, 33, 4, 7
2021/3/23, 126, , 78, 35, 4, 5
2021/3/24, 113, , 65, 31, 3, 5
2021/3/25, 121, , 84, 42, 5, 3
2021/3/26, 123, , 113, 51, 8, 13
2021/3/27, 156, , 118, 51, 6, 14
2021/3/28, 168, , 86, 33, 1, 9
2021/3/29, 165, , 85, 28, 3, 7
2021/3/30, 175, , 51, 26, 5, 3
2021/3/31, 116, , 36, 30, 8, 4
2021/2/1, 279, , 38, 47, 15, 22
2021/2/2, 283, , 27, 35, 7, 11
2021/2/3, 219, , 26, 28, 10, 11
2021/2/4, 190, , 22, 36, 9, 10
2021/2/5, 142, , 15, 36, 7, 9
2021/2/6, 160, , 11, 44, 8, 9
2021/2/7, 175, , 59, 45, 47, 12
2021/2/8, 199, , 34, 46, 11, 17
2021/2/9, 236, , 42, 34, 9, 9
2021/2/10, 167, , 2, 43, 10, 17
2021/2/11, 249, , 31, 50, 17, 30
2021/2/12, 293, , 5, 50, 5, 23
2021/2/13, 287, , 4, 42, 7, 19
2021/2/14, 259, , 51, 34, 14, 20
2021/2/15, 238, , 4, 33, 6, 16
