date, pm25, pm10, o3, no2, so2, co
2021/4/1, 153, 86, 10, 12, 35, 3
2021/4/2, 138, 81, 10, 17, 11, 3
2021/4/3, 146, 85, 10, 11, 25, 3
2021/4/4, 155, 101, 11, 13, 14, 3
2021/4/5, 164, 202, 16, 15, 14, 6
2021/4/6, 190, 71, 11, 8, 35, 4
2021/4/7, 127, 71, 12, 8, 7, 3
2021/4/8, 108, 77, 10, 11, 11, 3
2021/4/9, 123, 86, 10, 10, 32, 3
2021/4/10, 123, 104, 10, 11, 11, 5
2021/4/11, 148, 114, 10, 12, 10, 3
2021/4/12, 153, 115, 10, 11, 9, 4
2021/4/13, 154, 117, 10, 13, 8, 5
2021/4/14, 153, 138, 10, 7, 7, 3
2021/4/15, 160, 202, 9, 8, 7, 3
2021/4/16, 158, 72, 13, 7, 3, 3
2021/4/17, 111, 116, 12, 9, 8, 4
2021/4/18, 157, 117, 11, 8, 7, 3
2021/4/19, 151, 108, 10, 6, 7, 2
2021/4/20, 148, , , , , 
2021/3/1, 159, 86, 11, 9, 8, 4
2021/3/2, 150, 89, 11, 12, 8, 4
2021/3/3, 159, 101, 13, 12, 13, 4
2021/3/4, 170, 93, 12, 11, 10, 5
2021/3/5, 164, 85, 9, 14, 6, 5
2021/3/6, 156, 104, 13, 14, 13, 5
2021/3/7, 171, 119, 15, 15, 10, 8
2021/3/8, 186, 123, 13, 15, 8, 8
2021/3/9, 191, 111, 14, 19, 7, 7
2021/3/10, 176, 114, 15, 15, 16, 6
2021/3/11, 180, 85, 10, 11, 12, 4
2021/3/12, 151, 74, 8, 12, 9, 4
2021/3/13, 150, 78, 9, 12, 8, 4
2021/3/14, 155, 97, 9, 14, 10, 5
2021/3/15, 167, 127, 8, 13, 10, 5
2021/3/16, 174, 156, 9, 13, 15, 7
2021/3/17, 198, 142, 14, 21, 16, 6
2021/3/18, 190, 112, 8, 11, 9, 5
2021/3/19, 174, 102, 8, 13, 9, 6
2021/3/20, 168, 120, 9, 13, 34, 5
2021/3/21, 175, 80, 7, 11, 7, 3
2021/3/22, 147, 89, 5, 11, 8, 2
2021/3/23, 143, 84, 8, 13, 8, 4
2021/3/24, 157, 65, 11, 10, 5, 3
2021/3/25, 123, 71, 13, 12, 6, 3
2021/3/26, 135, 88, 15, 13, 11, 4
2021/3/27, 160, 101, 15, 14, 13, 4
2021/3/28, 164, 237, 9, 15, 13, 5
2021/3/29, 199, 162, 14, 9, 13, 6
2021/3/30, 167, 144, 12, 9, 6, 3
2021/3/31, 166, 125, 11, 9, 7, 2
2021/2/1, 199, 122, 12, 15, 7, 8
2021/2/2, 197, 133, 12, 17, 7, 10
2021/2/3, 206, 53, 8, 9, 21, 3
2021/2/4, 110, 59, 8, 10, 5, 6
2021/2/5, 135, 73, 10, 8, 6, 7
2021/2/6, 156, 89, 11, 9, 7, 8
2021/2/7, 172, 107, 11, 10, 26, 9
2021/2/8, 185, 111, 13, 10, 10, 9
2021/2/9, 191, 124, 14, 11, 14, 12
2021/2/10, 208, 121, 12, 14, 65, 14
2021/2/11, 209, 136, 13, 16, 7, 16
2021/2/12, 222, 105, 14, 14, 5, 13
2021/2/13, 190, 107, 15, 11, 8, 12
2021/2/14, 192, 101, 14, 10, 34, 12
2021/2/15, 187, 100, 14, 9, 8, 14
2021/2/16, 187, 110, 13, 15, 6, 24
2021/2/17, 195, 109, 19, 15, 7, 11
2021/2/18, 194, 95, 17, 14, 5, 12
2021/2/19, 182, 96, 20, 13, 6, 11
2021/2/20, 182, 106, 17, 15, 53, 8
2021/2/21, 192, 110, 16, 16, 9, 7
2021/2/22, 183, 107, 14, 17, 7, 7
2021/2/23, 179, 121, 15, 21, 14, 8
2021/2/24, 191, 103, 11, 16, 9, 7
2021/2/25, 166, 108, 11, 18, 9, 5
2021/2/26, 172, 109, 11, 10, 7, 3
2021/2/27, 163, 93, 11, 10, 11, 3
2021/2/28, 156, 90, 12, 12, 8, 4
2021/1/4, 145, 43, 9, 26, 5, 7
2021/1/5, 104, 70, 7, 14, 4, 14
2021/1/6, 162, 72, 7, 9, 1, 17
2021/1/7, 161, 106, 8, 11, 3, 24
2021/1/8, 192, 92, 10, 8, 3, 23
2021/1/9, 181, 85, 10, 7, 3, 19
2021/1/10, 176, 78, 10, 8, 8, 17
2021/1/11, 167, 87, 10, 12, 6, 8
2021/1/12, 182, 107, 10, 13, 7, 10
2021/1/13, 199, 102, 11, 14, 4, 9
2021/1/14, 194, 117, 12, 16, 5, 11
2021/1/15, 209, 75, 12, 11, 2, 10
2021/1/16, 170, 94, 14, 12, 26, 9
2021/1/17, 192, 141, 17, 18, 5, 12
2021/1/18, 245, 83, 13, 13, 2, 8
2021/1/19, 174, 74, 15, 11, 3, 7
2021/1/20, 162, 94, 13, 13, 4, 11
2021/1/21, 195, 139, 16, 19, 9, 10
2021/1/22, 240, 122, 15, 17, 6, 10
2021/1/23, 212, 111, 14, 11, 3, 7
2021/1/24, 198, 131, 13, 11, 4, 11
2021/1/25, 183, 141, 14, 13, 4, 8
2021/1/26, 202, 136, 14, 12, 6, 6
2021/1/27, 193, 139, 14, 13, 8, 7
2021/1/28, 212, 110, 13, 12, 24, 7
2021/1/29, 205, 121, 12, 14, 5, 8
2021/1/30, 186, 112, 13, 13, 7, 5
2021/1/31, 185, 126, 13, 17, 14, 10
2020/10/1, 157, 106, 15, 8, 7, 4
2020/10/2, 159, 99, 17, 10, 28, 4
2020/10/3, 160, 96, 20, 11, 9, 4
2020/10/4, 158, 99, 22, 8, 27, 4
2020/10/5, 156, 94, 17, 10, 10, 3
2020/10/6, 147, 98, 17, 12, 8, 5
2020/10/7, 142, 97, 19, 10, 7, 3
2020/10/8, 146, 109, 18, 14, 9, 5
2020/10/9, 158, 113, 19, 15, 10, 5
2020/10/10, 163, 114, 20, 16, 8, 6
2020/10/11, 158, 125, 20, 16, 11, 6
2020/10/12, 168, 160, 45, 20, 9, 9
2020/10/13, 212, 146, 48, 16, 8, 8
2020/10/14, 205, 117, 45, 10, 7, 5
2020/10/15, 172, 125, 30, 11, 10, 6
2020/10/16, 171, 136, 29, 10, 15, 6
2020/10/17, 183, 128, 33, 10, 11, 6
2020/10/18, 176, 130, 35, 11, 14, 9
2020/10/19, 176, 133, 35, 11, 27, 7
2020/10/20, 179, 142, 34, 13, 17, 8
2020/10/21, 198, 141, 37, 8, 12, 7
2020/10/22, 199, 189, 35, 12, 14, 10
2020/10/23, 240, 202, 31, 13, 13, 11
2020/10/24, 232, 181, 32, 11, 18, 8
2020/10/25, 231, 181, 30, 10, 13, 9
2020/10/26, 233, 154, 29, 16, 21, 12
2020/10/27, 213, 176, 18, 27, 14, 10
2020/10/28, 216, 263, 16, 35, 17, 17
