date, pm25, pm10, o3, no2, so2, co
2021/4/1, 96, 69, 21, 5, , 6
2021/4/2, 117, 109, 20, 4, , 6
2021/4/3, 141, 83, 19, , , 6
2021/4/4, 140, 101, 19, , , 5
2021/4/5, 150, 83, 20, , , 7
2021/4/6, 141, 90, 18, , , 5
2021/4/7, 157, 138, 19, 4, 1, 6
2021/4/8, 156, 131, 19, 5, , 5
2021/4/9, 155, 88, 19, 4, 1, 5
2021/4/10, 149, 63, 18, 5, , 5
2021/4/11, 127, 56, 16, 5, , 5
2021/4/12, 105, 48, 16, 5, , 5
2021/4/13, 91, 42, 18, , , 18
2021/4/14, 48, 30, 19, 14, , 8
2021/4/15, 66, 44, 19, 27, , 8
2021/4/16, 216, 66, 21, 27, , 8
2021/4/17, 133, 76, 19, 27, , 8
2021/4/18, 123, 76, 20, 29, , 8
2021/4/19, 111, 69, 20, 30, , 10
2021/4/20, 126, 82, 21, , , 9
2021/4/21, 114, 83, 21, 24, , 9
2021/4/22, 103, 62, 21, , , 8
2021/4/23, 87, , , , , 
2021/3/1, 134, 128, 2, 15, 4, 7
2021/3/2, 129, 105, 2, 17, 3, 8
2021/3/3, 136, 128, 2, 18, 3, 8
2021/3/4, 126, 73, 2, 3, 3, 6
2021/3/5, 116, 121, 2, 18, 3, 6
2021/3/6, 113, 83, 2, 18, 1, 8
2021/3/7, 117, 70, 2, , 1, 7
2021/3/8, 100, 97, 2, 1, 1, 5
2021/3/9, 92, 114, 2, 1, 1, 6
2021/3/10, 90, 59, 2, 1, 3, 5
2021/3/11, 87, 73, 5, 1, 1, 12
2021/3/12, 81, 76, 2, , 2, 6
2021/3/13, 102, 68, 2, , , 6
2021/3/14, 96, 69, 2, 1, , 6
2021/3/15, 100, 94, 2, 1, 2, 7
2021/3/16, 123, 82, 2, , 2, 8
2021/3/17, 132, 91, 2, 3, 2, 6
2021/3/18, 143, 148, 2, 6, 3, 6
2021/3/19, 145, 183, 70, 5, 3, 9
2021/3/20, 137, 118, 4, 5, 2, 5
2021/3/21, 145, 79, 17, 5, 1, 6
2021/3/22, 136, 71, 17, 5, , 4
2021/3/23, 125, 76, 16, 5, , 6
2021/3/24, 98, 81, 17, 5, 1, 8
2021/3/25, 98, 91, 19, , 1, 5
2021/3/26, 98, 103, 19, 4, , 5
2021/3/27, 98, 119, 20, 5, , 6
2021/3/28, 98, 131, 19, 5, 1, 4
2021/3/29, 98, 79, 18, 5, , 7
