date, pm25, pm10, o3, no2, so2, co
2021/4/1, 136, 81, 23, 10, 2, 5
2021/4/2, 113, 86, 27, 10, 2, 5
2021/4/3, 125, 89, 23, 8, 1, 5
2021/4/4, 118, 96, 28, 9, 1, 6
2021/4/5, 145, 86, 28, 9, 1, 6
2021/4/6, 156, 88, 21, 13, 1, 5
2021/4/7, 130, 147, 20, 17, 1, 5
2021/4/8, 144, 85, 22, 12, 1, 5
2021/4/9, 140, 75, 22, 12, 2, 6
2021/4/10, 126, 56, 13, 11, 1, 5
2021/4/11, 94, 51, 9, 9, 1, 5
2021/4/12, 79, 48, 8, 9, 1, 6
2021/4/13, 84, 49, 12, 10, , 5
2021/4/14, 88, 30, 16, 11, , 5
2021/4/15, 62, 51, 21, 15, , 5
2021/4/16, 93, 54, 24, 14, 1, 6
2021/4/17, 95, 66, 25, 15, 1, 5
2021/4/19, 130, 57, 22, 13, 1, 5
2021/4/20, 111, 70, 23, 14, 1, 6
2021/4/21, 133, 52, 19, 13, 3, 6
2021/4/22, 110, 51, 23, 13, 3, 6
2021/4/23, 105, , , , , 
2021/3/1, 119, 69, 28, 12, 11, 5
2021/3/2, 131, 79, 27, 12, 7, 5
2021/3/3, 131, 76, 32, 12, 3, 6
2021/3/4, 120, 56, 17, 10, 2, 6
2021/3/5, 85, 63, 28, 13, 3, 6
2021/3/6, 106, 63, 31, 11, 4, 6
2021/3/7, 113, 62, 21, 12, 1, 5
2021/3/8, 101, 43, 18, 10, 1, 6
2021/3/9, 71, 40, 13, 9, 1, 6
2021/3/10, 63, 36, 14, 8, 1, 6
2021/3/11, 65, 42, 16, 9, 1, 6
2021/3/12, 66, 49, 21, 10, 1, 6
2021/3/13, 83, 57, 21, 9, 1, 5
2021/3/14, 95, 59, 23, 10, 2, 6
2021/3/15, 103, 67, 26, 10, 1, 6
2021/3/16, 113, 67, 27, 9, 1, 6
2021/3/17, 128, 78, 28, 10, 1, 5
2021/3/18, 146, 75, 26, 12, 1, 5
2021/3/19, 133, 66, 26, 9, 1, 5
2021/3/20, 118, 72, 25, 8, 1, 5
2021/3/21, 134, 81, 23, 8, 1, 5
2021/3/22, 126, 64, 18, 10, 2, 5
2021/3/23, 113, 70, 16, 9, 1, 5
2021/3/24, 123, 71, 21, 10, 2, 6
2021/3/25, 116, 88, 28, 10, 2, 5
2021/3/26, 153, 84, 31, 10, 1, 5
2021/3/27, 157, 84, 28, 10, 1, 6
2021/3/28, 158, 87, 31, 10, 1, 6
2021/3/29, 156, 88, 25, 12, 1, 6
2021/3/30, 155, 107, 28, 14, 2, 5
2021/3/31, 158, 88, 26, 11, 1, 5
2021/2/1, 122, 62, 21, 10, 4, 6
2021/2/2, 123, 65, 22, 9, 3, 6
2021/2/3, 133, 65, 23, 10, 3, 6
2021/2/4, 118, 64, 25, 11, 2, 5
2021/2/5, 108, 73, 29, 11, 3, 5
2021/2/6, 130, 68, 25, 12, 4, 6
2021/2/7, 116, 67, 28, 11, 4, 6
2021/2/8, 120, 67, 27, 12, 4, 6
2021/2/9, 132, 62, 26, 13, 3, 6
2021/2/10, 119, 74, 28, 11, 5, 6
2021/2/11, 145, 59, 21, 11, 6, 6
2021/2/12, 110, 52, 22, 10, 3, 5
2021/2/13, 96, 58, 28, 11, 1, 6
2021/2/14, 102, 68, 27, 11, 4, 6
2021/2/15, 132, 63, 29, 11, 4, 6
2021/2/16, 124, 66, 29, 12, 3, 6
2021/2/17, 131, 75, 28, 8, 3, 5
2021/2/18, 148, 67, 19, 10, 3, 5
2021/2/19, 140, 47, 20, 9, 4, 6
2021/2/20, 97, 22, 14, 8, 4, 6
2021/2/21, 53, 27, 15, 9, 3, 6
2021/2/22, 63, 47, 20, 10, 3, 6
2021/2/23, 97, 62, 26, 10, 3, 5
2021/2/24, 132, 76, 29, 14, 3, 5
2021/2/25, 146, 79, 29, 15, 3, 6
2021/2/26, 144, 73, 33, 12, 3, 6
2021/2/27, 144, 70, 31, 12, 4, 5
2021/2/28, 132, 68, 27, 14, 5, 5
2021/1/4, 102, 38, 14, 10, 5, 6
2021/1/5, 67, 21, 9, 9, 5, 6
2021/1/6, 37, 16, 7, 10, 5, 6
2021/1/7, 33, 24, 9, 9, 3, 5
2021/1/8, 54, 31, 7, 11, 4, 6
2021/1/9, 60, 41, 11, 10, 5, 6
2021/1/10, 83, 42, 10, 10, 5, 5
2021/1/11, 79, 40, 11, 11, 5, 6
2021/1/12, 76, 42, 11, 12, 3, 5
2021/1/13, 75, 58, 12, 11, 4, 5
2021/1/14, 121, 56, 14, 10, 6, 6
2021/1/15, 118, 56, 17, 10, 5, 5
2021/1/16, 119, 56, 17, 10, 4, 6
2021/1/17, 118, 48, 17, 10, 3, 5
2021/1/18, 94, , , , , 
2021/1/20, 104, 64, 20, 13, 3, 6
2021/1/21, 118, 57, 19, 10, 3, 5
2021/1/22, 109, 65, 22, 11, 3, 5
2021/1/23, 136, 60, 20, 11, 3, 5
2021/1/24, 116, 61, 21, 12, 3, 5
2021/1/25, 118, 52, 20, 13, 3, 5
2021/1/26, 100, 66, 26, 11, 3, 5
2021/1/27, 136, 68, 19, 10, 6, 6
2021/1/28, 141, 66, 22, 9, 8, 6
2021/1/29, 142, 68, 20, 10, 7, 6
2021/1/30, 137, 70, 18, 10, 5, 5
2021/1/31, 143, 65, 17, 10, 4, 5
2020/10/1, 78, 60, 15, 6, 7, 5
2020/10/2, 102, 56, 12, 5, 8, 6
2020/10/3, 89, 44, 8, 5, 7, 6
2020/10/4, 70, 51, 11, 5, 7, 5
2020/10/5, 85, 64, 15, 7, 6, 5
2020/10/6, 107, 68, 16, 7, 7, 6
2020/10/7, 119, 79, 21, 7, 6, 6
2020/10/8, 147, 70, 18, 7, 6, 5
2020/10/9, 151, 39, 14, 5, 8, 5
2020/10/10, 86, 38, 13, 5, 7, 6
2020/10/11, 92, 42, 14, 6, 7, 5
2020/10/12, 86, 35, 17, 5, 8, 5
2020/10/13, 75, 35, 15, 5, 9, 5
2020/10/14, 70, 43, 9, 5, 7, 6
2020/10/15, 70, 73, 17, 6, 7, 6
2020/10/16, 119, 61, 14, 5, 7, 6
2020/10/17, 109, 68, 12, 7, 8, 6
2020/10/18, 111, 67, 9, 7, 7, 6
2020/10/19, 110, 41, 10, 7, 7, 6
2020/10/20, 91, 27, 9, 5, 6, 5
2020/10/21, 64, 42, 9, 6, 7, 5
2020/10/22, 74, 44, 11, 6, 8, 5
2020/10/23, 92, 51, 11, 6, 10, 5
2020/10/24, 80, 60, 17, 6, 11, 5
2020/10/25, 122, 71, 18, 7, 7, 5
2020/10/26, 146, 74, 20, 7, 8, 5
2020/10/27, 151, 71, 21, 6, 8, 5
2020/10/28, 149, 75, 22, 7, 7, 5
2020/10/29, 147, 73, 24, 8, 6, 5
2020/10/30, 149, 88, 23, 7, 8, 6
2020/10/31, 161, 87, 27, 7, 8, 5
2020/11/1, 165, 82, 23, 6, 7, 5
2020/11/2, 163, 74, 20, 5, 8, 5
2020/11/3, 156, 66, 15, 3, 7, 5
2020/11/4, 147, 62, 19, 1, 6, 5
2020/11/5, 135, 57, 12, 1, 7, 6
2020/11/6, 122, 29, 6, 4, 7, 6
2020/11/7, 69, 39, 17, 9, 8, 6
2020/11/8, 90, 84, 20, 12, 7, 5
2020/11/9, 158, 70, 23, 13, 9, 5
2020/11/10, 149, 63, 19, 10, 9, 5
2020/11/11, 131, 43, 13, 9, 7, 6
2020/11/12, 88, 24, 6, 9, 7, 6
2020/11/13, 64, 33, 10, 8, 7, 6
2020/11/14, 75, 35, 10, 8, 8, 6
2020/11/15, 80, 18, 7, 9, 1, 6
2020/11/16, 37, 32, 8, 9, , 5
2020/11/17, 63, 41, 8, 10, , 6
2020/11/18, 81, 42, 9, 10, , 6
2020/11/19, 82, 47, 9, 10, , 6
2020/11/20, 95, 57, 15, 12, , 5
2020/11/21, 94, 63, 17, 13, , 6
2020/11/22, 122, 59, 12, 11, , 6
2020/11/23, 114, 65, 16, 10, , 6
2020/11/24, 140, 68, 14, 11, , 5
2020/11/25, 135, 34, 11, 11, , 5
2020/11/26, 78, 35, 9, 12, , 6
2020/11/27, 73, 36, 12, 10, , 6
2020/11/28, 72, 37, 7, 9, , 6
2020/11/29, 74, 44, 11, 9, , 6
2020/11/30, 87, 40, 11, 10, , 5
2020/12/1, 76, 39, 15, 11, , 5
2020/12/2, 76, 38, 14, 11, , 5
2020/12/3, 80, 23, 12, 9, 1, 5
2020/12/4, 50, 21, 13, 9, 3, 5
2020/12/5, 38, 37, 17, 9, 5, 5
2020/12/6, 75, 16, 7, 9, 4, 6
2020/12/7, 25, 19, 9, 9, 5, 6
2020/12/8, 31, 22, 10, 10, 5, 5
2020/12/9, 41, 35, 13, 10, 3, 5
2020/12/10, 66, 49, 12, 12, 3, 6
2020/12/11, 82, 62, 16, 12, 5, 6
2020/12/12, 113, 63, 17, 12, 6, 5
2020/12/13, 115, 59, 18, 12, 5, 6
