date, pm25, pm10, o3, no2, so2, co
2021/4/1, 117, 81, 44, 10, 4, 4
2021/4/2, 129, 77, 47, 13, 3, 3
2021/4/3, 120, 87, 72, 11, 4, 5
2021/4/4, 137, 85, 51, 14, 3, 5
2021/4/5, 145, 79, 43, 15, 4, 3
2021/4/6, 148, 77, 47, 13, 3, 3
2021/4/7, 139, 72, 34, 14, 3, 3
2021/4/8, 128, 73, 46, 6, 4, 3
2021/4/9, 126, 78, 43, 5, 4, 3
2021/4/10, 128, 59, 33, 4, 5, 2
2021/4/11, 79, 54, 34, 5, 4, 2
2021/4/12, 83, 51, 37, 4, 4, 2
2021/4/13, 78, 31, 31, 4, 4, 3
2021/4/14, 56, 35, 35, 5, 4, 3
2021/4/15, 65, 44, 52, 5, 4, 4
2021/4/16, 74, 53, 50, 5, 3, 3
2021/4/17, 89, 60, 49, 5, 4, 4
2021/4/18, 106, 57, 48, 5, 3, 3
2021/4/19, 100, 71, 57, 4, 4, 5
2021/4/20, 99, 64, 49, 7, 4, 3
2021/4/21, 96, 55, 44, 4, 3, 4
2021/4/22, 87, 36, 42, 5, 4, 3
2021/4/23, 71, , , , , 
2021/3/1, 106, 63, 33, 16, 2, 3
2021/3/2, 104, 65, 47, 16, 2, 3
2021/3/3, 105, 66, 39, 11, 2, 3
2021/3/4, 98, 66, 41, 16, 4, 4
2021/3/5, 109, 63, 47, 18, 3, 3
2021/3/6, 99, 75, 54, 18, 4, 3
2021/3/7, 116, 75, 49, 20, 3, 3
2021/3/8, 123, 69, 57, 14, 3, 3
2021/3/9, 121, 63, 43, 15, 4, 3
2021/3/10, 99, 41, 35, 7, 3, 3
2021/3/11, 65, 46, 43, 8, 3, 3
2021/3/12, 69, 45, 46, 10, 3, 3
2021/3/13, 76, 58, 44, 15, 3, 3
2021/3/14, 87, 61, 51, 17, 2, 3
2021/3/15, 101, 67, 51, 24, 4, 3
2021/3/16, 115, 75, 52, 12, 4, 3
2021/3/17, 147, 73, 48, 10, 3, 3
2021/3/18, 148, 77, 49, 6, 4, 3
2021/3/19, 141, 63, 43, 7, 4, 3
2021/3/20, 108, 69, 44, 9, 3, 3
2021/3/21, 121, 84, 53, 15, 3, 3
2021/3/22, 151, 73, 54, 5, 3, 3
2021/3/23, 136, 77, 57, 11, 4, 3
2021/3/24, 152, 76, 62, 10, 2, 3
2021/3/25, 147, 74, 59, 10, 4, 3
2021/3/26, 145, 79, 54, 26, 4, 3
2021/3/27, 150, 77, 59, 15, 3, 3
2021/3/28, 154, 80, 54, 12, 4, 4
2021/3/29, 152, 75, 47, 12, 3, 3
2021/3/30, 147, 71, 49, 14, 3, 3
2021/3/31, 119, 76, 45, 14, 4, 3
2021/2/1, 134, 64, 34, 8, 2, 2
2021/2/2, 116, 64, 34, 14, 2, 2
2021/2/3, 88, 66, 36, 12, 2, 2
2021/2/4, 106, 70, 37, 15, 2, 2
2021/2/5, 105, 71, 38, 15, 2, 2
2021/2/6, 102, 65, 42, 9, 2, 2
2021/2/7, 112, 72, 43, 10, 2, 2
2021/2/8, 124, 70, 41, 12, 2, 2
2021/2/9, 106, 69, 38, 17, 2, 2
2021/2/10, 110, 66, 39, 10, 2, 2
2021/2/11, 109, 65, 40, 13, 2, 2
2021/2/12, 111, 64, 36, 12, 2, 2
2021/2/13, 97, 72, 34, 13, 2, 2
2021/2/14, 109, 76, 37, 15, 2, 2
2021/2/15, 119, 69, 39, 14, 2, 2
2021/2/16, 118, 69, 42, 9, 2, 2
2021/2/17, 122, 67, 34, 9, 2, 2
2021/2/18, 108, 62, 32, 7, 2, 2
2021/2/19, 128, 56, 36, 9, 2, 2
2021/2/20, 108, 38, 27, 6, 2, 2
2021/2/21, 65, 31, 26, 12, 2, 2
2021/2/22, 50, 48, 35, 12, 2, 2
2021/2/23, 85, 65, 39, 14, 2, 2
2021/2/24, 112, 63, 42, 17, 2, 2
2021/2/25, 114, 67, 41, 17, 2, 2
2021/2/26, 117, 67, 43, 16, 2, 2
2021/2/27, 115, 59, 39, 14, 2, 2
2021/2/28, 93, 68, 38, 19, 2, 3
2021/1/4, 107, 50, 27, 10, 2, 2
2021/1/5, 79, 40, 16, 8, 2, 2
2021/1/6, 73, 36, 25, 6, 2, 2
2021/1/7, 74, 61, 27, 10, 2, 2
2021/1/8, 119, 29, 16, 6, 2, 2
2021/1/9, 49, 33, 26, 8, 2, 2
2021/1/10, 56, 60, 33, 8, 2, 2
2021/1/11, 93, 58, 37, 9, 2, 2
2021/1/12, 95, 68, 37, 12, 2, 2
2021/1/13, 128, 61, 34, 9, 2, 2
