date, pm25, pm10, o3, no2, so2, co
2021/4/1, 87, 84, 27, 12, 3, 8
2021/4/2, 102, 97, 16, 12, 5, 8
2021/4/3, 109, 82, 36, 7, 6, 8
2021/4/4, 98, 91, 41, 12, 4, 10
2021/4/5, 120, 91, 42, 15, 1, 11
2021/4/6, 138, 118, 35, 9, 1, 8
2021/4/7, 160, 71, 25, 8, 1, 6
2021/4/8, 114, 74, 33, 12, , 4
2021/4/9, 109, 76, 37, 19, 2, 
2021/4/10, 131, 73, 19, 18, 3, 
2021/4/11, 123, 61, 27, 10, 1, 
2021/4/12, 116, 55, 27, 10, , 
2021/4/13, 106, 47, 29, 9, 5, 
2021/4/14, 89, 58, 31, 13, 5, 
2021/4/15, 102, 63, 36, 9, , 
2021/4/16, 103, 69, 38, 6, 1, 
2021/4/17, 115, 67, 38, 6, , 
2021/4/18, 106, 60, 25, 8, , 
2021/4/19, 92, 68, 28, 6, , 1
2021/4/20, 93, 65, 22, 6, , 
2021/4/21, 87, 71, 33, 5, 3, 
2021/4/22, 98, 55, 30, 9, 2, 1
2021/4/23, 103, , , , , 
2021/3/1, 161, 99, 29, 20, 2, 12
2021/3/2, 150, 86, 33, 17, 2, 10
2021/3/3, 140, 81, 37, 21, 2, 10
2021/3/4, 131, 81, 39, 22, 1, 10
2021/3/5, 133, 82, 43, 16, 2, 11
2021/3/6, 160, 72, 38, 10, , 9
2021/3/7, 156, 85, 38, 16, 1, 11
2021/3/8, 142, 90, 38, 20, 5, 11
2021/3/9, 150, 118, 22, 21, 4, 11
2021/3/10, 138, 68, 26, 11, 3, 8
2021/3/11, 125, 69, 24, 12, 2, 8
2021/3/12, 113, 69, 31, 14, 2, 9
2021/3/13, 119, 81, 31, 20, 2, 10
2021/3/14, 116, 92, 33, 20, 3, 10
2021/3/15, 126, 78, 37, 16, 2, 10
2021/3/16, 132, 87, 38, 16, 2, 11
2021/3/17, 148, 86, 19, 16, 1, 10
2021/3/18, 150, 88, 37, 12, , 10
2021/3/19, 150, 91, 36, 14, 2, 9
2021/3/20, 149, 91, 31, 10, 1, 8
2021/3/21, 140, 103, 35, 19, 3, 11
2021/3/22, 155, 97, 33, 15, 3, 11
2021/3/23, 149, 96, 27, 18, 4, 10
2021/3/24, 120, 72, 30, 16, 4, 10
2021/3/25, 129, 98, 39, 20, 3, 12
2021/3/26, 160, 100, 36, 20, 3, 12
2021/3/27, 161, 75, 32, 9, 3, 9
2021/3/28, 143, 73, 31, 10, 1, 10
2021/3/29, 142, 75, 26, 13, 2, 10
2021/3/30, 131, 76, 34, 13, 3, 10
2021/3/31, 127, 60, 36, 7, 1, 8
2021/2/1, 120, 79, 28, 12, 3, 8
2021/2/2, 138, 74, 32, 11, 4, 8
2021/2/3, 133, 79, 25, 20, 4, 8
2021/2/4, 114, 72, 37, 21, 5, 9
