date, pm25, pm10, o3, no2, so2, co
2021/4/1, 108, 57, 12, 6, 2, 2
2021/4/2, 72, 83, 18, 11, 1, 3
2021/4/3, 106, 82, 16, 7, 2, 2
2021/4/4, 103, 100, 15, 20, 2, 2
2021/4/5, 132, 93, 16, 15, 2, 1
2021/4/6, 148, 81, 16, 17, 2, 2
2021/4/7, 120, 90, 16, 19, 2, 2
2021/4/8, 135, 82, 16, 17, 2, 1
2021/4/9, 125, 83, 16, 16, 2, 1
2021/4/10, 129, 63, 14, 11, 2, 1
2021/4/11, 96, 57, 11, 12, 2, 2
2021/4/12, 77, 51, 11, 10, 2, 2
2021/4/13, 74, 45, 13, 9, 3, 2
2021/4/14, 66, 33, 15, 9, 3, 2
2021/4/15, 50, 44, 16, 12, 3, 2
2021/4/16, 67, 53, 19, 11, 2, 2
2021/4/17, 82, 61, 16, 11, 2, 2
2021/4/18, 99, 48, 16, 10, 3, 2
2021/4/19, 93, 72, 17, 9, 2, 1
2021/4/20, 92, 85, 16, 8, 2, 2
2021/4/21, 113, 83, 17, 13, 2, 1
2021/4/22, 113, , 17, 5, 2, 
2021/3/1, 101, 73, 16, 21, 2, 2
2021/3/2, 116, 79, 13, 25, 2, 2
2021/3/3, 126, 69, 12, 24, 2, 2
2021/3/4, 98, 60, 12, 22, 2, 2
2021/3/5, 78, 53, 10, 13, 2, 1
2021/3/6, 65, 64, 14, 21, 2, 1
2021/3/7, 92, 50, 10, 20, 1, 3
2021/3/8, 63, , , , , 
2021/3/10, 54, 49, 11, 12, 2, 2
2021/3/11, 64, 56, 12, 20, 2, 1
2021/3/12, 79, 56, 13, 19, 2, 2
2021/3/13, 70, 53, 13, 16, 2, 2
2021/3/14, 73, 56, 14, 19, 2, 2
2021/3/15, 79, 62, 15, 21, 2, 2
2021/3/16, 90, 67, 14, 23, 2, 2
2021/3/17, 111, 75, 15, 23, 2, 2
2021/3/18, 129, 78, 16, 23, 2, 2
2021/3/19, 131, 71, 16, 21, 2, 2
2021/3/20, 115, 71, 17, 20, 2, 2
2021/3/21, 113, 81, 13, 24, 2, 2
2021/3/22, 110, 66, 13, 15, 2, 2
2021/3/23, 95, 68, 10, 23, 1, 2
2021/3/24, 94, 68, 11, 20, 2, 2
2021/3/25, 99, 88, 13, 23, 1, 2
2021/3/26, 139, 83, 14, 21, 2, 2
2021/3/27, 137, 84, 15, 15, 2, 1
2021/3/28, 152, 83, 16, 19, 2, 2
2021/3/29, 145, 75, 16, 11, 2, 2
2021/3/30, 124, 84, 17, 16, 1, 2
2021/3/31, 138, 70, 17, 10, 2, 2
