date, pm25, pm10, o3, no2, so2, co
2021/4/1, 87, 56, 47, 8, 2, 7
2021/4/2, 70, 57, 30, 7, 2, 2
2021/4/3, 93, 58, 38, 7, 2, 5
2021/4/4, 100, 64, 43, 8, 2, 3
2021/4/5, 100, 60, 65, 11, 2, 4
2021/4/6, 105, 63, 53, 9, 2, 4
2021/4/7, 98, 61, 16, 6, 2, 3
2021/4/8, 91, , , , , 
2021/4/15, 53, 43, 35, 8, 2, 3
2021/4/16, 59, 45, 42, 10, 2, 3
2021/4/17, 62, 50, 43, 7, 2, 2
2021/4/18, 77, 55, 31, 6, 2, 2
2021/4/19, 78, 47, 23, 4, 2, 1
2021/4/20, 68, 51, 26, 5, 2, 3
2021/4/21, 72, 51, 42, 3, 2, 3
2021/4/22, 74, 47, 48, 2, 2, 3
2021/4/23, 63, , , , , 
2021/3/1, 101, 53, 38, 12, 2, 5
2021/3/2, 93, 59, 45, 14, 2, 5
2021/3/3, 100, 49, 46, 14, 2, 4
2021/3/4, 88, 58, 29, 14, 2, 7
2021/3/5, 91, 71, 28, 9, 2, 6
2021/3/6, 102, 51, 41, 14, 1, 6
2021/3/7, 104, 55, 32, 15, 2, 7
2021/3/8, 99, 47, 28, 10, 1, 4
2021/3/9, 71, 41, 15, 8, 1, 3
2021/3/10, 81, 48, 10, 8, 1, 3
2021/3/11, 41, 37, 26, 8, 1, 3
2021/3/12, 61, 45, 24, 15, 2, 4
2021/3/13, 77, 51, 35, 10, 2, 6
2021/3/14, 78, 50, 25, 10, 2, 5
2021/3/15, 76, 51, 30, 12, 2, 5
2021/3/16, 85, 55, 34, 12, 2, 5
2021/3/17, 91, 65, 36, 15, 2, 6
2021/3/18, 115, 59, 46, 9, 2, 4
2021/3/19, 111, 64, 34, 13, 2, 1
2021/3/20, 101, 64, 48, 9, 2, 7
2021/3/21, 86, 57, 21, 8, 2, 5
2021/3/22, 88, 45, 16, 6, 1, 3
2021/3/23, 74, 57, 27, 10, 2, 4
2021/3/24, 91, 58, 25, 9, 2, 3
2021/3/25, 90, 49, 47, 13, 2, 1
2021/3/26, 75, 63, 44, 14, 2, 2
2021/3/27, 110, 58, 84, 13, 2, 5
2021/3/28, 88, 60, 42, 10, 2, 4
2021/3/29, 95, 51, 42, 10, 2, 4
2021/3/30, 79, 56, 43, 9, 2, 4
2021/3/31, 88, 56, 40, 10, 2, 3
2021/2/1, 87, 54, 29, 14, 1, 3
2021/2/2, 80, 66, 45, 14, 1, 3
2021/2/3, 97, 61, 38, 17, 1, 4
2021/2/4, 93, 57, 41, 21, 2, 9
2021/2/5, 101, 67, 46, 17, 2, 5
2021/2/6, 141, 63, 56, 18, 2, 5
2021/2/7, 101, 57, 49, 19, 2, 5
2021/2/8, 101, 54, 35, 14, 2, 4
2021/2/9, 97, 54, 42, 19, 3, 6
2021/2/10, 95, 55, 49, 24, 2, 7
2021/2/11, 113, 48, 44, 27, 2, 9
2021/2/12, 104, 65, 37, 21, 2, 6
2021/2/13, 99, 63, 43, 14, 2, 5
2021/2/14, 96, 56, 38, 15, 2, 5
2021/2/15, 96, 61, 27, 16, 3, 5
2021/2/16, 106, 60, 29, 15, 2, 5
2021/2/17, 104, 60, 27, 13, 2, 4
2021/2/18, 92, 60, 23, 15, 2, 4
2021/2/19, 93, 49, 20, 14, 2, 4
2021/2/20, 69, 35, 18, 13, 2, 3
2021/2/21, 58, 42, 22, 11, 2, 4
2021/2/22, 60, 34, 27, 13, 2, 7
2021/2/23, 71, 51, 31, 15, 2, 7
2021/2/24, 104, 58, 42, 13, 2, 6
2021/2/25, 101, 57, 48, 13, 2, 7
2021/2/26, 95, 66, 42, 16, 2, 9
2021/2/27, 120, 87, 43, 12, 2, 5
2021/2/28, 105, 54, 42, 14, 2, 6
2021/1/4, 48, 47, 13, 7, 2, 3
2021/1/5, 59, 39, 13, 6, 2, 2
2021/1/6, 43, 33, 9, 6, 2, 3
2021/1/7, 37, 46, 10, 6, 2, 3
2021/1/8, 48, 33, 9, 5, 2, 2
2021/1/9, 49, 43, 10, 7, 2, 3
2021/1/10, 61, 47, 12, 8, 2, 3
2021/1/11, 64, , , , , 
2021/1/13, 65, 50, 19, 8, 1, 2
2021/1/14, 65, 45, 12, 8, 1, 2
2021/1/15, 64, 48, 18, 12, 1, 3
2021/1/16, 66, 51, 20, 13, 1, 3
2021/1/17, 86, 40, 19, 9, 1, 1
2021/1/18, 52, 56, 20, 16, 1, 3
2021/1/19, 72, 68, 21, 17, 1, 5
2021/1/20, 80, 64, 38, 14, 1, 4
2021/1/21, 76, 77, 22, 20, 1, 6
2021/1/22, 84, 71, 25, 15, 1, 4
2021/1/23, 82, 73, 31, 28, 2, 8
2021/1/24, 103, 64, 47, 18, 1, 4
2021/1/25, 80, 65, 41, 22, 1, 5
2021/1/26, 87, 56, 52, 23, 1, 5
