date, pm25, pm10, o3, no2, so2, co
2021/4/1, 86, 45, 6, 2, , 3
2021/4/2, 96, 42, 7, 2, , 4
2021/4/3, 98, 43, 8, 2, 1, 3
2021/4/4, 103, 50, 7, 2, 3, 6
2021/4/5, 117, 51, 7, 2, 1, 6
2021/4/6, 115, 48, 7, 1, 3, 5
2021/4/7, 86, 55, 6, 2, , 6
2021/4/8, 82, 53, 8, 2, 1, 2
2021/4/9, 98, 51, 7, 2, 2, 3
2021/4/10, 64, 55, 6, 2, 1, 7
2021/4/11, 71, 45, 6, 2, , 3
2021/4/12, 32, 43, 7, 2, , 4
2021/4/13, 27, 43, 7, 2, 4, 3
2021/4/14, 28, 39, 8, 2, , 5
2021/4/15, 33, 39, 7, 2, 1, 7
2021/4/16, 74, 24, 8, 2, , 6
2021/4/17, 105, , , , , 
2021/4/22, 129, 51, 7, 2, , 9
2021/4/23, 106, , , , , 
2021/3/1, 89, 58, 1, 1, 4, 7
2021/3/2, 99, 54, 2, 1, 4, 7
2021/3/3, 101, 54, 9, 1, 4, 6
2021/3/4, 93, 51, 10, 1, 5, 6
2021/3/5, 88, 50, 10, 2, 7, 4
2021/3/6, 89, , , , , 
2021/3/8, 100, 34, 9, 1, 4, 4
2021/3/9, 81, 34, 10, 1, 4, 4
2021/3/10, 58, 34, 7, 1, 5, 4
2021/3/11, 74, 50, 11, 1, , 6
2021/3/12, 101, 21, 3, 1, 4, 3
2021/3/13, 101, 193, 4, 1, 7, 6
2021/3/14, 91, 204, 11, 1, 6, 5
2021/3/15, 86, 56, 4, 1, 5, 6
2021/3/16, 114, 58, 10, 1, 5, 5
2021/3/17, 119, 58, 8, 1, 2, 6
2021/3/18, 127, 53, 6, 1, 1, 5
2021/3/19, 117, 46, 8, 1, 5, 4
2021/3/20, 91, 37, 8, 1, 3, 5
2021/3/21, 83, 43, 8, 1, 2, 4
2021/3/22, 99, 43, 7, 1, 2, 4
2021/3/23, 92, 40, 7, 1, 3, 6
2021/3/24, 96, 48, 8, 1, 3, 7
2021/3/25, 112, 48, 6, , 4, 7
2021/3/26, 104, 51, 7, 1, 4, 7
2021/3/27, 108, 55, 8, , 8, 8
2021/3/28, 109, 52, 6, 1, 2, 5
2021/3/29, 102, 55, 6, 1, , 4
2021/3/30, 79, 47, 7, 2, 2, 3
2021/3/31, 77, 44, 7, 2, 3, 7
2021/2/1, 70, 28, 4, 1, 1, 8
2021/2/2, 74, 41, 6, 1, 2, 8
2021/2/3, 57, 54, 3, 1, 3, 6
2021/2/4, 49, 39, 4, 1, 3, 9
2021/2/5, 71, 39, 10, 1, 2, 6
2021/2/6, 82, 36, 9, 1, 3, 6
2021/2/7, 105, , , , , 
2021/2/9, 86, 39, 9, 1, 2, 6
2021/2/10, 81, 40, 9, 1, 4, 6
2021/2/11, 88, 38, 9, 1, 6, 6
2021/2/12, 77, 42, 9, 1, 4, 5
2021/2/13, 71, 44, 9, 1, 10, 7
2021/2/14, 80, 49, 9, 1, 4, 6
2021/2/15, 79, 57, 9, 1, 6, 6
2021/2/16, 86, 55, 9, 1, 3, 6
2021/2/17, 93, 52, 9, 1, 4, 6
2021/2/18, 81, 56, 9, 1, 1, 4
2021/2/19, 89, 52, 9, 1, , 5
2021/2/20, 76, 49, 9, 1, 1, 5
2021/2/21, 76, 41, 9, 1, , 4
2021/2/22, 48, 46, 10, 1, 1, 5
2021/2/23, 57, 30, 4, 1, 3, 6
2021/2/24, 82, 26, 3, 1, 8, 9
2021/2/25, 88, 51, 4, 2, 4, 8
2021/2/26, 104, 64, 2, 2, 3, 8
2021/2/27, 102, 62, 1, 1, 5, 7
2021/2/28, 97, 64, 3, 1, 5, 7
2021/1/4, 79, 20, 4, 2, , 6
