date, pm25, pm10, o3, no2, so2, co
2021/4/1, 109, 43, 27, 2, 1, 4
2021/4/2, 99, 51, 20, 2, 1, 3
2021/4/3, 123, 42, 31, 2, 1, 3
2021/4/4, 119, 59, 34, 2, 1, 4
2021/4/5, 124, 60, 42, 2, 1, 5
2021/4/6, 154, 51, 32, 2, 1, 4
2021/4/7, 136, 50, 17, 2, 2, 4
2021/4/8, 134, 54, 28, 2, 1, 4
2021/4/9, 133, 46, 24, 4, 1, 3
2021/4/10, 123, 42, 30, 5, 1, 4
2021/4/11, 128, 37, 17, 5, 1, 4
2021/4/12, 116, 44, 21, 5, 1, 3
2021/4/13, 97, 37, 17, 5, , 3
2021/4/14, 88, 31, 15, 5, , 3
2021/4/15, 76, 41, 20, 5, , 4
2021/4/16, 91, 40, 14, 5, , 4
2021/4/17, 76, 40, 20, 5, 1, 3
2021/4/18, 75, 32, 10, 6, 1, 4
2021/4/19, 72, 52, 13, 5, , 3
2021/4/20, 66, 38, 12, 6, 1, 3
2021/4/21, 68, 44, 22, 5, 1, 3
2021/4/22, 75, 19, , 5, , 3
2021/4/23, 66, , , , , 
2021/3/1, 116, 45, 28, 4, 1, 4
2021/3/2, 115, 50, 25, 3, 1, 4
2021/3/3, 117, 57, 25, 3, 1, 4
2021/3/4, 117, 51, 9, 3, 1, 5
2021/3/5, 96, 54, 23, 5, 1, 5
2021/3/6, 97, 44, , 3, 1, 5
2021/3/7, 121, 48, 13, 3, 1, 5
2021/3/8, 110, 56, 32, 3, 1, 5
2021/3/9, 134, 54, 18, 3, 1, 5
2021/3/10, 121, , , , , 
2021/3/16, 123, 54, 39, 2, 1, 5
2021/3/17, 131, 54, 33, 2, 1, 4
2021/3/18, 142, 58, 41, 2, 1, 5
2021/3/19, 152, 55, 13, 2, 1, 4
2021/3/20, 137, 54, 29, 2, , 4
2021/3/21, 135, 57, 32, 2, 1, 4
2021/3/22, 132, 59, 20, 1, 1, 4
2021/3/23, 141, 52, 22, 1, 1, 4
