date, pm25, pm10, o3, no2, so2, co
2021/4/1, 107, 105, 36, 9, 6, 2
2021/4/2, 173, 120, 41, 10, 5, 4
2021/4/3, 146, 158, 20, 16, 7, 8
2021/4/4, 180, 85, 46, 10, 9, 7
2021/4/5, 138, 78, 43, 7, 7, 4
2021/4/6, 141, 104, 43, 4, 8, 3
2021/4/7, 163, 80, 32, 9, 7, 5
2021/4/8, 136, 111, 31, 10, 6, 6
2021/4/9, 150, 74, 37, 11, 8, 6
2021/4/10, 122, 57, 29, 6, 5, 3
2021/4/11, 86, 140, 18, 15, 8, 8
2021/4/12, 171, 57, 10, 11, 5, 3
2021/4/13, 72, 343, 29, 19, 6, 13
2021/4/14, 374, 46, 32, 9, 5, 3
2021/4/15, 69, 33, 36, 9, 5, 1
2021/4/16, 72, , , , , 
2021/3/1, 114, 71, 29, 22, 7, 8
2021/3/2, 136, 74, 27, 17, 7, 7
2021/3/3, 139, 74, 31, 19, 8, 6
2021/3/4, 127, 67, 33, 17, 8, 6
2021/3/5, 287, 87, 37, 13, 8, 5
2021/3/6, 155, 71, 37, 19, 7, 7
2021/3/7, 133, 148, 40, 11, 8, 4
2021/3/8, 139, 65, 35, 9, 8, 3
2021/3/9, 133, 68, 9, 13, 6, 4
2021/3/10, 132, 58, 24, 16, 6, 4
2021/3/11, 81, 60, 29, 12, 8, 3
2021/3/12, 98, 87, 28, 10, 7, 3
2021/3/13, 127, 123, 32, 9, 9, 3
2021/3/14, 173, 56, 36, 10, 7, 4
2021/3/15, 104, 143, 33, 13, 7, 3
2021/3/16, 187, 114, 37, 14, 7, 6
2021/3/17, 182, 80, 43, 6, 8, 4
2021/3/18, 132, 120, 42, 7, 9, 4
2021/3/19, 162, 64, 37, 8, 7, 3
2021/3/20, 114, 59, 35, 6, 6, 2
2021/3/21, 105, 80, 42, 10, 7, 6
2021/3/22, 155, 203, 34, 7, 6, 4
2021/3/23, 161, 101, 39, 8, 7, 5
2021/3/24, 184, 147, 38, 10, 7, 7
2021/3/25, 219, 153, 40, 14, 8, 8
2021/3/26, 186, 285, 28, 12, 7, 7
2021/3/27, 159, 227, 44, 15, 9, 11
2021/3/28, 163, 90, 41, 13, 8, 9
2021/3/29, 155, 78, 36, 11, 7, 6
2021/3/30, 148, 68, 42, 10, 6, 6
2021/3/31, 107, 75, 35, 7, 6, 4
2021/2/4, 123, 81, 26, 33, 5, 6
2021/2/5, 119, 80, 27, 21, 6, 6
2021/2/6, 127, 191, 26, 18, 6, 5
2021/2/7, 251, 74, 27, 25, 7, 4
2021/2/8, 137, 113, 29, 25, 8, 7
2021/2/9, 168, 75, 29, 23, 6, 7
2021/2/10, 125, 106, 29, 16, 7, 4
2021/2/11, 166, 67, 27, 18, 9, 4
2021/2/12, 132, 215, 20, 18, 7, 4
2021/2/13, 259, 137, 25, 15, 6, 3
2021/2/14, 182, 68, 26, 15, 6, 3
2021/2/15, 120, 189, 24, 14, 6, 3
2021/2/16, 240, 71, 33, 13, 8, 3
2021/2/17, 137, 66, 26, 10, 6, 2
2021/2/18, 117, 75, 18, 9, 7, 2
2021/2/19, 135, 58, 23, 11, 5, 3
2021/2/20, 117, 58, 17, 12, 6, 3
2021/2/21, 111, 315, 19, 12, 5, 3
2021/2/22, 147, 115, 28, 21, 6, 9
2021/2/23, 144, 81, 31, 23, 6, 7
2021/2/24, 132, 83, 31, 25, 6, 8
2021/2/25, 138, 114, 33, 23, 6, 7
