date, pm25, pm10, o3, no2, so2, co
2021/4/1, 78, 46, 19, 2, 5, 7
2021/4/2, 69, 51, 19, 2, 5, 7
2021/4/3, 82, 48, 22, 2, 5, 7
2021/4/4, 75, 54, 24, 2, 5, 7
2021/4/5, 98, 60, 15, 2, 7, 7
2021/4/6, 119, 36, 15, 2, 5, 7
2021/4/7, 77, 42, 12, 1, 3, 7
2021/4/8, 82, 47, 21, 2, 4, 7
2021/4/9, 83, 57, 22, 2, 3, 7
2021/4/10, 110, 62, 12, 2, 4, 7
2021/4/11, 124, 79, 10, 2, 2, 7
2021/4/12, 103, 44, 12, 2, 2, 7
2021/4/13, 79, 34, 13, 2, 1, 7
2021/4/14, 75, 41, 18, 2, 2, 7
2021/4/15, 96, 55, 23, 2, 4, 7
2021/4/16, 113, 60, 22, 2, 5, 7
2021/4/17, 127, 61, 20, 2, 5, 7
2021/4/18, 130, 50, 17, 2, 2, 7
2021/4/19, 99, 46, 18, 2, 3, 7
2021/4/20, 93, 41, 15, 2, 3, 7
2021/4/21, 86, 53, 16, 2, 4, 7
2021/4/22, 107, 45, 14, 2, 2, 7
2021/4/23, 92, , , , , 
2021/3/1, 72, 34, 20, , 1, 
2021/3/2, 74, 30, 18, , 6, 
2021/3/3, 69, 27, 20, , 5, 
2021/3/4, 66, 33, 21, , 7, 
2021/3/5, 72, 32, 25, , 8, 
2021/3/6, 72, 37, 25, , 7, 
2021/3/7, 76, 34, 17, , 5, 3
2021/3/8, 73, 35, 19, 2, 5, 3
2021/3/9, 74, 29, 11, 2, 5, 2
2021/3/10, 69, 19, 7, 2, 4, 3
2021/3/11, 55, 18, 13, 2, 3, 3
2021/3/12, 57, 11, 18, 1, 4, 2
2021/3/13, 48, 13, 19, 2, 5, 3
2021/3/14, 53, 18, 20, 2, 5, 3
2021/3/15, 57, 23, 24, 2, 7, 3
2021/3/16, 63, 38, 21, 1, 6, 3
2021/3/17, 77, 48, 20, 2, 5, 3
2021/3/18, 89, 48, 26, 2, 5, 3
2021/3/19, 87, 47, 20, 2, 7, 3
2021/3/20, 84, 30, 18, 2, 2, 3
2021/3/21, 58, 38, 23, 2, 4, 3
2021/3/22, 64, 52, 16, 2, 3, 3
2021/3/23, 75, , , , , 
2021/3/27, 68, 48, 21, 2, 5, 3
2021/3/28, 73, 36, 25, 2, 4, 3
2021/3/29, 63, 25, 13, 2, 2, 3
2021/3/30, 55, 47, 20, 1, 6, 7
2021/3/31, 78, 49, 24, 2, 7, 7
2021/2/1, 20, 19, 11, , 1, 
2021/2/2, 21, 15, 10, , 1, 
2021/2/3, 24, 15, 14, , 1, 
2021/2/4, 30, 14, 17, , 2, 
2021/2/5, 29, 15, 17, , 2, 
2021/2/6, 30, 21, 11, , 2, 
2021/2/7, 35, 43, 19, 1, 4, 
2021/2/8, 60, 35, 15, 1, 4, 
2021/2/9, 56, 35, 18, 1, 10, 
2021/2/10, 56, 35, 14, 1, 1, 
2021/2/11, 56, 39, 12, , 4, 
2021/2/12, 60, 40, 12, 1, 4, 
2021/2/13, 62, 46, 21, 1, 5, 
2021/2/14, 68, 48, 17, 1, 5, 
2021/2/15, 70, 45, 17, 1, 5, 
2021/2/16, 75, 48, 13, , 5, 
2021/2/17, 81, 38, 11, 1, 3, 
2021/2/18, 69, 38, 10, 1, 3, 
2021/2/19, 68, 35, 13, 1, 2, 9
2021/2/20, 66, 34, 5, 1, 3, 
2021/2/21, 65, 17, 7, , 2, 
2021/2/22, 31, 32, 11, , 5, 
2021/2/23, 54, 46, 18, , 3, 
2021/2/24, 68, 40, 15, , 7, 
