date, pm25, pm10, o3, no2, so2, co
2021/4/1, 114, 60, 44, 9, 8, 4
2021/4/2, 75, 70, 42, 6, 6, 4
2021/4/3, 84, 78, 39, 11, 6, 3
2021/4/4, 96, 78, 53, 7, 7, 4
2021/4/5, 103, 70, 67, 9, 7, 4
2021/4/6, 129, 76, 52, 9, 9, 4
2021/4/7, 124, 76, 46, 13, 9, 3
2021/4/8, 123, 80, 55, 11, 8, 4
2021/4/9, 126, 71, 54, 8, 11, 4
2021/4/10, 110, 58, 38, 8, 11, 3
2021/4/11, 99, 46, 22, 5, 8, 2
2021/4/12, 71, 36, 23, 5, 10, 2
2021/4/13, 52, 37, 26, 8, 10, 2
2021/4/14, 64, 21, 29, 8, 6, 2
2021/4/15, 43, 36, 38, 8, 6, 3
2021/4/16, 61, 37, 41, 10, 5, 3
2021/4/17, 70, 42, 20, 10, 7, 3
2021/4/18, 83, 48, 39, 7, 8, 3
2021/4/19, 87, 47, 33, 8, 6, 3
2021/4/20, 91, 50, 33, 6, 5, 2
2021/4/21, 101, 43, 45, 8, 8, 4
2021/4/22, 84, 27, 35, 7, 6, 3
2021/4/23, 61, , , , , 
2021/3/1, 149, 61, 43, 2, 7, 4
2021/3/2, 105, 71, 42, 2, 9, 3
2021/3/3, 131, 54, 42, 3, 9, 4
2021/3/4, 90, 56, 40, 9, 9, 3
2021/3/5, 87, 49, 6, 15, 9, 1
2021/3/6, 55, 59, 55, 13, 11, 3
2021/3/7, 143, 44, 32, 8, 8, 3
2021/3/8, 61, 25, 32, 8, 7, 3
2021/3/9, 29, 36, 28, 6, 10, 2
2021/3/10, 33, 28, 7, 9, 7, 1
2021/3/11, 42, 39, 38, 8, 11, 3
2021/3/12, 70, 52, 3, 15, 9, 1
2021/3/13, 57, 43, 39, 8, 8, 3
2021/3/14, 66, 51, 41, 6, 10, 4
2021/3/15, 71, 56, 53, 9, 9, 3
2021/3/16, 87, 54, 49, 7, 8, 5
2021/3/17, 91, 65, 52, 8, 8, 5
2021/3/18, 120, 72, 55, 10, 8, 4
2021/3/19, 125, 60, 40, 10, 10, 3
2021/3/20, 109, 71, 8, 16, 9, 1
2021/3/21, 127, 70, 40, 9, 9, 3
2021/3/22, 110, 46, 32, 6, 7, 3
2021/3/23, 75, 62, 35, 8, 9, 3
2021/3/24, 93, 57, 31, 7, 9, 3
2021/3/25, 84, 74, 53, 10, 9, 4
2021/3/26, 124, 78, 61, 10, 8, 4
2021/3/27, 133, 79, 56, 10, 9, 4
2021/3/28, 150, 74, 54, 13, 10, 3
2021/3/29, 140, 59, 33, 6, 7, 3
2021/3/30, 112, 108, 13, 14, 8, 1
2021/3/31, 155, 71, 40, 9, 8, 3
2021/2/1, 110, 57, 39, 3, 8, 5
2021/2/2, 110, 66, 41, 5, 9, 7
2021/2/3, 136, 61, 50, 5, 9, 7
2021/2/4, 106, 68, 44, 9, 9, 8
2021/2/5, 113, 73, 55, 12, 8, 11
2021/2/6, 128, 71, 54, 10, 8, 10
2021/2/7, 126, 65, 57, 6, 9, 11
2021/2/8, 114, 61, 46, 6, 12, 6
2021/2/9, 112, 68, 45, 12, 10, 7
2021/2/10, 119, 70, 60, 7, 8, 15
2021/2/11, 123, 71, 73, 11, 8, 6
2021/2/12, 125, 54, 44, 9, 8, 1
2021/2/13, 81, 61, 42, 8, 8, 2
2021/2/14, 105, 69, 51, 10, 9, 4
2021/2/15, 123, 61, 44, 4, 6, 4
2021/2/16, 104, 53, 66, 4, 8, 5
2021/2/17, 88, 53, 34, 1, 7, 4
2021/2/18, 102, 61, 40, 4, 8, 3
2021/2/19, 121, 43, 31, 5, 7, 2
2021/2/20, 79, 16, 24, 3, 5, 2
2021/2/21, 22, 26, 27, 2, 8, 2
2021/2/22, 48, 45, 27, 7, 9, 2
2021/2/23, 78, 61, 54, 9, 8, 4
2021/2/24, 109, 64, 35, 12, 8, 3
2021/2/25, 107, 67, 47, 4, 6, 4
2021/2/26, 119, 79, 70, 6, 6, 4
2021/2/27, 140, 59, 56, , 9, 5
2021/2/28, 110, 76, 44, 2, 12, 2
2021/1/4, 51, 26, 20, 3, 8, 3
2021/1/5, 47, 12, 12, 2, 11, 5
2021/1/6, 29, 16, 12, 3, 15, 3
2021/1/7, 37, 24, 12, 3, 10, 3
2021/1/8, 48, 29, 11, 2, 12, 16
