date, pm25, pm10, o3, no2, so2, co
2021/4/1, 135, 74, 3, 7, 2, 2
2021/4/2, 147, 85, 4, 7, 3, 3
2021/4/3, 172, 99, 3, 9, 2, 4
2021/4/4, 180, , , , , 
2021/4/9, 107, 54, 9, 14, 2, 
2021/4/10, 108, 25, 11, 14, 2, 1
2021/4/11, 80, 46, 8, 8, 2, 1
2021/4/12, 135, 42, 5, 6, 2, 1
2021/4/13, 103, 35, 4, 6, 2, 1
2021/4/14, 89, 33, 4, 6, 2, 
2021/4/15, 66, 61, 4, 6, 2, 1
2021/4/16, 119, 38, 3, 6, 1, 
2021/4/17, 99, , , , , 
2021/3/1, 89, 100, 32, 6, 6, 6
2021/3/2, 100, 83, 28, 6, 2, 3
2021/3/3, 92, 74, 13, 6, 2, 4
2021/3/4, 103, 112, 8, 5, 2, 4
2021/3/5, 115, 145, 6, 6, 2, 4
2021/3/6, 211, 105, 4, 5, 2, 3
2021/3/7, 111, 113, 3, 5, 2, 3
2021/3/8, 133, 88, 3, 5, 2, 2
2021/3/9, 97, 68, 2, 5, 2, 2
2021/3/10, 106, 67, 2, 5, 2, 3
2021/3/11, 117, 65, 2, 4, 2, 2
2021/3/12, 110, 66, 1, 4, 2, 2
2021/3/13, 108, 87, 1, 3, 2, 4
2021/3/14, 152, 96, 1, 2, 10, 5
2021/3/15, 164, 90, , 5, 2, 4
2021/3/16, 161, 95, , 6, 3, 4
2021/3/17, 164, 84, 9, 6, 2, 2
2021/3/18, 150, 68, 8, 5, 1, 1
2021/3/19, 120, 68, 8, 5, 2, 1
2021/3/20, 119, 77, 8, 6, 1, 1
2021/3/21, 127, 84, 6, 7, 2, 1
2021/3/22, 142, 56, 8, 6, 2, 2
2021/3/23, 98, 79, 8, 6, 2, 1
2021/3/24, 125, 97, 5, 7, 2, 1
2021/3/25, 138, 79, 5, 6, 2, 1
2021/3/26, 124, 86, 5, 7, 2, 2
2021/3/27, 149, 99, 5, 7, 2, 3
2021/3/28, 194, 98, 5, 7, 2, 4
2021/3/29, 198, 67, 4, 6, 2, 1
2021/3/30, 132, 62, 4, 7, 2, 2
2021/3/31, 117, 70, 3, 7, 2, 2
2021/2/1, 27, 83, 6, 4, 8, 2
2021/2/2, 30, 80, 6, 4, 8, 2
2021/2/3, 27, 77, 5, 4, 8, 2
2021/2/4, 25, 80, 6, 4, 8, 2
2021/2/5, 205, 84, 6, 4, 8, 1
2021/2/6, 128, 73, 5, 4, 8, 1
2021/2/7, 124, 81, 5, 4, 8, 2
2021/2/8, 119, 100, 5, 5, 8, 3
2021/2/9, 153, 90, 7, 6, 12, 3
2021/2/10, 232, 70, 9, 4, 8, 2
2021/2/11, 250, 81, 8, 4, 9, 3
2021/2/12, 125, 78, 8, 4, 8, 2
2021/2/13, 120, 83, 55, 8, 9, 5
2021/2/14, 165, 77, 41, 7, 9, 1
2021/2/15, 154, 66, 4, 4, 8, 1
2021/2/16, 126, 48, 3, 4, 8, 1
2021/2/17, 71, 58, 3, 4, 8, 2
2021/2/18, 93, 59, 2, 6, 7, 5
2021/2/19, 116, 56, 2, 5, 8, 2
2021/2/20, 102, 53, 2, 5, 8, 2
2021/2/21, 90, 72, 1, 5, 8, 2
2021/2/22, 246, 78, 1, 6, 8, 4
2021/2/23, 140, 63, , 6, 9, 5
2021/2/24, 101, 96, , 6, 9, 5
2021/2/25, 141, 104, , 6, 9, 5
2021/2/26, 117, 60, , 6, 9, 3
2021/2/27, 66, 70, , 6, 9, 4
2021/2/28, 93, 82, , 5, 9, 4
2021/1/4, 74, 99, 13, 4, 9, 6
2021/1/5, 76, 98, 13, 4, 8, 9
2021/1/6, 74, 77, 14, 4, 9, 6
2021/1/7, 53, 86, 14, 4, 8, 8
2021/1/8, 67, 71, 14, 4, 8, 8
2021/1/9, 56, 75, 14, 4, 9, 8
2021/1/10, 39, 91, 13, 4, 8, 10
2021/1/11, 67, 91, 14, 4, 9, 6
2021/1/12, 69, 66, 15, 4, 8, 4
2021/1/13, 53, 57, 15, 4, 8, 4
2021/1/14, 38, 75, 15, 4, 9, 5
2021/1/15, 40, 69, 14, 4, 8, 8
