date, pm25, pm10, o3, no2, so2, co
2021/3/1, 127, , , , , 
2021/2/1, 153, 84, 32, 33, 2, 10
2021/2/2, 133, 68, 30, 29, 1, 5
2021/2/3, 131, 63, 30, 20, 1, 2
2021/2/4, 125, 65, 37, 16, 1, 1
2021/2/5, 144, 61, 33, 22, 1, 1
2021/2/6, 111, 65, 36, 27, 2, 5
2021/2/7, 122, 72, 35, 34, 4, 8
2021/2/8, 134, 78, 36, 33, 3, 7
2021/2/9, 136, 68, 40, 30, 2, 5
2021/2/10, 127, 78, 39, 31, 3, 9
2021/2/11, 139, 70, 43, 26, 2, 4
2021/2/12, 138, 76, 43, 18, 3, 1
2021/2/13, 143, 69, 49, 16, 2, 1
2021/2/14, 144, 74, 45, 17, 2, 1
2021/2/15, 146, 67, 40, 13, 1, 
2021/2/16, 121, 65, 35, 23, 2, 2
2021/2/17, 144, 62, 34, 21, 1, 1
2021/2/18, 141, 36, 29, 17, , 1
2021/2/19, 87, 47, 30, 20, , 
2021/2/20, 112, 63, 35, 25, 3, 5
2021/2/21, 134, 72, 35, 30, 1, 7
2021/2/22, 153, 64, 39, 26, 3, 5
2021/2/23, 146, 60, 44, 20, 1, 2
2021/2/24, 147, 65, 44, 14, 1, 1
2021/2/25, 157, 45, 25, 10, 1, 
2021/2/26, 114, , , , , 
2021/1/4, 174, 60, 28, 14, , 2
2021/1/5, 152, 74, 33, 16, , 1
2021/1/6, 158, 55, 17, 18, , 1
2021/1/7, 137, 29, 9, 15, , 2
2021/1/8, 79, 44, 24, 14, , 2
2021/1/9, 120, 58, 22, 18, , 4
2021/1/10, 146, 70, 26, 20, , 8
2021/1/11, 134, 68, 31, 22, , 7
2021/1/12, 139, 52, 23, 14, , 2
2021/1/13, 114, 51, 30, 14, , 2
2021/1/14, 106, 55, 33, 14, , 1
2021/1/15, 120, 58, 34, 15, , 2
2021/1/16, 137, 63, 36, 14, , 1
2021/1/17, 151, 53, 37, 13, , 2
2021/1/18, 124, 43, 25, 11, , 1
2021/1/19, 94, 42, 26, 10, 1, 1
2021/1/20, 105, 58, 59, 12, 5, 1
2021/1/21, 119, 78, 42, 24, 2, 6
2021/1/22, 156, 65, 47, 13, , 1
2021/1/23, 149, 67, 39, 13, , 
2021/1/24, 137, 72, 40, 19, 1, 1
2021/1/25, 138, 73, 40, 17, 1, 1
2021/1/26, 146, 77, 40, 23, 1, 2
2021/1/27, 149, 73, 36, 18, 1, 1
2021/1/28, 145, 85, 41, 34, 4, 6
2021/1/29, 158, 73, 36, 25, 4, 2
2021/1/30, 143, 73, 35, 27, 3, 5
2021/1/31, 149, 81, 32, 30, 4, 9
2020/10/1, 77, 37, 20, 9, , 3
2020/10/2, 74, 38, 24, 7, , 3
2020/10/3, 81, 40, 24, 6, , 2
2020/10/4, 79, 33, 21, 5, , 2
2020/10/5, 68, 43, 24, 7, , 3
2020/10/6, 86, 46, 30, 6, , 3
2020/10/7, 90, 51, 36, 10, , 4
2020/10/8, 100, 52, 39, 10, , 5
2020/10/9, 111, 52, 41, 9, , 4
2020/10/10, 108, 57, 34, 8, , 4
2020/10/11, 119, 61, 45, 10, , 5
2020/10/12, 129, 52, 49, 11, , 5
2020/10/13, 110, 48, 25, 8, , 4
2020/10/14, 107, 23, 14, 7, , 3
2020/10/15, 61, 24, 21, 10, , 4
2020/10/16, 54, 29, 23, 7, , 3
2020/10/17, 66, 34, 17, 7, , 2
2020/10/18, 66, 28, 25, 8, , 4
2020/10/19, 71, 37, 32, 7, , 3
2020/10/20, 86, 34, 19, 11, , 5
2020/10/21, 84, 43, 28, 8, , 4
2020/10/22, 109, 37, 29, 12, , 7
2020/10/23, 97, 42, 31, 14, , 6
2020/10/24, 115, 46, 34, 19, , 6
2020/10/25, 102, 42, 33, 12, , 4
2020/10/26, 90, 45, 36, 12, , 4
2020/10/27, 94, 39, 57, 13, 6, 8
2020/10/28, 90, 40, 29, 11, , 4
2020/10/29, 88, 38, 31, 10, , 3
2020/10/30, 82, 48, 35, 12, , 4
2020/10/31, 102, 39, 2, 9, , 3
2020/11/1, 99, 85, 45, 22, 1, 12
2020/11/2, 155, 95, 42, 25, 1, 15
2020/11/3, 168, 64, 42, 13, , 6
2020/11/4, 145, 65, 42, 16, , 8
2020/11/5, 131, 61, 41, 12, , 5
2020/11/6, 139, 74, 40, 21, 1, 8
2020/11/7, 143, 70, 43, 18, 1, 8
2020/11/8, 145, 71, 46, 19, 1, 9
2020/11/9, 148, 81, 40, 20, 2, 9
2020/11/10, 146, 74, 44, 19, 1, 6
2020/11/11, 150, 80, 41, 20, 2, 6
2020/11/12, 156, 66, 24, 18, , 6
2020/11/13, 135, 80, 22, 16, , 6
2020/11/14, 176, 61, 24, 14, , 3
2020/11/15, 126, 63, 31, 15, , 4
2020/11/16, 140, 62, 25, 16, , 6
2020/11/17, 140, 44, 23, 11, , 2
2020/11/18, 103, 53, 28, 10, , 2
2020/11/19, 134, 38, 21, 11, , 2
2020/11/20, 93, 47, 30, 14, , 4
2020/11/21, 110, 55, 31, 13, , 2
2020/11/22, 133, 54, 31, 12, , 2
2020/11/23, 125, 58, 50, 17, 6, 8
2020/11/24, 135, 70, 40, 16, 1, 4
2020/11/25, 155, 65, 47, 17, 1, 2
2020/11/26, 148, 65, 47, 15, , 1
2020/11/27, 144, 53, 42, 13, , 2
2020/11/28, 128, 50, 33, 15, , 3
2020/11/29, 104, 55, 34, 18, , 5
2020/11/30, 130, 62, 39, 20, , 7
2020/12/1, 139, 63, 43, 20, , 5
2020/12/2, 133, 67, 43, 19, , 4
2020/12/3, 142, 71, 38, 22, 1, 5
2020/12/4, 150, 65, 36, 22, 1, 5
2020/12/5, 147, 67, 39, 21, 2, 6
2020/12/6, 143, 72, 38, 27, 1, 7
2020/12/7, 150, 69, 39, 25, 1, 5
2020/12/8, 148, 57, 37, 20, , 4
2020/12/9, 135, 70, 41, 26, 1, 7
2020/12/10, 153, 71, 19, 19, , 2
2020/12/11, 156, 55, 27, 14, , 1
2020/12/12, 123, 43, 23, 12, , 
2020/12/13, 109, 53, 14, 17, , 5
2020/12/14, 126, 47, 27, 13, , 1
2020/12/15, 119, 52, 32, 14, , 1
2020/12/16, 124, 69, 31, 18, , 4
2020/12/17, 149, 75, 37, 17, , 4
2020/12/18, 150, 70, 34, 19, , 3
2020/12/19, 153, 61, 39, 18, 1, 2
2020/12/20, 140, 61, 38, 22, 3, 6
2020/12/21, 132, 74, 39, 29, 2, 7
2020/12/22, 141, 74, 84, 27, 7, 7
2020/12/23, 150, 73, 43, 22, 2, 6
2020/12/24, 150, 81, 40, 26, 1, 4
2020/12/25, 154, 77, 39, 25, 1, 5
2020/12/26, 155, 56, 32, 14, , 1
2020/12/27, 136, 56, 34, 17, 2, 3
2020/12/28, 120, 72, 36, 20, 1, 2
2020/12/29, 136, 77, 38, 21, 1, 2
2020/12/30, 153, 74, 36, 18, , 3
2020/12/31, 163, 76, 29, 16, , 1
2021/1/1, 177, 75, 38, 15, , 1
2021/1/2, 167, , , , , 
2020/7/1, 58, 19, 9, 3, , 3
2020/7/2, 53, 22, 9, 4, , 3
2020/7/3, 45, 12, 9, 4, , 3
2020/7/4, 22, 17, 10, 3, , 3
2020/7/5, 40, 22, 10, 3, , 3
2020/7/6, 42, 18, 18, 3, , 4
2020/7/7, 55, 23, 11, 4, , 4
2020/7/8, 41, 28, 6, 4, , 4
2020/7/9, 50, 30, 6, 3, , 3
2020/7/10, 51, 31, 6, 3, , 3
2020/7/11, 57, 19, 6, 3, , 3
2020/7/12, 67, 21, 8, 3, , 4
2020/7/13, 55, 18, 6, 3, , 3
2020/7/14, 32, 7, 6, 5, , 4
2020/7/15, 36, 14, 8, 4, , 3
2020/7/16, 37, 18, 9, 3, , 3
2020/7/17, 39, 22, 8, 3, , 3
2020/7/18, 40, 25, 7, 3, , 3
2020/7/19, 50, 27, 6, 3, , 3
2020/7/20, 50, 32, 7, 3, , 3
2020/7/21, 46, 21, 31, 3, 6, 4
2020/7/22, 42, 27, 7, 3, , 4
2020/7/23, 34, 20, 6, 7, , 4
2020/7/24, 47, 24, 12, 7, , 4
2020/7/25, 66, 18, 11, 7, , 2
2020/7/26, 68, 12, 9, 6, , 3
2020/7/27, 33, 15, 7, 5, , 3
2020/7/28, 29, 18, 7, 6, , 3
2020/7/29, 54, 16, 13, 6, , 3
2020/7/30, 54, 16, 13, 7, , 4
2020/7/31, 47, 16, 12, 8, , 4
2020/8/1, 49, 16, 13, 7, , 3
2020/8/2, 59, 15, 8, 9, , 4
2020/8/3, 39, 11, 10, 7, , 3
2020/8/4, 29, 7, 20, 7, , 4
2020/8/5, 34, 10, 21, 8, , 4
2020/8/6, 50, 15, 17, 6, , 3
2020/8/7, 50, 16, 8, 6, , 3
2020/8/8, 70, 19, 8, 5, , 3
2020/8/9, 59, 18, 8, 6, , 3
2020/8/10, 93, 17, 7, 7, , 4
2020/8/11, 56, 15, 8, 6, , 4
2020/8/12, 63, 19, 8, 8, , 4
2020/8/13, 42, 14, 8, 8, , 4
2020/8/14, 38, 16, 7, 7, , 4
2020/8/15, 48, 23, 7, 6, , 3
2020/8/16, 62, 19, 4, 8, , 4
2020/8/17, 54, 21, 4, 8, , 3
2020/8/18, 36, 14, 4, 7, , 3
2020/8/19, 46, 17, 4, 7, , 3
2020/8/20, 39, 17, 3, 7, , 4
2020/8/21, 44, 14, 2, 7, , 4
2020/8/22, 61, 17, 5, 6, , 3
2020/8/23, 54, 17, 36, 6, 5, 4
2020/8/24, 41, 23, 4, 7, , 3
