date, pm25, pm10, o3, no2, so2, co
2021/3/1, 114, 69, 34, 15, 6, 8
2021/3/2, 108, 80, 39, 15, 7, 10
2021/3/3, 143, , , , , 
2021/3/6, 79, 67, 26, 15, 7, 11
2021/3/7, 145, 72, 39, 15, 7, 9
2021/3/8, 124, 77, 37, 15, 7, 10
2021/3/9, 133, 69, 38, 15, 7, 7
2021/3/10, 115, 76, 39, 15, 7, 10
2021/3/11, 125, 79, 36, 15, 7, 9
2021/3/12, 138, 63, 34, 15, 7, 5
2021/3/13, 96, 68, 36, 15, 7, 8
2021/3/14, 122, 72, 36, 15, 7, 9
2021/3/15, 125, 75, 46, 15, 7, 6
2021/3/16, 125, , , , , 
2021/2/1, 103, 1, 24, 29, 7, 13
2021/2/2, 1, , 31, 15, 6, 11
2021/2/10, 126, 82, 42, 13, 7, 10
2021/2/11, 136, 71, 37, 13, 7, 9
2021/2/12, 130, 74, 34, 13, 7, 9
2021/2/13, 130, 67, 34, 12, 7, 10
2021/2/14, 119, 75, 38, 13, 6, 10
2021/2/15, 132, 67, 40, 12, 7, 5
2021/2/16, 112, 61, 35, 13, 7, 5
2021/2/17, 99, 64, 31, 13, 7, 3
2021/2/18, 94, 50, 26, 13, 7, 4
2021/2/19, 76, 59, 30, 13, 6, 5
2021/2/20, 95, 61, 35, 13, 6, 6
2021/2/21, 115, 65, 26, 12, 7, 8
2021/2/22, 117, 67, 41, 13, 6, 7
2021/2/23, 123, 69, 42, 13, 7, 8
2021/2/24, 121, 70, 42, 13, 7, 7
2021/2/25, 122, 64, 29, 13, 7, 5
2021/2/26, 108, 62, 29, 12, 6, 10
2021/2/27, 107, 66, 28, 15, 6, 8
2021/2/28, 107, 68, 31, 15, 6, 7
2021/1/4, 141, 61, 23, 12, 7, 5
2021/1/5, 111, 66, 28, 12, 7, 5
2021/1/6, 126, 58, 18, 12, 7, 5
2021/1/7, 109, 60, 19, 12, 7, 5
2021/1/8, 108, 64, 23, 12, 7, 4
2021/1/9, 130, 60, 26, 12, 7, 6
2021/1/10, 73, 64, 26, 12, 7, 8
2021/1/11, 77, 68, 35, 12, 7, 7
2021/1/12, 125, 67, 29, 12, 6, 5
2021/1/13, 124, 66, 28, 11, 7, 7
2021/1/14, 106, 69, 29, 11, 7, 5
2021/1/15, 110, 65, 30, 12, 7, 5
2021/1/16, 256, 65, 35, 12, 6, 4
2021/1/17, 119, 63, 22, 12, 7, 5
2021/1/18, 98, 72, 31, 12, 7, 8
2021/1/19, 125, 75, 37, 11, 6, 6
2021/1/20, 127, 69, 37, 12, 6, 9
2021/1/21, 133, 73, 38, 11, 7, 9
2021/1/22, 133, 76, 38, 11, 7, 12
2021/1/23, 151, 76, 42, 13, 7, 7
2021/1/24, 138, 70, 41, 13, 7, 9
2021/1/25, 124, 66, 40, 13, 7, 7
2021/1/26, 126, 69, 39, 13, 6, 6
2021/1/27, 127, 76, 36, 12, 6, 10
2021/1/28, 141, 55, 20, 11, 7, 3
2021/1/29, 95, 70, 28, 10, 7, 8
2021/1/30, 128, 65, 38, , 7, 5
2021/1/31, 122, 59, 29, 38, 7, 4
2020/10/3, 75, 54, 28, 8, 3, 5
2020/10/4, 71, 54, 28, 8, 3, 5
2020/10/5, 78, 55, 26, 8, 4, 4
2020/10/6, 74, 56, 32, 8, 6, 7
2020/10/7, 81, 59, 31, 7, 2, 7
2020/10/8, 80, 57, 33, 8, 6, 11
2020/10/9, 77, 52, 23, 8, 13, 9
