date, pm25, pm10, o3, no2, so2, co
2019/4/1, 149, 59, 16, 11, 15, 8
2019/4/2, 117, 59, 14, 7, 17, 6
2019/4/3, 82, 61, 8, 9, 15, 8
2019/4/4, 186, 50, 9, 7, 6, 6
2019/4/5, 132, 65, 11, 10, 9, 9
2019/4/6, 154, 74, 10, 11, 15, 11
2019/4/7, 151, 59, 7, 9, 17, 9
2019/4/8, 498, 55, 4, 5, 15, 10
2019/1/1, 169, 145, 31, 43, 13, 15
2019/1/2, 166, 251, 27, 53, 14, 17
2019/1/3, 175, 162, 21, 48, 12, 16
2019/1/4, 174, 239, 27, 52, 13, 15
2019/1/5, 172, 152, 17, 45, 20, 14
2019/1/6, 163, 109, 17, 33, 22, 9
2019/1/7, 149, 119, 20, 39, 19, 10
2019/1/8, 154, 126, 30, 32, 17, 10
2019/1/9, 154, 161, 29, 54, 12, 14
2019/1/10, 169, 153, 22, 57, 9, 17
2019/1/11, 169, 195, 25, 71, 9, 15
2019/1/12, 173, 133, 25, 61, 11, 13
2019/1/13, 162, 133, 16, 63, 16, 12
2019/1/14, 161, 116, 20, 38, 22, 10
2019/1/15, 156, 126, 12, 45, 8, 12
2019/1/16, 160, 134, 20, 45, 11, 13
2019/1/17, 162, 135, 25, 39, 13, 12
2019/1/18, 164, 156, 18, 53, 15, 15
2019/1/19, 226, 150, 30, 41, 13, 14
2019/1/20, 176, 119, 21, 31, 10, 10
2019/1/21, 164, 104, 11, 33, 11, 10
2019/1/22, 135, 77, 11, 22, 6, 6
2019/1/23, 108, 92, 22, 23, 11, 6
2019/1/24, 132, 91, 19, 17, 17, 6
2019/1/25, 129, 92, 19, 14, 19, 5
2019/1/26, 128, 82, 10, 18, 24, 7
2019/1/27, 114, 108, 16, 22, 36, 7
2019/1/28, 132, 102, 19, 24, 31, 6
2019/1/29, 135, 115, 26, 28, 13, 9
2019/1/30, 149, 118, 16, 37, 13, 11
2019/1/31, 160, 101, 27, 24, 11, 8
2019/2/1, 149, 102, 30, 27, 14, 9
2019/2/2, 152, 136, 26, 30, 14, 12
2019/2/3, 171, 129, 14, 31, 18, 12
2019/2/4, 173, 117, 19, 30, 15, 16
2019/2/5, 163, 121, 19, 21, 8, 11
2019/2/6, 160, 94, 9, 24, 8, 9
2019/2/7, 119, 96, 18, 15, 4, 6
2019/2/8, 135, 100, 17, 31, 12, 9
2019/2/9, 148, 127, 30, 52, 13, 15
2019/2/10, 173, 148, 27, 63, 16, 17
2019/2/11, 196, 137, 21, 72, 15, 18
2019/2/12, 179, 144, 20, 64, 17, 18
2019/2/13, 167, 85, 13, 36, 13, 9
2019/2/14, 136, 92, 20, 46, 8, 12
2019/2/15, 155, 99, 20, 29, 19, 7
2019/2/16, 158, 117, 36, 37, 16, 6
2019/2/17, 157, 118, 32, 44, 15, 10
2019/2/18, 156, 118, 22, 49, 12, 14
2019/2/19, 161, 177, 27, 45, 17, 19
2019/2/20, 179, 100, 11, 28, 12, 12
2019/2/21, 139, 78, 1, 28, 5, 10
2019/2/22, 119, 108, 18, 18, 20, 6
2019/2/23, 145, 116, 23, 22, 16, 9
2019/2/24, 149, 99, 20, 28, 18, 10
2019/2/25, 145, 115, 14, 21, 7, 8
2019/2/26, 129, 75, 10, 17, 1, 7
2019/2/27, 105, 90, 15, 21, 1, 10
2019/2/28, 131, 118, 33, 27, 6, 12
2019/3/1, 154, 146, 22, 33, 15, 20
2019/3/2, 166, 70, 3, 19, 11, 
2019/3/3, 93, 69, 2, 16, 8, 5
2019/3/4, 94, 91, 10, 17, 8, 9
2019/3/5, 153, 77, 11, 17, 10, 10
2019/3/6, 123, 72, 15, 12, 13, 7
2019/3/7, 111, 81, 21, 16, 13, 9
2019/3/8, 135, 103, 23, 23, 17, 12
2019/3/9, 145, 109, 21, 24, 16, 13
2019/3/10, 148, 89, 8, 18, 12, 12
2019/3/11, 137, 73, 13, 13, 18, 7
2019/3/12, 111, 77, 19, 13, 15, 7
2019/3/13, 111, 75, 16, 14, 17, 7
2019/3/14, 118, 87, 24, 15, 15, 8
2019/3/15, 131, 112, 37, 28, 16, 14
2019/3/16, 160, 106, 30, 17, 14, 12
2019/3/17, 145, 115, 26, 20, 16, 12
2019/3/18, 160, 125, 27, 29, 14, 15
2019/3/19, 153, 103, 13, 23, 11, 12
2019/3/20, 134, 90, 8, 12, 5, 10
2019/3/21, 138, 66, 12, 8, 6, 6
2019/3/22, 82, 65, 24, 15, 12, 10
2019/3/23, 221, 144, 27, , 27, 15
2019/3/24, 352, 80, 31, 13, 32, 11
2019/3/25, 177, 112, 23, 19, 31, 12
2019/3/26, 198, 74, 23, 12, 16, 9
2019/3/27, 152, 74, 29, 14, 9, 11
2019/3/28, 232, 69, 21, 14, 11, 10
2019/3/29, 132, 60, 10, 10, 13, 7
2019/3/30, 154, 50, 12, 10, 11, 7
2019/3/31, 137, 60, 15, 12, 16, 10
2018/12/1, 139, 117, 65, 46, 19, 11
2018/12/2, 155, 135, 29, 56, 22, 16
2018/12/3, 157, 123, 31, 50, 18, 14
2018/12/4, 150, 120, 2, 75, 7, 17
2018/12/5, 158, 84, 7, 44, 10, 11
2018/12/6, 133, 96, 40, 43, 17, 12
2018/12/7, 134, 108, 34, 49, 15, 13
2018/12/8, 145, 104, 57, 46, 16, 9
2018/12/9, 144, 104, 46, 41, 16, 10
2018/12/10, 142, 119, 17, 62, 26, 11
2018/12/11, 152, , , , , 
2018/12/15, 129, 100, 10, , , 18
2018/12/16, 135, 102, 42, 22, 26, 8
2018/12/17, 151, 107, 34, 28, 23, 9
2018/12/18, 145, 99, 31, 29, 24, 8
2018/12/19, 135, 96, 30, 46, 12, 9
2018/12/20, 128, 92, 21, 44, 16, 9
2018/12/21, 133, 126, 14, 36, 5, 15
2018/12/22, 151, , , , , 
2018/12/24, 151, 123, 30, 26, 13, 10
2018/12/25, 152, 97, 27, 22, 20, 6
2018/12/26, 140, 95, 20, 24, 32, 7
2018/12/27, 133, 107, 27, 26, 22, 8
2018/12/28, 136, 102, 21, 24, 24, 7
2018/12/29, 134, 204, 20, 39, 17, 12
2018/12/30, 153, , , , , 
2018/4/1, 94, 82, 29, 31, 5, 6
2018/4/2, 82, 95, 27, 27, 5, 9
2018/4/3, 96, 117, 35, 24, 3, 8
2018/4/4, 104, 106, 28, 26, 2, 9
2018/4/5, 109, 124, 30, 25, 1, 9
2018/4/6, 124, 112, 25, 26, 2, 8
2018/4/7, 109, 88, 8, 36, , 5
2018/4/8, 82, 112, 26, 34, 3, 5
2018/4/9, 96, 104, 29, 34, 7, 5
2018/4/10, 86, 89, 26, 35, 2, 5
2018/4/11, 82, 80, 23, 31, 2, 5
2018/4/12, 83, 42, 23, 28, 2, 7
2018/4/13, 91, 95, 24, 23, 2, 7
2018/4/14, 98, 86, 13, 26, 2, 7
2018/4/15, 100, 72, 16, 45, 3, 5
2018/4/16, 91, 97, 20, 43, 2, 7
2018/4/17, 96, 96, 22, 30, 2, 9
2018/4/18, 101, 108, 26, 33, 2, 10
2018/4/19, 112, 89, 1, 46, 2, 6
2018/4/20, 96, , , , , 
2018/1/1, 105, 108, 41, 43, 22, 18
2018/1/2, 137, 138, 42, 27, 18, 27
2018/1/3, 150, 167, 33, 29, 19, 37
2018/1/4, 151, 129, 23, 27, 14, 27
2018/1/5, 129, 98, 26, 31, 24, 26
2018/1/6, 107, 82, 31, 39, 22, 7
2018/1/7, 59, 114, 31, 51, 24, 11
2018/1/8, 77, 151, 24, 77, 25, 8
2018/1/9, 109, 150, 21, 66, 33, 7
2018/1/10, 122, 124, 41, 57, 36, 15
2018/1/11, 136, 117, 29, 53, 25, 29
2018/1/12, 156, 115, 34, 35, 22, 21
2018/1/13, 152, 138, 35, 54, 21, 5
2018/1/14, 156, 194, 32, 59, 24, 6
2018/1/15, 178, 144, 20, 62, 32, 15
2018/1/16, 162, 112, 21, 44, 37, 13
2018/1/17, 130, 94, 26, 43, 30, 11
2018/1/18, 141, 99, 45, 53, 15, 15
2018/1/19, 127, 86, 56, 83, 27, 22
2018/1/20, 117, 172, 17, 87, 42, 23
2018/1/21, 168, 112, 49, 81, 32, 11
2018/1/22, 145, 120, 41, 40, 19, 17
2018/1/23, 135, 95, 39, 47, 24, 19
2018/1/24, 125, 105, 49, 48, 28, 35
2018/1/25, 142, , , , , 
2018/1/27, 120, 118, 39, 62, 29, 19
2018/1/28, 131, 109, 45, 74, 31, 19
2018/1/29, 136, 131, 42, 35, 36, 12
2018/1/30, 139, 119, 48, 70, 29, 18
2018/1/31, 130, 149, 56, 65, 25, 14
2018/2/1, 146, 134, 59, 58, 17, 28
2018/2/2, 140, 133, 56, 70, 32, 17
2018/2/3, 149, 131, 47, 101, 22, 46
2018/2/4, 134, 183, 52, 47, 24, 11
2018/2/5, 155, 145, 49, 50, 34, 14
2018/2/6, 146, 138, 57, 62, 29, 22
2018/2/7, 147, 143, 42, 82, 18, 21
2018/2/8, 163, 94, 27, 53, 17, 22
2018/2/9, 121, 103, 25, 28, 25, 17
2018/2/10, 104, 74, 16, 22, 15, 24
2018/2/11, 87, 69, 32, 30, 19, 31
2018/2/12, 76, 113, 41, 62, 21, 24
2018/2/13, 130, 125, 18, 44, 51, 20
2018/2/14, 130, 102, 38, 37, 40, 16
2018/2/15, 110, 132, 44, 53, 22, 27
2018/2/16, 123, 161, 55, 60, 23, 22
2018/2/17, 132, 118, 53, 34, 34, 22
2018/2/18, 119, 172, 48, 77, 34, 15
2018/2/19, 127, 237, 29, 26, 25, 23
2018/2/20, 146, 181, 74, 26, 24, 82
2018/2/21, 150, 150, 27, 19, 32, 19
2018/2/23, 147, 174, 29, 19, 24, 24
2018/2/24, 155, 150, 33, 32, 35, 20
2018/2/25, 152, 152, 45, 31, 32, 21
2018/2/26, 151, 148, 48, 35, 34, 22
2018/2/27, 151, 151, 40, 34, 29, 22
2018/2/28, 153, 242, 42, 34, 37, 29
2018/3/1, 169, 200, 28, 28, 14, 26
2018/3/2, 159, 127, 35, 29, 11, 22
2018/3/3, 164, 111, 31, 37, 18, 16
2018/3/4, 119, 128, 32, 41, 25, 16
2018/3/5, 124, 138, 36, 48, 22, 19
2018/3/6, 138, 118, 37, 25, 30, 14
2018/3/7, 131, 121, 23, 24, 9, 16
2018/3/8, 123, 102, 21, 29, 14, 14
2018/3/9, 104, 120, 38, 26, 19, 16
2018/3/10, 132, 132, 34, 19, 22, 13
2018/3/11, 122, 143, 2, 29, 32, 25
2018/3/12, 151, 160, 33, 15, 14, 10
2018/3/13, 119, 113, 6, 25, 38, 15
2018/3/14, 118, , , , , 
2018/3/16, 93, 123, 46, 31, 7, 18
2018/3/17, 125, 135, 65, 37, 6, 17
2018/3/18, 122, 92, 68, 25, 5, 11
2018/3/19, 89, 87, 37, 26, 6, 7
2018/3/20, 80, 103, 7, 30, 2, 8
2018/3/21, 99, 96, 32, 26, 7, 4
2018/3/22, 83, 123, 34, 26, 2, 9
2018/3/23, 95, 128, 53, 27, 6, 10
2018/3/24, 109, 196, 48, 32, 8, 16
2018/3/25, 139, 168, 57, 33, 10, 15
2018/3/26, 135, 124, 41, 73, 4, 11
2018/3/27, 132, 104, 40, 56, 4, 9
2018/3/28, 108, 92, 44, 42, 3, 8
2018/3/29, 92, 76, 41, 29, 2, 7
2018/3/30, 80, 72, 30, 28, 4, 6
2018/3/31, 71, 94, 31, 33, 7, 8
2017/10/1, 78, 68, 37, 13, 5, 12
2017/10/2, 90, 84, 57, 18, 13, 7
2017/10/3, 115, 83, 40, 18, 30, 23
2017/10/4, 105, 95, 55, 24, 27, 25
2017/10/5, 114, 78, 35, 16, 18, 9
2017/10/6, 98, 55, 29, 14, 5, 8
2017/10/7, 69, 45, 17, 13, 13, 12
2017/10/8, 58, 48, 29, 10, 4, 7
2017/10/9, 60, 58, 14, 13, 5, 11
2017/10/10, 77, 50, 6, 15, 4, 19
2017/10/11, 54, 110, 9, 15, 7, 24
2017/10/12, 69, 110, 83, 18, 16, 18
2017/10/13, 89, 130, 27, 12, 7, 16
2017/10/14, 67, 115, 16, 14, 13, 20
2017/10/15, 75, 149, 30, 12, 9, 17
2017/10/16, 91, 106, 29, 15, 27, 8
2017/10/17, 100, 92, 51, 11, 15, 6
2017/10/18, 120, 106, 59, 10, 7, 7
2017/10/19, 138, 136, 101, 9, 7, 18
2017/10/20, 162, 84, 56, 7, 5, 22
2017/10/21, 132, 73, 33, 5, , 24
2017/10/22, 104, 76, 22, 9, 5, 24
2017/10/23, 106, 72, 40, 32, 33, 20
2017/10/24, 102, 84, 47, 30, 38, 11
2017/10/25, 115, 88, 53, 32, 19, 11
2017/10/26, 121, 91, 50, 22, 10, 22
2017/10/27, 124, 61, 31, 23, 18, 25
2017/10/28, 99, 87, 31, 28, 14, 28
2017/10/29, 123, 87, 25, 31, 21, 27
2017/10/30, 124, 91, 24, 34, 27, 23
2017/10/31, 126, 91, 28, 32, 23, 25
2017/11/1, 125, 99, 28, 30, 29, 17
2017/11/2, 123, 90, 27, 31, 18, 22
2017/11/3, 123, 65, 22, 30, 28, 33
2017/11/4, 124, 87, 25, 30, 28, 37
2017/11/5, 119, 94, 18, 31, 23, 36
2017/11/6, 119, 79, 23, 32, 16, 30
2017/11/7, 114, 94, 23, 22, 17, 19
2017/11/8, 115, 89, 25, 12, 21, 30
2017/11/9, 118, 88, 30, 18, 9, 26
2017/11/10, 116, 94, 26, 27, 16, 29
2017/11/11, 121, 100, 32, 36, 17, 20
2017/11/12, 139, 117, 42, 52, 12, 18
2017/11/13, 147, 131, 31, 70, 17, 37
2017/11/14, 138, 117, 28, 35, 30, 38
2017/11/15, 140, 103, 34, 39, 24, 19
2017/11/16, 125, 96, 38, 37, 15, 26
2017/11/17, 125, 104, 34, 12, 21, 44
2017/11/18, 126, 102, 30, 24, 21, 28
2017/11/19, 121, 89, 47, 30, 31, 19
2017/11/20, 168, 87, 23, 29, 31, 11
2017/11/21, 141, 102, 23, 28, 51, 25
2017/11/22, 149, 87, 41, 34, 28, 14
2017/11/23, 127, 87, 44, 32, 16, 16
2017/11/24, 131, 104, 28, 30, 28, 24
2017/11/25, 141, 108, 22, 32, 41, 17
2017/11/26, 133, 109, 26, 31, 27, 15
2017/11/27, 136, 115, 49, 36, 22, 21
2017/11/28, 138, 119, 26, 64, 26, 26
2017/11/29, 141, 115, 31, 84, 30, 20
2017/11/30, 140, 95, 54, 27, 37, 30
2017/12/1, 114, 93, 46, 26, 51, 12
2017/12/2, 106, 92, 47, 22, 60, 18
2017/12/3, 132, 85, 37, 30, 57, 16
2017/12/4, 156, 85, 8, 35, 45, 18
2017/12/5, 122, 52, 3, 30, 20, 26
2017/12/6, 73, , , , , 
2017/12/8, 141, 124, 47, 39, 16, 30
2017/12/9, 159, 110, 49, 29, 17, 27
2017/12/10, 151, 84, 37, 27, 11, 28
2017/12/11, 120, 70, 41, 31, 17, 23
2017/12/12, 104, 78, 52, 31, 18, 12
2017/12/13, 111, 86, 54, 35, 30, 15
2017/12/14, 130, 92, 60, 20, 30, 22
2017/12/15, 134, 107, 43, 18, 27, 16
2017/12/16, 145, 107, 37, 22, 29, 17
2017/12/17, 136, 90, 37, 25, 56, 23
2017/12/18, 137, 92, 33, 23, 36, 19
2017/12/19, 122, 91, 34, 23, 45, 16
2017/12/20, 137, 98, 32, 29, 29, 22
2017/12/21, 127, 108, 34, 26, 21, 19
2017/12/22, 143, 125, 52, 27, 20, 16
2017/12/23, 148, 122, 48, 25, 15, 44
2017/12/24, 133, 125, 40, 20, 24, 44
2017/12/25, 136, 114, 31, 24, 38, 37
2017/12/26, 136, 119, 40, 34, 29, 29
2017/12/27, 149, 121, 36, 74, 21, 28
2017/12/28, 137, 144, 49, 52, 13, 12
2017/12/29, 145, 127, 50, 32, 27, 14
2017/12/30, 149, 120, 1, 75, 6, 18
2017/12/31, 136, 112, 38, 44, 23, 24
2017/7/1, 47, 29, 5, 26, 2, 4
2017/7/2, 130, 40, 4, 31, 2, 5
2017/7/3, 151, 47, 5, 30, 2, 4
2017/7/4, 170, , , , , 
2017/7/6, 90, 41, 6, 39, 1, 6
2017/7/7, 72, 53, 16, 32, 2, 5
2017/7/8, 71, 49, 10, 37, 2, 6
2017/7/9, 73, , , , , 
2017/7/11, 67, 46, 12, 26, 2, 4
2017/7/12, 74, 42, 14, 28, 2, 4
2017/7/13, 64, 43, 14, 20, 2, 2
2017/7/14, 61, 40, 11, 20, 1, 3
2017/7/15, 58, , , , , 
2017/7/25, 67, , , , , 
2017/8/3, 57, , , , , 
2017/8/5, 72, , , , , 
2017/8/11, 70, , , , , 
