date, pm25, pm10, o3, no2, so2, co
2021/4/1, 113, 84, 37, 5, 11, 4
2021/4/2, 119, 70, 25, 3, 10, 2
2021/4/3, 109, 59, 20, 2, 9, 1
2021/4/4, 78, 57, 17, 1, 10, 3
2021/4/5, 77, 59, 16, 3, 11, 4
2021/4/6, 76, 60, 17, 3, 10, 4
2021/4/7, 82, 62, 23, 3, 10, 4
2021/4/8, 80, 53, 16, 2, 13, 4
2021/4/9, 70, 34, 16, 2, 9, 4
2021/4/10, 45, 32, 12, 3, 9, 3
2021/4/11, 54, 41, 11, 3, 10, 3
2021/4/12, 57, 33, 7, 3, 9, 3
2021/4/13, 43, 34, 18, 3, 9, 3
2021/4/14, 42, 16, 18, 3, 9, 3
2021/4/15, 15, 22, 23, 4, 11, 3
2021/4/16, 26, 16, 16, 3, 7, 3
2021/4/17, 17, , , , , 
2021/3/1, 53, 49, 27, 6, 11, 3
2021/3/2, 92, 55, 30, 6, 14, 3
2021/3/3, 102, 49, 23, 5, 10, 3
2021/3/4, 84, 50, 28, 6, 11, 3
2021/3/5, 83, 53, 24, 6, 21, 3
2021/3/6, 87, 33, 13, 4, 10, 2
2021/3/7, 51, 25, 11, 4, 9, 2
2021/3/8, 37, 22, 10, 5, 10, 2
2021/3/9, 30, 19, 12, 4, 10, 2
2021/3/10, 20, 21, 9, 4, 11, 2
2021/3/11, 25, 23, 14, 5, 11, 2
2021/3/12, 27, 28, 21, 5, 12, 2
2021/3/13, 36, 31, 21, 5, 11, 3
2021/3/14, 42, 31, 20, 5, 11, 2
2021/3/15, 48, 54, 23, 5, 13, 4
2021/3/16, 91, 49, 23, 4, 11, 3
2021/3/17, 86, 52, 22, 4, 10, 3
2021/3/18, 83, 51, 21, 4, 11, 3
2021/3/19, 87, 62, 24, 8, 21, 3
2021/3/20, 104, 69, 29, 8, 24, 4
2021/3/21, 112, 72, 23, 5, 10, 3
2021/3/22, 95, 71, 25, 5, 9, 3
2021/3/23, 100, 79, 24, 6, 9, 4
2021/3/24, 115, 78, 22, 6, 9, 4
2021/3/25, 120, 74, 27, 4, 13, 3
2021/3/26, 115, 75, 23, 4, 9, 4
2021/3/27, 120, 59, 19, 3, 9, 3
2021/3/28, 88, 52, 20, 3, 10, 4
2021/3/29, 84, 63, 30, 6, 14, 2
2021/3/30, 101, 72, 34, 6, 13, 3
2021/3/31, 112, 79, 34, 6, 13, 4
2021/2/1, 115, 80, 30, 6, 10, 5
2021/2/2, 160, 79, 33, 7, 9, 5
2021/2/3, 148, 73, 32, 8, 11, 4
2021/2/4, 136, 75, 33, 9, 9, 4
2021/2/5, 136, 70, 35, 7, 11, 3
2021/2/6, 132, 75, 30, 9, 14, 4
2021/2/7, 135, 72, 29, 7, 9, 4
2021/2/8, 139, 72, 34, 8, 18, 4
2021/2/9, 148, 68, 37, 7, 10, 4
2021/2/10, 148, 66, 32, 7, 12, 4
