date, pm25, pm10, o3, no2, co
2021/3/1, 75, 94, 86, 143, 133
2021/3/2, 91, 98, 86, 149, 
2021/3/3, 102, 96, 80, 136, 118
2021/3/4, 98, 104, 84, 162, 125
2021/3/5, 117, 97, 84, 141, 
2021/3/6, 101, 98, 75, 126, 51
2021/3/7, 98, 94, 80, 123, 
2021/3/8, 93, 99, 94, 139, 111
2021/3/9, 104, 103, 94, 137, 147
2021/3/10, 111, 101, 88, 125, 146
2021/3/11, 100, 91, 82, 101, 51
2021/3/12, 92, 98, 82, 124, 
2021/3/13, 110, 104, 84, 150, 
2021/3/14, 114, 101, 84, 131, 104
2021/3/15, 106, 104, 57, 126, 51
2021/3/16, 123, , , , 
2021/2/1, 134, 133, 75, 135, 
2021/2/2, 195, 128, 75, 153, 51
2021/2/3, 187, 119, 67, 178, 77
2021/2/4, 175, 112, 75, 143, 51
2021/2/5, 149, 107, 80, 127, 
2021/2/6, 116, 107, 80, 103, 
2021/2/7, 115, 117, 80, 158, 77
2021/2/8, 149, 131, 80, 134, 
2021/2/9, 185, 123, 82, 135, 51
2021/2/10, 150, 107, 82, 138, 51
2021/2/11, 117, 101, 73, 155, 
2021/2/12, 98, 113, 73, 154, 77
2021/2/13, 137, 116, 75, 170, 
2021/2/14, 147, 110, 75, 148, 
2021/2/15, 128, 105, 76, 118, 104
2021/2/16, 105, 103, 76, 107, 
2021/2/17, 101, 111, 80, 118, 104
2021/2/18, 122, 103, 80, 134, 104
2021/2/19, 110, 97, 76, 155, 104
2021/2/20, 88, 104, 78, 146, 
2021/2/21, 92, 110, 78, 141, 104
2021/2/22, 108, 110, 82, 166, 51
2021/2/23, 116, 105, 86, 159, 51
2021/2/24, 104, 103, 86, 148, 51
2021/2/25, 97, 97, 86, 122, 51
2021/2/26, 85, 86, 86, 109, 118
2021/2/27, 71, 93, 84, 116, 
2021/2/28, 77, 89, 82, 122, 118
2021/1/4, 149, 120, 59, 122, 
2021/1/5, 134, 122, 18, 143, 51
2021/1/6, 134, 122, 61, 154, 51
2021/1/7, 130, 104, 61, 158, 104
2021/1/8, 104, 84, 53, 140, 
2021/1/9, 75, 106, 46, 102, 118
2021/1/10, 128, 109, 75, 120, 118
2021/1/11, 104, 110, 75, 136, 104
2021/1/12, 103, 116, 65, 167, 
2021/1/13, 117, 105, 67, 139, 51
2021/1/14, 99, 92, 73, 140, 
2021/1/15, 83, 83, 78, 121, 104
2021/1/16, 79, 87, 78, 101, 113
2021/1/17, 82, 97, 78, 126, 115
2021/1/18, 99, 110, 76, 124, 114
2021/1/19, 127, 101, 73, 108, 110
2021/1/20, 107, 81, 78, 87, 104
2021/1/21, 82, 70, 78, 90, 
2021/1/22, 66, 99, 76, 125, 
2021/1/23, 106, 106, 78, 117, 118
2021/1/24, 121, 93, 78, 103, 51
2021/1/25, 85, 108, 69, 121, 51
2021/1/26, 123, 103, 67, 110, 
2021/1/27, 118, 93, 76, 104, 104
2021/1/28, 86, 105, 76, 102, 
2021/1/29, 128, 106, 71, 130, 118
2021/1/30, 120, 107, 78, 117, 84
2021/1/31, 114, 113, 78, 92, 51
2020/10/1, 57, 51, 55, 38, 51
2020/10/2, 61, 58, 55, 41, 51
2020/10/3, 70, 57, 53, 46, 51
2020/10/4, 67, 51, 76, 44, 51
2020/10/5, 61, 49, 76, 42, 51
2020/10/6, 59, 60, 59, 49, 51
2020/10/7, 83, 71, 59, 53, 51
2020/10/8, 87, 71, 53, 66, 51
2020/10/9, 86, 72, 55, 59, 51
2020/10/10, 88, 64, 55, 54, 51
2020/10/11, 76, 66, 55, 76, 51
2020/10/12, 81, 78, 75, 95, 51
2020/10/13, 100, 61, 75, 54, 51
2020/10/14, 75, 47, 61, 61, 51
2020/10/15, 58, 43, 53, 76, 51
2020/10/16, 51, 63, 57, 87, 51
2020/10/17, 77, 61, 57, 61, 51
2020/10/18, 74, 49, 57, 48, 51
2020/10/19, 60, 47, 59, 53, 51
2020/10/20, 57, 54, 59, 64, 51
2020/10/21, 66, 55, 32, 74, 
2020/10/22, 68, 62, 42, 82, 51
2020/10/23, 75, 76, 59, 97, 51
2020/10/24, 94, 76, 59, 100, 51
2020/10/25, 95, 67, 32, 82, 51
2020/10/26, 83, 81, 34, 95, 
2020/10/27, 113, 88, 53, 101, 51
2020/10/28, 121, 77, 55, 98, 51
2020/10/29, 95, 75, 57, 94, 51
2020/10/30, 90, 73, 57, 96, 
2020/10/31, 86, 76, 51, 100, 51
2020/11/1, 89, 95, 57, 106, 51
2020/11/2, 111, 117, 57, 136, 
2020/11/3, 145, 121, 55, 154, 
2020/11/4, 177, 111, 50, 137, 51
2020/11/5, 131, 112, 28, 133, 
2020/11/6, 117, 109, 53, 146, 51
2020/11/7, 144, 104, 53, 150, 51
2020/11/8, 143, 106, 57, 145, 51
2020/11/9, 153, 112, 57, 147, 
2020/11/10, 168, 132, 71, 163, 51
2020/11/11, 209, 143, 71, 182, 51
2020/11/12, 210, 132, 44, 178, 51
2020/11/13, 208, 123, 78, 146, 
2020/11/14, 204, 146, 86, 111, 51
2020/11/15, 253, 137, 86, 103, 51
2020/11/16, 230, 113, 76, 115, 51
2020/11/17, 174, 92, 61, 114, 51
2020/11/18, 126, 64, 69, 99, 
2020/11/19, 75, 53, 69, 90, 
2020/11/20, 62, 47, 63, 77, 51
2020/11/21, 55, 59, 63, 71, 51
2020/11/22, 68, 69, 67, 72, 51
2020/11/23, 81, 67, 67, 94, 51
2020/11/24, 79, 101, 67, 148, 
2020/11/25, 157, 119, 67, 175, 51
2020/11/26, 188, 113, 67, 170, 
2020/11/27, 169, 89, 66, 143, 
2020/11/28, 122, 73, 59, 87, 51
2020/11/29, 85, 80, 55, 106, 51
2020/11/30, 90, 91, 59, 106, 
2020/12/1, 157, 97, 63, 130, 
2020/12/2, 125, 110, 63, 144, 77
2020/12/3, 162, 110, 63, 177, 
2020/12/4, 161, 116, 28, 168, 51
2020/12/5, 188, 101, 28, 115, 51
2020/12/6, 145, 103, 30, 129, 51
2020/12/7, 138, 74, 30, 124, 51
2020/12/8, 104, 80, 71, 101, 51
2020/12/9, 99, 99, 71, 146, 51
2020/12/10, 120, 80, 53, 138, 51
2020/12/11, 95, 107, 57, 144, 
2020/12/12, 168, 117, 57, 113, 
2020/12/13, 181, 106, 46, 92, 
2020/12/14, 121, 122, 46, 121, 118
2020/12/15, 132, 124, 59, 128, 118
2020/12/16, 130, 110, 59, 143, 51
2020/12/17, 98, 112, 51, 132, 104
2020/12/18, 99, 128, 59, 181, 
2020/12/19, 134, 143, 59, 130, 
2020/12/20, 186, 136, 42, 149, 104
2020/12/21, 182, 130, 50, 166, 
2020/12/22, 192, 128, 67, 171, 51
2020/12/23, 174, 130, 71, 163, 
2020/12/24, 149, 133, 71, 204, 104
2020/12/25, 185, 133, 65, 210, 104
2020/12/26, 243, 143, 92, 139, 
2020/12/27, 286, 130, 92, 112, 51
