date, pm25, pm10, o3, no2, so2, co
2021/4/1, 104, 113, 23, 12, 5, 3
2021/4/2, 118, 90, 23, 13, 6, 4
2021/4/3, 114, 88, 19, 12, 4, 1
2021/4/4, 121, 98, 22, 13, 5, 3
2021/4/5, 138, 89, 22, 14, 7, 6
2021/4/6, 142, 112, 16, 12, 6, 6
2021/4/7, 154, 157, 21, 13, 6, 3
2021/4/8, 161, 90, 28, 12, 5, 2
2021/4/9, 132, , , , , 
2021/4/12, 72, 61, 20, 6, 3, 2
2021/4/13, 111, 45, 19, 7, 5, 5
2021/4/14, 68, 42, 18, 11, 6, 6
2021/4/15, 133, 102, 22, 9, 6, 4
2021/4/16, 210, 86, 15, , 3, 3
2021/4/17, 150, , , , , 
2021/3/1, 124, 88, 20, 13, 6, 5
2021/3/2, 112, 67, 20, 15, 7, 8
2021/3/3, 103, 69, 20, 14, 6, 7
2021/3/4, 118, 98, 23, 12, 6, 4
2021/3/5, 132, 86, 18, 13, 7, 5
2021/3/6, 151, 107, 23, 12, 5, 4
2021/3/7, 144, 103, 26, 12, 7, 4
2021/3/8, 149, 96, 26, 14, 7, 6
2021/3/9, 145, , , , , 
2021/3/11, 92, 74, 20, 13, 6, 6
2021/3/12, 99, , , , , 
2021/3/15, 127, 62, 24, 13, 7, 5
2021/3/16, 49, 73, 24, 13, 6, 5
2021/3/17, 119, 112, 24, 13, 6, 4
2021/3/18, 163, 87, 20, 12, 5, 4
2021/3/19, 123, 90, 18, 11, 5, 4
2021/3/20, 147, 32, 18, 9, 5, 4
2021/3/21, 78, 99, 23, 12, 6, 3
2021/3/22, 142, 66, 22, 11, 6, 5
2021/3/23, 99, 84, 24, 12, 6, 7
2021/3/24, 136, 83, 24, 12, 6, 7
2021/3/25, 135, 89, 19, 11, 6, 5
2021/3/26, 134, 84, 16, 13, 5, 5
2021/3/27, 135, 75, 16, 13, 6, 6
2021/3/28, 121, 101, 21, 12, 5, 5
2021/3/29, 140, 67, 25, 11, 5, 4
2021/3/30, 115, 70, 25, 10, 4, 2
2021/3/31, 107, 81, 25, 10, 5, 2
2021/2/1, 154, 88, 26, 15, 6, 
2021/2/2, 127, 97, 24, 16, 6, 
2021/2/3, 118, 88, 24, 13, 4, 
2021/2/4, 114, 72, 24, 12, 4, 
2021/2/5, 121, , , , , 
2021/2/8, 121, 130, 13, 14, 6, 
2021/2/9, 133, 99, 13, 14, 6, 
2021/2/10, 138, 100, 13, 14, 6, 
2021/2/11, 144, 119, 13, 14, 6, 
2021/2/12, 141, 90, 13, 14, 6, 18
2021/2/13, 131, 87, 13, 14, 6, 18
2021/2/14, 132, 88, 13, 14, 5, 18
2021/2/15, 134, 92, 13, 14, 6, 18
2021/2/16, 136, 87, 20, 14, 6, 8
2021/2/17, 140, 77, 19, 14, 5, 6
2021/2/18, 121, 71, 19, 11, 4, 4
2021/2/19, 110, 66, 19, 12, 5, 5
2021/2/20, 105, 57, 19, 12, 5, 5
2021/2/21, 119, , , , , 
2021/2/23, 86, 121, 26, 10, 5, 5
2021/2/24, 115, 93, 25, 11, 4, 3
2021/2/25, 140, 92, 23, 11, 4, 3
2021/2/26, 144, 95, 21, 12, 5, 3
2021/2/27, 132, 97, 21, 12, 5, 2
2021/2/28, 118, 95, 27, 13, 6, 6
2021/1/4, 143, 74, 22, 12, 4, 
2021/1/5, 108, 57, 22, 12, 4, 1
2021/1/6, 94, 55, 22, 12, 4, 
2021/1/7, 79, 53, 22, 12, 4, 
2021/1/8, 98, , , , , 
2021/1/13, 125, 80, 22, 12, 4, 
2021/1/14, 127, 85, 22, 12, 4, 
2021/1/15, 142, 81, 22, 12, 4, 
2021/1/16, 150, 84, 22, 12, 4, 
2021/1/17, 151, 69, 22, 12, 4, 2
2021/1/18, 117, 148, 22, 12, 4, 
2021/1/19, 149, 96, 22, 12, 4, 
2021/1/20, 133, 78, 22, 12, 3, 
2021/1/21, 150, 199, 22, 13, 3, 
2021/1/22, 156, 150, 18, 15, 3, 
2021/1/23, 165, 136, 11, 15, 3, 
2021/1/24, 161, 138, 14, 16, 5, 
2021/1/25, 159, 119, 12, 16, 6, 
2021/1/26, 156, 111, 10, 15, 5, 
2021/1/27, 163, 107, 10, 15, 6, 
2021/1/28, 151, 125, 17, 14, 6, 
2021/1/29, 153, 114, 28, 15, 7, 
2021/1/30, 153, 93, 28, 16, 6, 
2021/1/31, 151, 93, 26, 14, 5, 
2020/10/1, 61, 59, 14, 7, 2, 
2020/10/2, 76, 67, 14, 7, 1, 
2020/10/3, 77, 53, 14, 7, 1, 
2020/10/4, 75, 68, 14, 7, 1, 
2020/10/5, 82, 77, 14, 7, 1, 
2020/10/6, 88, 78, 14, 7, 1, 
2020/10/7, 89, 79, 14, 7, 2, 
2020/10/8, 101, 64, 14, 7, 2, 
2020/10/9, 86, 43, 15, 7, 2, 1
2020/10/10, 60, , , , , 
2020/10/24, 94, , , , , 
2020/10/26, 111, 92, 14, 7, 3, 
2020/10/27, 117, 76, 14, 7, 2, 
2020/10/28, 112, , , , , 
2020/11/1, 150, 97, 14, 7, 2, 
2020/11/2, 120, 106, 14, 7, 1, 
2020/11/3, 126, 86, 14, 7, 2, 
2020/11/4, 127, 84, 14, 7, 2, 
2020/11/5, 102, 94, 14, 7, 2, 
2020/11/6, 118, 104, 14, 7, 3, 21
2020/11/7, 111, 82, 14, 7, 2, 
2020/11/8, 111, 86, 14, 7, 3, 
2020/11/9, 119, 89, 14, 7, 2, 318
2020/11/10, 123, 101, 14, 7, 3, 
2020/11/11, 138, 74, 14, 7, 3, 
2020/11/12, 89, 61, 14, 7, 3, 
2020/11/13, 89, 75, 14, 7, 3, 
2020/11/14, 107, 55, 14, 7, 2, 
2020/11/15, 89, 61, 14, 7, 2, 
2020/11/16, 97, 59, 14, 7, 3, 
2020/11/17, 81, 64, 14, 7, 2, 
2020/11/18, 91, 58, 14, 7, 2, 
2020/11/19, 77, 62, 14, 7, 3, 
2020/11/20, 81, 66, 14, 7, 3, 
2020/11/21, 91, 79, 14, 7, 2, 
2020/11/22, 106, 79, 14, 7, 2, 
2020/11/23, 142, 79, 14, 7, 2, 
2020/11/24, 132, 72, 14, 7, 3, 
2020/11/25, 136, 71, 14, 7, 2, 
2020/11/26, 118, 71, 14, 7, 1, 
2020/11/27, 123, 62, 14, 7, 2, 
2020/11/28, 99, 71, 14, 7, 3, 
2020/11/29, 106, 91, 14, 7, 3, 
2020/11/30, 117, 79, 14, 7, 3, 
2020/12/1, 138, 76, 14, 7, 3, 
2020/12/2, 140, 103, 14, 7, 2, 
2020/12/3, 145, 95, 14, 7, 2, 
2020/12/4, 143, 94, 14, 7, 1, 
2020/12/5, 138, 77, 14, 7, 1, 
2020/12/6, 145, 73, 14, 7, 2, 
2020/12/7, 93, 69, 14, 7, 1, 
2020/12/8, 107, 73, 14, 7, 1, 9
2020/12/9, 99, 59, 14, 7, 1, 10
2020/12/10, 82, 81, 14, 7, 1, 
2020/12/11, 111, 73, 14, 7, 1, 
2020/12/12, 109, 59, 14, 7, 1, 
2020/12/13, 98, 94, 14, 7, 2, 
2020/12/14, 118, 86, 14, 7, 1, 
2020/12/15, 124, 84, 14, 7, 1, 
2020/12/16, 137, 72, 14, 7, 2, 
2020/12/17, 129, 102, 14, 7, 1, 
2020/12/18, 149, 86, 14, 7, 1, 
