date, pm25, pm10, o3, no2, so2, co
2021/4/1, 49, 131, 41, , 1, 
2021/4/2, 86, 126, 44, 2, 2, 
2021/4/3, 87, 124, 42, 4, 1, 
2021/4/4, 64, 134, 57, 4, 1, 
2021/4/5, 84, 150, 54, 2, 2, 
2021/4/6, 69, 129, 47, 1, 2, 
2021/4/7, 78, 98, 45, 2, 1, 
2021/4/8, 66, 102, 39, 5, 3, 
2021/4/9, 63, 94, 10, 6, 6, 
2021/4/10, 82, , , , , 
2021/4/14, 32, 134, 40, 2, 5, 
2021/4/15, 81, 213, 54, 3, 5, 
2021/4/16, 104, 75, 36, 1, 6, 
2021/4/17, 45, 104, 41, , 5, 
2021/4/18, 66, 135, 44, , 6, 
2021/4/19, 81, 116, 43, , 5, 
2021/4/20, 94, , , , , 
2021/3/1, 97, 107, , 2, 4, 
2021/3/2, 92, 95, , 2, 1, 
2021/3/3, 84, 146, , 2, 3, 
2021/3/4, 144, 109, , 2, 2, 
2021/3/5, 101, 102, , 2, 2, 
2021/3/6, 109, 126, , 2, 4, 
2021/3/7, 103, 135, , 2, 2, 
2021/3/8, 123, 127, , 1, 3, 
2021/3/9, 156, 89, 18, 4, 3, 
2021/3/10, 112, 115, 37, 5, 2, 
2021/3/11, 112, 106, 26, 3, 2, 
2021/3/12, 115, 84, 45, 1, 4, 
2021/3/13, 104, 93, 42, 2, 4, 
2021/3/14, 94, 120, 36, 3, 2, 
2021/3/15, 109, 146, 29, 3, 3, 
2021/3/16, 104, 146, 38, 5, 1, 
2021/3/17, 140, 155, 37, 5, 4, 
2021/3/18, 143, 146, 42, 4, 3, 
2021/3/19, 121, 130, 41, 4, 3, 
2021/3/20, 115, 150, 78, 5, 3, 
2021/3/21, 112, 150, 31, 4, 3, 
2021/3/22, 100, 142, 23, 3, 2, 
2021/3/23, 96, 134, 37, 4, 1, 
2021/3/24, 88, 100, 28, 1, 2, 
2021/3/25, 68, 103, 32, , 2, 
2021/3/26, 82, 143, 62, , 3, 
2021/3/27, 122, 157, 59, , 3, 
2021/3/28, 126, 133, 41, , 3, 
2021/3/29, 111, 335, 31, , 2, 
2021/3/30, 114, 168, 32, , , 
2021/3/31, 36, 219, 28, , 1, 
2021/2/6, 101, 58, , 2, 4, 25
2021/2/7, 88, 81, , 2, 3, 17
2021/2/8, 132, 88, , 2, 4, 16
2021/2/9, 129, 90, , 2, 3, 42
2021/2/10, 130, 91, , 2, 3, 27
2021/2/11, 130, 100, , 2, 2, 31
2021/2/12, 153, 72, , 2, 3, 19
2021/2/13, 124, 74, , 2, 4, 27
2021/2/14, 113, 102, , 2, 3, 18
2021/2/15, 151, 97, , 2, 3, 29
2021/2/16, 142, 90, , 2, 4, 23
2021/2/17, 137, 94, , 2, 3, 20
2021/2/18, 138, 95, , 2, 3, 24
2021/2/19, 150, 75, , 2, 4, 24
2021/2/20, 123, 91, , 2, 3, 10
2021/2/21, 114, 112, , 2, 4, 18
2021/2/22, 149, 129, , 2, 4, 
2021/2/23, 148, 153, , 2, 4, 
2021/2/24, 147, 128, , 2, 2, 
2021/2/25, 147, 129, , 2, 4, 
2021/2/26, 113, 132, , 2, 2, 
2021/2/27, 112, 108, , 2, 5, 
2021/2/28, 92, 97, , 2, 2, 
2021/1/4, 73, 41, , 2, 5, 11
2021/1/5, 76, 46, , 2, 5, 11
2021/1/6, 79, 61, , 2, 5, 13
2021/1/7, 93, 53, , 2, 2, 13
2021/1/8, 78, 83, , 2, 4, 9
2021/1/9, 124, 56, , 2, 4, 13
2021/1/10, 86, 66, , 2, 3, 16
2021/1/11, 103, 86, , 2, 3, 22
2021/1/12, 131, 79, , 2, 5, 17
2021/1/13, 114, , , , , 
2020/10/1, 97, 142, , 6, 2, 4
2020/10/2, 110, 121, , 4, 1, 5
2020/10/3, 127, 117, , 6, 3, 8
2020/10/4, 115, 120, , 5, , 7
2020/10/5, 125, 127, , 6, 2, 7
2020/10/6, 138, 143, , 5, 1, 8
2020/10/7, 151, 147, , , 4, 8
2020/10/8, 144, 145, , , 2, 6
2020/10/9, 137, 157, , , 3, 7
2020/10/10, 149, 154, , , 2, 4
2020/10/11, 142, 163, , , 1, 8
2020/10/12, 152, 129, , , 2, 4
2020/10/13, 139, 140, , , 2, 9
2020/10/14, 159, 161, , , , 5
2020/10/15, 157, 142, , , 1, 6
