date, pm25, pm10, o3, no2, so2, co
2021/4/1, 131, 104, 14, 36, 6, 10
2021/4/2, 132, 84, 13, 38, 6, 9
2021/4/3, 126, 95, 11, 34, 6, 7
2021/4/4, 133, 112, 34, 34, 6, 10
2021/4/5, 137, 143, 36, 19, 6, 7
2021/4/6, 168, 149, 42, 32, 4, 11
2021/4/7, 173, 153, 38, 29, 3, 7
2021/4/8, 178, 111, 32, 36, 5, 9
2021/4/9, 138, 95, 29, 31, 4, 8
2021/4/10, 134, 98, 25, 33, 3, 8
2021/4/11, 137, 102, 15, 26, 4, 8
2021/4/12, 137, 115, 10, 28, 3, 7
2021/4/13, 155, 104, 9, 23, 3, 8
2021/4/14, 146, 115, 7, 23, 4, 8
2021/4/15, 155, 126, 11, 48, 5, 9
2021/4/16, 163, 158, 8, 16, 2, 7
2021/4/17, 153, 94, 9, 12, 2, 8
2021/4/18, 131, 105, 9, 19, 2, 7
2021/4/19, 145, 97, 10, 23, 4, 6
2021/4/20, 150, , , , , 
2021/3/1, 152, 114, 22, 15, 5, 8
2021/3/2, 151, 111, 22, 24, 5, 9
2021/3/3, 152, 127, 23, 33, 5, 9
2021/3/4, 162, 131, 21, 22, 4, 8
2021/3/5, 148, 100, 17, 11, 4, 6
2021/3/6, 152, 147, 25, 35, 5, 8
2021/3/7, 174, 143, 19, 14, 3, 9
2021/3/8, 170, 164, 20, 29, 4, 12
2021/3/9, 181, 169, 25, 32, 3, 9
2021/3/10, 186, 154, 20, 28, 5, 10
2021/3/11, 183, 145, 16, 23, 4, 7
2021/3/12, 162, 87, 16, 18, 3, 9
2021/3/13, 117, 87, 16, 12, 3, 10
2021/3/14, 134, 104, 17, 14, 5, 9
2021/3/15, 139, 166, 16, 16, 5, 8
2021/3/16, 178, 235, 14, 28, 7, 8
2021/3/17, 198, 223, 18, 38, 4, 9
2021/3/18, 197, 200, 17, 30, 5, 9
2021/3/19, 183, 127, 18, 21, 5, 8
2021/3/20, 161, 128, 20, 31, 5, 9
2021/3/21, 166, 140, 21, 35, 6, 9
2021/3/22, 166, 110, 17, 13, 4, 10
2021/3/23, 144, 102, 15, 15, 3, 8
2021/3/24, 130, 103, 15, 16, 4, 6
2021/3/25, 141, 95, 16, 19, 5, 8
2021/3/26, 121, 117, 20, 40, 6, 10
2021/3/27, 145, 144, 21, 44, 7, 9
2021/3/28, 160, 154, 18, 33, 7, 9
2021/3/29, 177, 149, 17, 23, 5, 6
2021/3/30, 161, 129, 19, 15, 6, 7
2021/3/31, 141, 100, 16, 20, 4, 7
2021/2/1, 216, 277, 23, 49, 4, 7
2021/2/2, 243, 222, 24, 50, 5, 10
2021/2/3, 208, 171, 21, 32, 3, 7
2021/2/4, 185, 120, 12, 24, 7, 10
2021/2/5, 139, 95, 17, 17, 4, 8
2021/2/6, 137, 145, 20, 28, 5, 10
2021/2/7, 154, 143, 41, 32, 7, 11
2021/2/8, 168, 200, 22, 42, 4, 10
