date, pm25, pm10, o3, no2, so2, co
2021/4/1, 88, 128, 75, 12, 12, 
2021/4/2, 147, 121, 6, 15, 10, 
2021/4/3, 132, 113, 5, 11, 8, 
2021/4/4, 126, 168, 6, 15, 10, 
2021/4/5, 152, 190, 5, 7, 6, 
2021/4/6, 180, 153, 6, 7, 6, 
2021/4/7, 150, 107, 9, 12, 5, 
2021/4/8, 116, 95, 13, 12, 6, 
2021/4/9, 116, 107, 25, 10, 7, 
2021/4/10, 106, 122, 25, 15, 9, 
2021/4/11, 132, 145, 5, 16, 10, 
2021/4/12, 148, 136, 9, 11, 10, 
2021/4/13, 150, 130, 54, 9, 6, 
2021/4/14, 120, 156, 48, 12, 9, 
2021/4/15, 133, 154, 61, 11, 9, 
2021/4/16, 144, 95, 46, 8, 4, 
2021/4/17, 90, 120, 55, 7, 8, 
2021/4/18, 135, 132, 37, 8, 6, 
2021/4/19, 129, 130, 18, 14, 12, 
2021/4/20, 153, , , , , 
2021/3/1, 138, 126, 6, 12, 5, 
2021/3/2, 115, 105, 10, 19, 4, 
2021/3/3, 123, 155, 9, 31, 9, 
2021/3/4, 206, 135, 8, 15, 5, 
2021/3/5, 154, 108, 24, 11, 4, 
2021/3/6, 147, 157, 35, 16, 6, 
2021/3/7, 183, 170, 63, 12, 6, 
2021/3/8, 183, 219, 78, 15, 5, 
2021/3/9, 203, 165, 48, 17, 6, 
2021/3/10, 149, 212, 47, 20, 8, 
2021/3/11, 192, 210, 65, 16, 8, 
2021/3/12, 197, 127, 63, 13, 7, 
2021/3/13, 156, 105, 7, 13, 6, 
2021/3/14, 127, 140, 7, 12, 7, 
2021/3/15, 151, 204, 7, 12, 6, 
2021/3/16, 162, 203, 7, 14, 8, 
2021/3/17, 166, 231, 7, 18, 9, 
2021/3/18, 169, 165, 7, 15, 8, 
2021/3/19, 150, 138, 6, 12, 9, 
2021/3/20, 144, 196, 6, 17, 13, 
2021/3/21, 177, 153, 5, 15, 8, 
2021/3/22, 153, 142, 5, 13, 5, 
2021/3/23, 134, 122, 5, 15, 7, 
2021/3/24, 124, 92, 5, 9, 5, 
2021/3/25, 103, 96, 5, 12, 8, 
2021/3/26, 117, 163, 6, 20, 10, 
2021/3/27, 157, 180, 22, 19, 12, 
2021/3/28, 183, 174, 38, 13, 7, 
2021/3/29, 184, 277, 46, 10, 5, 
2021/3/30, 182, 158, 66, 7, 4, 
2021/3/31, 84, 177, 72, 8, 4, 
2021/2/1, 230, 234, 12, , 5, 
2021/2/2, 244, 177, 8, , 1, 
2021/2/3, 234, 104, 12, , 3, 
2021/2/4, 150, 55, 26, , 3, 
2021/2/5, 91, 82, 36, , 3, 
2021/2/6, 139, , 35, , 4, 
2021/2/7, 168, 155, 45, , 2, 
2021/2/8, 178, 196, 7, , 3, 
2021/2/9, 212, 258, 5, , 4, 
2021/2/10, 262, 174, 22, , 5, 
2021/2/11, 213, 218, 14, , 2, 
2021/2/12, 258, 188, 10, , 1, 
2021/2/13, 211, 158, 8, , 2, 
2021/2/14, 194, 260, 7, , 3, 
2021/2/15, 242, 216, 17, , 5, 
2021/2/16, 228, 184, 6, , 4, 
2021/2/17, 203, 193, 5, , 4, 
2021/2/18, 218, 184, 4, 21, 4, 
2021/2/19, 202, 116, 4, 19, 2, 
2021/2/20, 168, 152, 7, 18, 4, 
2021/2/21, 193, 177, 8, 20, 4, 
2021/2/22, 194, 200, 7, 32, 6, 
2021/2/23, 184, 189, 7, 26, 6, 
2021/2/24, 191, 147, 7, 19, 7, 
2021/2/25, 170, 142, 8, 18, 7, 
2021/2/26, 140, 138, 8, 20, 6, 
2021/2/27, 149, 125, 8, 17, 6, 
2021/2/28, 127, 118, 8, 13, 5, 
2021/1/4, 84, 51, 32, , 3, 
2021/1/5, 95, 55, 41, , , 
2021/1/6, 102, 84, 48, , 3, 
2021/1/7, 152, 77, 51, , , 
2021/1/8, 121, 111, 9, , 4, 
2021/1/9, 173, 100, 8, , 2, 
2021/1/10, 165, 92, 9, , 2, 
2021/1/11, 160, 120, 10, , 3, 
2021/1/12, 179, 165, 10, , 4, 
2021/1/13, 205, 206, 8, , 4, 
2021/1/14, 226, 312, 8, , 3, 
2021/1/15, 318, 223, 7, , 4, 
2021/1/16, 292, 141, 7, , 3, 
2021/1/17, 217, 208, 7, , 3, 
2021/1/18, 240, 164, 9, , 5, 
2021/1/19, 237, 139, 7, , 3, 
2021/1/20, 201, 155, 11, , 4, 
2021/1/21, 202, 142, 7, 46, , 
2021/1/22, 207, 132, 7, , 3, 
2021/1/23, 196, 204, 6, , 4, 
2021/1/24, 261, 177, 6, 1, 3, 
2021/1/25, 213, 237, 5, , 3, 
2021/1/26, 259, 152, 29, , 3, 
2021/1/27, 209, 190, 43, , 4, 
2021/1/28, 235, 169, 48, , 4, 
