date, pm25, o3, no2, so2, co
2021/4/1, 106, 46, 15, 6, 
2021/4/2, 110, 47, 11, 6, 
2021/4/3, 118, 58, 16, 7, 
2021/4/4, 112, 71, 17, 7, 
2021/4/5, 146, 73, 11, 7, 
2021/4/6, 168, 57, 16, 7, 
2021/4/7, 167, 43, 18, 6, 
2021/4/8, 169, 36, 13, 6, 
2021/4/9, 111, 30, 19, 7, 
2021/4/10, 117, 32, 5, 6, 
2021/4/11, 120, 32, 17, 7, 
2021/4/12, 125, 32, 17, 6, 
2021/4/13, 136, 27, 15, 7, 
2021/4/14, 130, 34, 18, 7, 
2021/4/15, 137, 45, 19, 7, 
2021/4/16, 160, 32, 8, 7, 
2021/4/17, 112, 34, 7, 7, 
2021/4/18, 100, 30, 14, 7, 
2021/4/19, 104, 36, 52, 6, 
2021/4/20, 116, , , , 
2021/3/1, 260, 27, 21, 7, 
2021/3/2, 241, 27, 24, 7, 
2021/3/3, 217, 29, 30, 8, 
2021/3/4, 229, 3, 43, 9, 
2021/3/5, 184, 25, 24, 7, 
2021/3/6, 108, 36, 21, 7, 
2021/3/7, 155, 41, 8, 6, 
2021/3/8, 167, 46, 16, 6, 
2021/3/9, 167, 49, 44, 6, 
2021/3/10, 178, 46, 22, 6, 
2021/3/11, 180, 47, 21, 5, 
2021/3/12, 150, 41, 19, 5, 
2021/3/13, 94, 31, 19, 5, 
2021/3/14, 101, 36, 20, 6, 
2021/3/15, 133, 32, 17, 6, 
2021/3/16, 158, 21, 21, 8, 
2021/3/17, 171, 25, 31, 8, 
2021/3/18, 183, 25, 28, 9, 
2021/3/19, 172, 26, 22, 12, 
2021/3/20, 157, 33, 21, 12, 
2021/3/21, 159, 33, 28, 10, 
2021/3/22, 159, 28, 16, 10, 
2021/3/23, 130, 16, 13, 8, 
2021/3/24, 134, , 19, , 
2021/3/25, 137, 59, 16, 2, 
2021/3/26, 95, 61, 24, 2, 
2021/3/27, 132, 74, 18, 2, 
2021/3/28, 145, 68, , 2, 
2021/3/29, 166, 49, 53, 2, 
2021/3/30, 158, 41, 13, 2, 
2021/3/31, 125, 42, 16, 3, 
2021/2/1, 187, 33, 22, 11, 
2021/2/2, 196, 34, 18, 9, 
2021/2/3, 172, 33, 18, 6, 
2021/2/4, 170, 21, 15, 6, 
2021/2/5, 144, 23, 16, 6, 
2021/2/6, 136, 28, 20, 7, 
2021/2/7, 150, 31, 25, 7, 
2021/2/8, 206, 32, 22, 7, 
2021/2/9, 187, 37, 28, 7, 
2021/2/10, 212, 29, 26, 7, 
2021/2/11, 206, 31, 21, 7, 
2021/2/12, 197, 32, 28, 7, 
2021/2/13, 222, 30, 24, 7, 
2021/2/14, 185, 31, 31, 7, 
2021/2/15, 209, 31, 25, 7, 
2021/2/16, 183, 27, 24, 8, 
2021/2/17, 143, 24, 30, 7, 
2021/2/18, 158, 29, 18, 7, 
2021/2/19, 164, 28, 33, 8, 
2021/2/20, 168, 25, 23, 8, 
2021/2/21, 164, 28, 29, 7, 
2021/2/22, 175, 30, 27, 7, 
2021/2/23, 171, 27, 26, 8, 
2021/2/24, 139, 26, 18, 7, 
