date, pm25, pm10, o3, no2, so2, co
2021/4/1, 100, 89, 10, 28, 6, 
2021/4/2, 80, 106, 49, 32, 15, 
2021/4/3, 130, 117, 44, 26, 12, 
2021/4/4, 143, 122, 45, 13, 10, 
2021/4/5, 148, 171, 67, 23, 8, 
2021/4/6, 174, 179, 40, 23, 15, 
2021/4/7, 154, 99, 44, 26, 10, 
2021/4/8, 115, 141, 34, 32, 17, 
2021/4/9, 131, 111, 44, 28, 14, 
2021/4/10, 126, 127, 48, 30, 12, 
2021/4/11, 119, 163, 48, 43, 17, 
2021/4/12, 161, 134, 37, 31, 16, 
2021/4/13, 141, 145, 41, 21, 12, 
2021/4/14, 131, 141, 42, 28, 5, 
2021/4/15, 137, 262, 36, 20, 14, 
2021/4/16, 147, 75, 28, 19, 6, 
2021/4/17, 99, 121, 39, 22, 19, 
2021/4/18, 140, 127, 39, 25, 11, 
2021/4/19, 133, , , , , 
2021/3/1, 140, 118, 40, 25, 6, 
2021/3/2, 134, 137, 40, 38, 9, 
2021/3/3, 153, 206, 44, 46, 12, 
2021/3/4, 201, 176, 38, 38, 10, 
2021/3/5, 182, 152, 50, 35, 8, 
2021/3/6, 166, 140, 41, 27, 8, 
2021/3/7, 182, 134, 33, 21, 8, 
2021/3/8, 176, 166, 6, 25, 6, 
2021/3/9, 223, , , , , 
2021/3/18, 183, , , , , 
2021/3/22, 157, 121, 6, 26, 7, 
2021/3/23, 124, 109, 33, 15, 6, 
2021/3/24, 127, 89, 27, 15, 5, 
2021/3/25, 100, 102, 34, 25, 6, 
2021/3/26, 142, 140, 50, 34, 11, 
2021/3/27, 168, 179, 42, 29, 11, 
2021/3/28, 201, 141, 33, 10, 9, 
2021/3/29, 195, 342, 30, 9, 7, 
2021/3/30, 158, 135, 32, 11, 3, 
2021/3/31, 90, 190, 27, 12, 5, 
2021/2/18, 170, 190, 35, 19, 8, 
2021/2/19, 215, 188, 34, 48, 8, 
2021/2/20, 215, 175, 41, 46, 5, 
2021/2/21, 222, 157, 35, 40, 5, 37
2021/2/22, 198, 165, 43, 41, 7, 44
2021/2/23, 182, 231, 44, 55, 9, 28
2021/2/24, 213, 189, 39, 50, 9, 72
2021/2/25, 196, 149, 27, 36, 8, 
2021/2/26, 159, 146, 26, 36, 12, 
2021/2/27, 156, 151, 41, 32, 12, 
2021/2/28, 175, 122, 40, 25, 7, 
2021/1/4, 159, 68, 9, 24, 6, 19
2021/1/5, 148, 94, 9, 25, 4, 23
2021/1/6, 179, 128, 16, 26, 5, 22
2021/1/7, 194, 183, 9, 32, 6, 17
2021/1/8, 246, 148, 17, 34, 5, 14
2021/1/9, 225, 113, 17, 25, 4, 
2021/1/10, 188, 115, 22, 29, 3, 
2021/1/11, 188, 167, 23, 37, 3, 
2021/1/12, 229, 276, 32, 42, 4, 
2021/1/13, 324, 300, 17, 36, 3, 51
2021/1/14, 341, 354, 23, 40, 3, 33
2021/1/15, 368, 328, 28, 49, 4, 45
2021/1/16, 359, 162, 10, 25, 2, 21
2021/1/17, 272, 202, 6, 25, 4, 23
2021/1/18, 265, 268, , 54, 10, 46
2021/1/19, 327, 126, , 31, 9, 28
2021/1/20, 195, 128, , 33, , 
2021/1/21, 187, 153, 5, 26, 7, 24
2021/1/22, 243, 132, 20, 21, 8, 32
2021/1/23, 209, 313, 5, 26, 5, 
2021/1/24, 358, 196, 22, , 5, 57
2021/1/25, 260, 137, 26, , 3, 30
2021/1/26, 221, 167, 19, , , 6
2021/1/27, 306, , , , , 
2020/10/1, 143, 120, 47, 27, 5, 17
2020/10/2, 150, 129, 45, 28, 7, 17
2020/10/3, 165, 131, 54, 34, 9, 24
2020/10/4, 161, 122, 46, 32, 6, 18
2020/10/5, 144, 139, 49, 38, 7, 23
2020/10/6, 159, 156, 61, 42, 11, 22
2020/10/7, 178, 140, 71, 35, 9, 16
2020/10/8, 171, 153, 64, 39, 11, 21
2020/10/9, 175, 139, 71, 33, 10, 15
2020/10/10, 172, 139, 61, 35, 9, 16
2020/10/11, 170, 233, 51, 43, 14, 20
2020/10/12, 228, 158, 37, 28, 7, 25
2020/10/13, 191, 161, 48, 35, 9, 22
2020/10/14, 188, 200, 44, 47, 9, 20
2020/10/15, 209, 170, 56, 52, 12, 22
2020/10/16, 192, 202, 75, 55, 12, 29
2020/10/17, 208, 142, 51, 45, 8, 26
2020/10/18, 169, 148, 60, 42, 11, 20
2020/10/19, 174, 146, 57, 45, 9, 23
2020/10/20, 165, 171, 44, 39, 12, 27
2020/10/21, 182, 210, 77, 43, 12, 32
2020/10/22, 209, 283, 71, 38, 17, 37
2020/10/23, 274, 250, 66, 55, 11, 31
2020/10/24, 246, 276, 61, 53, 14, 29
2020/10/25, 267, 266, 73, 65, 13, 32
2020/10/26, 254, 216, 60, 50, 8, 28
2020/10/27, 230, 283, 68, 62, 9, 34
2020/10/28, 250, 367, 63, 66, 12, 30
2020/10/29, 312, 257, 50, 61, 10, 38
2020/10/30, 262, 291, 52, 52, 8, 35
2020/10/31, 297, 317, 57, 47, 9, 21
2020/11/1, 312, 203, 54, 49, 7, 22
2020/11/2, 225, 197, 45, 46, 8, 24
2020/11/3, 214, 413, 31, 58, 9, 32
2020/11/4, 359, 372, 59, 43, 9, 34
2020/11/5, 345, 324, 45, , 8, 26
2020/11/6, 305, 377, 68, , 8, 35
2020/11/7, 336, 501, 59, , 9, 43
2020/11/8, 414, 544, 50, , 9, 29
2020/11/9, 445, 509, 35, , 7, 48
2020/11/10, 428, 168, 29, , 7, 33
2020/11/11, 220, 194, 32, , 7, 28
2020/11/12, 227, 232, 42, 67, 6, 30
2020/11/13, 237, 329, 40, 61, 7, 49
2020/11/14, 357, 260, 44, 23, 6, 22
2020/11/15, 309, 73, 25, 17, 5, 21
2020/11/16, 158, 93, 28, 37, 5, 32
2020/11/17, 160, 127, 46, 45, 7, 28
2020/11/18, 193, 159, 50, 56, 8, 30
2020/11/19, 222, 152, 44, 48, 6, 26
2020/11/20, 226, 126, 38, 42, 6, 21
2020/11/21, 173, 148, 48, 47, 6, 31
2020/11/22, 202, 172, 35, 55, 6, 39
2020/11/23, 219, 250, 44, 61, 6, 51
2020/11/24, 281, 256, 38, 48, 6, 40
2020/11/25, 299, 119, 28, 32, 9, 22
2020/11/26, 178, 95, 31, 39, 9, 23
2020/11/27, 150, 115, 41, 44, 6, 16
2020/11/28, 175, 164, 56, 53, 6, 57
2020/11/29, 199, 205, 51, 60, 5, 39
2020/11/30, 244, 265, 56, 67, 6, 41
2020/12/1, 291, 247, 51, 65, 6, 53
2020/12/2, 287, 190, 88, 52, 8, 40
2020/12/3, 255, 255, 40, 51, 6, 32
2020/12/4, 269, 233, 45, 37, 4, 23
2020/12/5, 309, 217, 45, 42, 4, 27
2020/12/6, 283, 306, 34, 56, 4, 32
2020/12/7, 336, 237, 52, 52, 8, 23
2020/12/8, 284, 330, 48, 78, 11, 36
2020/12/9, 323, 206, 25, 57, 7, 23
2020/12/10, 236, 193, 14, 49, 7, 32
2020/12/11, 247, 227, 5, 32, 5, 38
2020/12/12, 340, 122, 21, 26, 4, 19
2020/12/13, 196, 122, 28, 27, 6, 16
2020/12/14, 190, 179, , 33, 6, 26
2020/12/15, 233, 130, , 32, 5, 25
2020/12/16, 194, 128, 1, 32, 5, 26
2020/12/17, 203, 136, 10, 41, 4, 23
2020/12/18, 195, 163, 19, 49, 5, 14
2020/12/19, 219, 209, 26, 47, 5, 28
2020/12/20, 256, 218, 28, 54, 8, 26
2020/12/21, 263, 495, 61, 68, 7, 43
2020/12/22, 441, 488, 51, 60, 8, 38
2020/12/23, 422, 411, 46, 56, 9, 38
2020/12/24, 395, 232, 30, 50, 4, 34
2020/12/25, 279, 238, 30, 54, 4, 31
2020/12/26, 287, 269, 23, 37, 6, 22
2020/12/27, 330, 146, 25, 28, 6, 16
2020/12/28, 157, 173, 25, 37, 6, 26
2020/12/29, 197, 176, 25, 35, 4, 25
2020/12/30, 248, 233, 20, 42, 5, 29
2020/12/31, 314, 344, 12, 43, 4, 43
2021/1/1, 403, 233, 20, 32, 3, 27
2021/1/2, 328, 109, 7, 24, 5, 27
2021/1/3, 201, 71, 8, 27, 4, 12
2020/7/1, 113, 88, 14, 8, , 38
2020/7/2, 142, 92, 9, 7, 2, 42
2020/7/3, 137, 64, 8, 4, 1, 
2020/7/4, 103, 33, 9, 6, 2, 
2020/7/5, 53, 58, 10, 6, 2, 
2020/7/6, 104, 26, 4, 4, 2, 
2020/7/7, 40, 32, 4, 4, 1, 
2020/7/8, 56, 51, 17, 7, 2, 
2020/7/9, 87, 59, 9, 8, 1, 
2020/7/10, 67, 36, 8, 6, 1, 
2020/7/11, 45, 42, 11, 5, 1, 
2020/7/12, 55, 81, 19, 11, 2, 13
2020/7/13, 93, 101, 21, 10, 2, 
2020/7/14, 108, 61, 9, 5, 2, 40
2020/7/15, 85, 47, 6, 6, 2, 
2020/7/16, 72, 54, 7, 5, , 
2020/7/17, 97, 47, 3, 4, 1, 
2020/7/18, 74, 51, 9, 10, 1, 
2020/7/19, 71, 37, 12, 8, 1, 
2020/7/20, 50, 25, 6, 6, 2, 
2020/7/21, 44, 25, 5, 8, 2, 
2020/7/22, 40, 58, 24, 11, 3, 20
2020/7/23, 94, 63, 12, 3, 4, 25
