date, pm25, pm10, o3, no2, so2, co
2021/4/1, 118, 120, 42, 6, 10, 6
2021/4/2, 136, 111, 45, 7, 12, 4
2021/4/3, 148, 154, 59, 13, 12, 11
2021/4/4, 182, 175, 53, 8, 14, 12
2021/4/5, 216, 183, 63, 5, 10, 10
2021/4/6, 202, 201, 52, 5, 10, 9
2021/4/7, 194, 111, 36, 7, 9, 6
2021/4/8, 143, 111, 35, 8, 9, 5
2021/4/9, 143, 112, 34, 9, 8, 5
2021/4/10, 144, 150, 38, 10, 13, 8
2021/4/11, 174, 171, 37, 10, 17, 8
2021/4/12, 196, 147, 34, 6, 9, 4
2021/4/13, 154, 141, 33, 6, 10, 4
2021/4/14, 164, 178, 31, 8, 14, 10
2021/4/15, 171, 154, 36, 6, 9, 8
2021/4/16, 167, 100, 33, 5, 7, 8
2021/4/17, 115, 82, 24, 7, 6, 1
2021/4/18, 107, 112, 23, 6, 7, 4
2021/4/19, 107, 122, 35, 10, 12, 5
2021/4/20, 173, , , , , 
2021/3/1, 153, 112, 35, 7, 7, 10
2021/3/2, 153, 122, 41, 11, 9, 12
2021/3/3, 162, 190, 43, 13, 15, 14
2021/3/4, 221, 159, 36, 8, 9, 12
2021/3/5, 188, 109, 16, 9, 7, 10
2021/3/6, 163, 147, 42, 11, 10, 14
2021/3/7, 194, 146, 34, 8, 7, 12
2021/3/8, 186, 168, 32, 9, 16, 16
2021/3/9, 194, 173, 37, 9, 10, 11
2021/3/10, 190, 137, 45, 8, 12, 11
2021/3/11, 190, 167, 16, 13, 10, 15
2021/3/12, 207, 132, 32, 9, 10, 13
2021/3/13, 189, 121, 32, 6, 10, 15
2021/3/14, 131, 135, 32, 10, 9, 11
2021/3/15, 163, 151, 23, 14, 10, 15
2021/3/16, 174, 277, 14, 13, 11, 16
2021/3/17, 175, 232, 33, 9, 12, 13
2021/3/18, 187, 165, 37, 8, 13, 24
2021/3/19, 166, 155, 32, 12, 9, 10
2021/3/20, 165, 157, 41, 10, 15, 17
2021/3/21, 185, 156, 38, 9, 16, 20
2021/3/22, 181, 160, 13, 8, 4, 14
2021/3/23, 124, 120, 34, 8, 6, 7
2021/3/24, 121, 107, 31, 6, 6, 10
2021/3/25, 127, 96, 40, 5, 7, 12
2021/3/26, 139, 288, 18, 29, 20, 32
2021/3/27, 228, 242, 47, 14, 15, 16
2021/3/28, 258, 180, 43, 10, 14, 16
2021/3/29, 233, 212, 36, 8, 9, 11
2021/3/30, 187, 179, 35, 6, 4, 5
2021/3/31, 110, 158, 33, 5, 5, 5
2021/2/1, 361, 320, , 14, 3, 
2021/2/2, 391, 261, , 12, 7, 
2021/2/3, 330, 247, , 8, 11, 
2021/2/4, 284, 61, , 7, 5, 
2021/2/5, 117, 90, , 8, 5, 
2021/2/6, 155, 120, , 9, 5, 
2021/2/7, 188, 180, , 11, 7, 
2021/2/8, 238, 180, , 10, 5, 
2021/2/9, 233, 253, , 13, 12, 
2021/2/10, 279, 324, , 11, 17, 
2021/2/11, 344, 193, , 9, 13, 
2021/2/12, 267, 217, , 8, 3, 
2021/2/13, 305, 194, , 10, 4, 
2021/2/14, 239, 241, , 13, 9, 
2021/2/15, 289, 264, , 12, 19, 
2021/2/16, 286, 304, 88, 13, 15, 38
2021/2/17, 304, 260, 32, 14, 14, 23
2021/2/18, 282, 198, 32, 9, 9, 13
2021/2/19, 247, 173, 34, 8, 5, 10
2021/2/20, 240, 160, 28, 8, 6, 10
2021/2/21, 219, 197, 26, 6, 6, 12
2021/2/22, 245, 187, 30, 14, 12, 24
2021/2/23, 219, 164, 17, 12, 11, 18
2021/2/24, 213, 122, 23, 10, 6, 13
2021/2/25, 168, 133, 26, 7, 7, 11
2021/2/26, 160, 129, 18, 9, 8, 15
2021/2/27, 158, 113, 23, 8, 6, 12
2021/2/28, 142, 125, 33, 8, 7, 9
2021/1/4, 183, 143, , 12, 7, 
2021/1/5, 221, 98, , 16, 7, 
2021/1/6, 182, 63, , 9, 2, 
2021/1/7, 133, 93, , 10, 1, 
2021/1/8, 160, 113, , 12, 3, 
2021/1/9, 181, 107, , 7, , 
2021/1/10, 176, 92, , 11, , 
2021/1/11, 166, 99, , 13, 2, 
2021/1/12, 173, 116, , 16, , 
2021/1/13, 186, 308, , 21, 4, 
2021/1/14, 335, 257, , 27, , 
2021/1/15, 297, 176, , 21, 1, 
2021/1/16, 257, 147, , 14, , 
2021/1/17, 219, 164, , 23, 4, 
2021/1/18, 226, 125, , 16, 3, 
2021/1/19, 193, 117, , 12, 3, 
2021/1/20, 183, 124, , 11, 3, 
2021/1/21, 190, 97, , 10, 3, 
2021/1/22, 167, 96, , 10, 2, 
2021/1/23, 171, 151, , 13, 2, 
2021/1/24, 217, 138, , 12, 1, 
2021/1/25, 192, 475, , 14, 2, 
2021/1/26, 205, 617, , 16, 3, 
2021/1/27, 263, 277, , 17, 5, 
2021/1/28, 324, 172, , 13, 2, 
2021/1/29, 263, 172, , 19, 5, 
2021/1/30, 229, 309, , 12, 5, 
