date, pm25, pm10, o3, no2, so2, co
2021/3/1, 140, , 32, 21, 9, 
2021/3/2, 130, , 31, 38, 30, 
2021/3/3, 144, , 28, 54, 30, 
2021/3/4, 181, , 30, 35, 17, 
2021/3/5, 162, , 30, 20, 10, 
2021/3/6, 152, , 30, 38, 12, 
2021/3/7, 194, , 34, 29, 12, 
2021/3/8, 171, , 34, 34, 11, 
2021/3/9, 186, , 30, 37, 15, 
2021/3/10, 181, , 25, 38, 9, 
2021/3/11, 172, , 20, 33, 20, 
2021/3/12, 160, , 30, 30, 20, 
2021/3/13, 124, , 26, 40, 30, 
2021/3/14, 159, , 25, 42, 29, 
2021/3/15, 157, , 23, 41, 25, 
2021/3/16, 170, , 22, 43, 35, 
2021/3/17, 193, , 29, 49, 28, 
2021/3/18, 198, , 25, 38, 20, 
2021/3/19, 170, , 15, 23, 15, 
2021/3/20, 174, , , , , 
2021/2/1, 320, , 27, 67, 21, 
2021/2/2, 326, , 29, 45, 14, 
2021/2/3, 191, , 27, 34, 17, 
2021/2/4, 172, , 19, 29, 13, 
2021/2/5, 166, , 25, 26, 7, 
2021/2/6, 154, , 28, 32, 14, 
2021/2/7, 185, , 34, 44, 19, 
2021/2/8, 216, , 37, 42, 20, 
2021/2/9, 228, , 36, 52, 15, 
2021/2/10, 284, , 37, 43, 13, 
2021/2/11, 226, , 36, 48, 8, 
2021/2/12, 231, , 39, 46, 15, 
2021/2/13, 223, , 37, 45, 11, 
2021/2/14, 217, , 35, 56, 11, 
2021/2/15, 207, , 24, 44, 9, 
2021/2/16, 183, , 31, 45, 16, 
2021/2/17, 171, , 29, 47, 13, 
2021/2/18, 189, , 27, 42, 7, 
2021/2/19, 183, , 33, 43, 13, 
2021/2/20, 179, , 29, 37, 13, 
2021/2/21, 167, , 27, 41, 27, 
2021/2/22, 184, , 28, 47, 37, 
2021/2/23, 176, , 27, 53, 37, 
2021/2/24, 166, , 28, 42, 30, 
2021/2/25, 150, , 27, 34, 21, 
2021/2/26, 141, , 21, 35, 11, 
2021/2/27, 151, , 25, 30, 9, 
2021/2/28, 142, , 29, 28, 17, 
2021/1/4, 316, , 20, 47, 9, 
2021/1/5, 288, , 16, 46, 9, 
2021/1/6, 185, , 16, 29, 6, 
2021/1/7, 174, , 12, 26, 7, 
2021/1/8, 217, , 14, 32, 16, 
2021/1/9, 206, , 21, 21, 8, 
2021/1/10, 193, , 22, 23, 12, 
2021/1/11, 184, , 17, 29, 9, 
2021/1/12, 264, , 17, 32, 12, 
2021/1/13, 314, , 19, 37, 12, 
2021/1/14, 305, , 22, 50, 12, 
2021/1/15, 373, , 20, 53, 19, 
2021/1/16, 383, , 17, 28, 6, 
2021/1/17, 250, , 15, 37, 8, 
2021/1/18, 298, , 21, 40, 8, 
2021/1/19, 313, , 19, 35, 7, 
2021/1/20, 244, , 29, 33, 15, 
2021/1/21, 216, , 14, 26, 9, 
2021/1/22, 247, , 22, 26, 14, 
2021/1/23, 222, , 17, 24, 5, 
2021/1/24, 219, , 12, 26, 11, 
2021/1/25, 227, , 12, 25, 9, 
2021/1/26, 203, , 9, 38, 22, 4
2021/1/27, 266, , 9, 31, 11, 
2021/1/28, 243, , 15, 29, 9, 
2021/1/29, 223, , 27, 47, 21, 
2021/1/30, 247, , 27, 56, 19, 
2021/1/31, 299, , 29, 57, 12, 
2020/10/1, 156, , 36, 14, 6, 
2020/10/2, 156, , 30, 24, 6, 
2020/10/3, 159, , 27, 20, 3, 
2020/10/4, 162, , 23, 29, 3, 
2020/10/5, 157, , 23, 34, 2, 
2020/10/6, 157, , 20, 40, 2, 
2020/10/7, 171, , 21, 38, 8, 
2020/10/8, 179, , 26, 43, 2, 
2020/10/9, 162, , 33, 32, 6, 
2020/10/10, 162, , 39, 24, 2, 
2020/10/11, 163, , 35, 16, 7, 
2020/10/12, 152, , 22, 14, 5, 
2020/10/13, 149, , 22, 17, 3, 
2020/10/14, 164, , 24, 19, 7, 
2020/10/15, 163, , 84, 21, 7, 
2020/10/16, 170, , 77, 33, 7, 
2020/10/17, 176, , 35, 44, 4, 
2020/10/18, 191, , 42, 36, 7, 
2020/10/19, 188, , 34, 32, 7, 
2020/10/20, 175, , 35, 40, 8, 
2020/10/21, 167, , 38, 48, 3, 
2020/10/22, 189, , 34, 42, 3, 
