date, pm25, pm10, o3, no2, so2, co
2021/4/1, 149, 131, 23, 8, 11, 
2021/4/2, 125, 143, 29, 13, 16, 
2021/4/3, 140, 127, 27, 10, 12, 
2021/4/4, 150, 211, 41, 17, 25, 
2021/4/5, 170, 231, 34, 13, 21, 
2021/4/6, 196, 573, 28, 8, 11, 
2021/4/7, 179, 678, 25, 9, 9, 
2021/4/8, 160, 434, 24, 18, 13, 
2021/4/9, 165, 297, 23, 14, 6, 
2021/4/10, 143, 264, 24, 18, 10, 
2021/4/11, 155, 446, 23, 21, 12, 
2021/4/12, 181, 387, 20, 16, 12, 
2021/4/13, 168, 300, 19, 14, 10, 
2021/4/14, 148, 378, 21, 16, 15, 
2021/4/15, 175, 274, 22, 16, 17, 
2021/4/16, 173, 247, 21, 12, 11, 
2021/4/17, 155, 219, 23, 14, 17, 
2021/4/18, 153, 276, 22, 16, 11, 
2021/4/19, 147, 328, 8, 17, , 
2021/4/20, 189, , , , , 
2021/3/1, 142, 101, 24, 5, 7, 
2021/3/2, 138, 140, 33, 11, 8, 
2021/3/3, 145, 171, 49, 16, 9, 
2021/3/4, 180, 153, 38, 11, 7, 
2021/3/5, 154, 139, 38, 15, 6, 
2021/3/6, 158, 154, 39, 19, 13, 
2021/3/7, 177, 164, 42, 14, 11, 
2021/3/8, 183, 193, 31, 15, 12, 
2021/3/9, 202, 112, 25, 11, 8, 
2021/3/10, 130, 166, 27, 20, 13, 
2021/3/11, 173, 179, 17, 17, 16, 
2021/3/12, 194, 141, 26, 12, 15, 
2021/3/13, 176, 104, 22, 8, 11, 
2021/3/14, 138, 139, 19, 11, 8, 
2021/3/15, 160, 193, 16, 8, 6, 
2021/3/16, 162, 220, 19, 11, 11, 
2021/3/17, 174, 228, 20, 14, 11, 
2021/3/18, 181, 151, 21, 10, 10, 
2021/3/19, 153, 139, 22, 11, 9, 
2021/3/20, 151, 248, 31, 22, 27, 
2021/3/21, 232, 155, 17, 11, 13, 
2021/3/22, 157, 204, 13, 12, 14, 
2021/3/23, 151, 157, 25, 13, 17, 
2021/3/24, 156, 107, 19, 6, 6, 
2021/3/25, 108, 121, 23, 8, 7, 
2021/3/26, 149, 175, 34, 16, 16, 
2021/3/27, 182, 174, 43, 15, 14, 
2021/3/28, 175, 197, 25, 10, 19, 
2021/3/29, 193, 341, 24, 9, 9, 
2021/3/30, 172, 239, 24, 4, 6, 
2021/3/31, 123, 300, 22, 5, 8, 
2021/2/1, 251, 187, 31, 8, 3, 
2021/2/2, 224, 170, 28, 5, 4, 
2021/2/3, 217, 100, 17, 4, 2, 
2021/2/4, 155, 60, 20, 5, 2, 
2021/2/5, 107, 89, 21, 6, 1, 
2021/2/6, 153, 158, 5, 7, 1, 
2021/2/7, 245, 165, 29, 10, 3, 
2021/2/8, 197, 149, 23, 9, 2, 
2021/2/9, 201, 203, 38, 7, 2, 
2021/2/10, 238, 149, 27, 6, 3, 
2021/2/11, 198, 167, 15, 10, 1, 
2021/2/12, 224, 133, 22, 11, 1, 
2021/2/13, 194, 142, 32, 10, , 
2021/2/14, 192, 222, 36, 17, 2, 
2021/2/15, 223, 182, 37, 11, 4, 
2021/2/16, 199, 140, 29, 10, 1, 
2021/2/17, 178, 132, 35, 9, 3, 
2021/2/18, 182, 128, 24, 13, 1, 
2021/2/19, 189, 103, 24, 11, 1, 
2021/2/20, 162, 147, 34, 11, 2, 
2021/2/21, 202, 179, 28, 12, 5, 
2021/2/22, 211, 212, 30, 17, 12, 
2021/2/23, 217, 170, 47, 15, 6, 
2021/2/24, 187, 152, 47, 12, 11, 
2021/2/25, 183, 134, 37, 10, 7, 
2021/2/26, 161, 177, 37, 15, 7, 
2021/2/27, 167, 148, 38, 10, 7, 
2021/2/28, 147, 151, 37, 10, 6, 
2021/1/4, 111, 40, 12, 5, 4, 
2021/1/5, 99, 79, 16, 6, 6, 
2021/1/6, 159, 100, 11, 6, 6, 
2021/1/7, 175, 140, 12, 10, 10, 
2021/1/8, 194, 124, 15, 7, 7, 
2021/1/9, 188, 103, 16, 4, 4, 
2021/1/10, 174, 103, 18, 5, 4, 
2021/1/11, 168, 153, 18, 16, 3, 
2021/1/12, 204, 205, 19, 10, , 
2021/1/13, 227, 204, 3, 11, 2, 
2021/1/14, 249, 296, 29, 13, 2, 
2021/1/15, 297, 128, 10, 10, , 
2021/1/16, 198, 118, 12, 8, 1, 
2021/1/17, 210, 220, 19, 9, 1, 
2021/1/18, 245, 143, 20, 8, , 
2021/1/19, 208, 118, 18, 7, 2, 
2021/1/20, 189, 116, 36, 7, 3, 
2021/1/21, 180, 145, 11, 12, 1, 
2021/1/22, 220, 131, 12, 10, 2, 
2021/1/23, 203, 197, 4, 9, , 
2021/1/24, 236, 168, 3, 8, 2, 
2021/1/25, 196, 156, , 9, 1, 
2021/1/26, 200, 166, 7, 10, 1, 
2021/1/27, 185, 241, 21, 10, 1, 
2021/1/28, 261, 157, 26, 9, 1, 
2021/1/29, 204, 133, 32, 7, 2, 
2021/1/30, 180, 228, 36, 11, 5, 
2021/1/31, 238, 246, 33, 8, 4, 
2020/10/1, 160, 130, 51, 6, 2, 14
2020/10/2, 170, 122, 51, 6, 2, 10
2020/10/3, 168, 130, 55, 7, 3, 23
2020/10/4, 173, 140, 59, 6, 3, 17
2020/10/5, 166, 139, 55, 9, 3, 19
2020/10/6, 169, 157, 66, 8, 4, 27
2020/10/7, 183, 154, 74, 8, 4, 7
2020/10/8, 189, 156, 61, 9, 3, 24
2020/10/9, 193, 151, 58, 7, 3, 19
2020/10/10, 199, 151, 63, 7, 4, 15
2020/10/11, 194, 235, 60, 12, 2, 22
2020/10/12, 239, 172, 50, 9, 1, 27
2020/10/13, 213, 238, 46, 14, 4, 20
2020/10/14, 222, 193, 24, 17, 7, 8
2020/10/15, 235, 229, 40, 21, 7, 5
2020/10/16, 241, 201, 44, 17, 4, 6
2020/10/17, 215, 157, 38, 10, 7, 6
2020/10/18, 186, 175, 48, 10, 8, 4
2020/10/19, 204, 222, 48, 13, 8, 5
2020/10/20, 213, 249, 45, 14, 6, 6
2020/10/21, 234, 273, 48, 13, 5, 8
2020/10/22, 246, 320, 47, 13, 6, 11
2020/10/23, 292, 290, 59, 12, 3, 7
2020/10/24, 285, 299, 65, 12, 3, 11
2020/10/25, 227, 221, 51, 9, 7, 6
2020/10/26, 230, 197, 44, 8, 2, 5
2020/10/27, 235, 276, 72, 13, 7, 12
2020/10/28, 263, 314, 54, 11, 6, 15
2020/10/29, 309, 242, 47, 10, 7, 10
2020/10/30, 243, 355, 54, 9, 7, 14
2020/10/31, 319, 386, 52, 10, 6, 14
2020/11/1, 318, 336, 45, 12, 7, 7
2020/11/2, 293, 363, 41, 16, 10, 12
2020/11/3, 283, 500, 31, 19, 7, 18
2020/11/4, 415, 395, 60, 19, 10, 11
2020/11/5, 348, 379, 57, 21, 10, 13
2020/11/6, 327, 391, 56, 20, 7, 10
2020/11/7, 343, 563, 66, 24, 6, 19
2020/11/8, 444, 627, 46, 23, 9, 21
2020/11/9, 441, 550, 46, 24, 5, 20
2020/11/10, 413, 234, 35, 16, 6, 12
2020/11/11, 227, 231, 38, 15, 5, 11
2020/11/12, 218, 261, 52, 19, 5, 10
2020/11/13, 262, 460, 37, 19, 8, 20
2020/11/14, 418, 261, 53, 9, 9, 11
2020/11/15, 284, 71, 30, 6, 5, 
2020/11/16, 106, 94, 33, 9, 7, 1
2020/11/17, 140, 178, 39, 13, 4, 5
2020/11/18, 185, 173, 48, 14, 7, 5
2020/11/19, 205, 169, 42, 13, 8, 4
2020/11/20, 206, 160, 36, 10, 5, 3
2020/11/21, 165, 152, 41, 12, 4, 4
2020/11/22, 187, 262, 47, 21, 8, 7
2020/11/23, 237, 343, 51, 27, 11, 16
2020/11/24, 311, 189, 22, 16, 8, 17
2020/11/25, 243, 100, 25, 9, 4, 4
2020/11/26, 132, 95, 30, 10, 10, 2
2020/11/27, 147, 114, 35, 11, 5, 3
2020/11/28, 165, 202, 44, 17, 6, 11
2020/11/29, 225, 198, 51, 18, 8, 7
2020/11/30, 241, 267, 47, 21, 8, 13
2020/12/1, 267, 196, 48, 17, 5, 10
2020/12/2, 238, 285, 46, 20, 9, 9
2020/12/3, 273, 345, 58, 20, 9, 18
2020/12/4, 354, 258, 44, 13, 6, 10
2020/12/5, 315, 273, 59, 12, 6, 10
2020/12/6, 321, 225, 31, 13, 4, 9
2020/12/7, 259, 200, 30, 15, 4, 11
2020/12/8, 231, 200, 31, 13, 6, 12
2020/12/9, 239, 151, 20, 12, 14, 5
2020/12/10, 182, 209, 19, 15, 8, 9
2020/12/11, 218, 224, 4, 10, 7, 16
2020/12/12, 310, , , , , 
2020/12/14, 167, 113, 16, 9, 2, 15
2020/12/15, 169, 90, 4, 9, 2, 6
2020/12/16, 155, 127, 15, 8, 3, 19
2020/12/17, 179, 136, 26, 10, 2, 28
2020/12/18, 184, 136, 33, 13, 1, 17
2020/12/19, 182, 149, 38, 16, 3, 13
2020/12/20, 196, 217, 34, 17, 11, 41
2020/12/21, 248, 329, 29, 14, 9, 26
2020/12/22, 327, 308, 43, 10, 8, 26
2020/12/23, 341, 322, 26, 11, 10, 65
2020/12/24, 284, 163, 32, 10, 4, 
2020/12/25, 211, 165, 30, 9, 4, 25
2020/12/26, 225, 197, 33, 9, 5, 
2020/12/27, 255, 168, 26, 10, 9, 
2020/12/28, 164, 160, 30, 11, 7, 
2020/12/29, 189, 136, 17, 9, 4, 
2020/12/30, 201, 161, 12, 11, 3, 
2020/12/31, 230, 239, 8, 10, 4, 
2021/1/1, 294, 267, 16, 7, 8, 
2021/1/2, 352, 99, 15, 4, 5, 
2021/1/3, 181, 49, 20, 5, 6, 
2020/7/1, 136, 112, 65, 9, 9, 12
2020/7/2, 157, 110, 48, 9, 7, 14
2020/7/3, 150, 76, 43, 6, 4, 14
2020/7/4, 112, 33, 38, 6, 3, 13
2020/7/5, 63, 64, 37, 6, 7, 15
2020/7/6, 114, 43, 20, 5, 4, 11
2020/7/7, 60, 37, 23, 4, 3, 12
2020/7/8, 55, 65, 43, 7, 4, 16
2020/7/9, 101, 71, 37, 8, 3, 9
2020/7/10, 94, 47, 38, 5, 2, 17
2020/7/11, 52, 32, 34, 4, 2, 7
2020/7/12, 50, 81, 35, 7, 3, 17
2020/7/13, 76, 126, 35, 9, 3, 10
2020/7/14, 125, 71, 33, 5, 2, 16
2020/7/15, 95, 59, 25, 5, 3, 13
2020/7/16, 76, 65, 28, 6, 2, 13
2020/7/17, 113, 43, 22, 4, 2, 15
2020/7/18, 69, 32, 29, 4, 1, 11
2020/7/19, 57, 37, 40, 6, 1, 11
2020/7/20, 47, 26, 27, 5, , 15
2020/7/21, 53, 39, 18, 6, 1, 12
2020/7/22, 81, 73, 35, 9, 1, 13
2020/7/23, 109, 67, 32, 5, 2, 15
2020/7/24, 89, 42, 21, 3, , 11
2020/7/25, 58, 59, 33, 5, 1, 12
2020/7/26, 91, 72, 32, 6, , 19
2020/7/27, 102, 69, 25, 6, , 15
2020/7/28, 71, 49, 26, 7, 1, 18
2020/7/29, 52, 31, 19, 4, , 8
2020/7/30, 50, 53, 22, 5, 1, 14
2020/7/31, 82, 38, 26, 3, , 14
2020/8/1, 60, 55, 22, 4, , 15
2020/8/2, 78, 60, 20, 4, , 18
2020/8/3, 74, 66, 25, 3, 2, 14
2020/8/4, 79, 55, 21, 5, 1, 15
2020/8/5, 90, 39, 15, 2, , 14
2020/8/6, 33, 38, 20, 4, , 15
2020/8/7, 44, 60, 30, 3, 1, 14
2020/8/8, 92, 44, 18, 3, , 7
2020/8/9, 80, 45, 19, 3, 1, 16
2020/8/10, 80, 55, 26, 4, 1, 8
2020/8/11, 102, 52, 14, 3, , 11
2020/8/12, 64, 16, 15, 4, 1, 9
2020/8/13, 35, 34, 20, 3, , 9
2020/8/14, 51, 44, 20, 2, , 2
2020/8/15, 74, 38, 21, 2, 1, 
2020/8/16, 60, 39, 22, 3, 2, 6
2020/8/17, 67, 47, 31, 4, , 9
2020/8/18, 79, 28, 16, 6, 1, 2
2020/8/19, 47, 16, 23, 2, , 1
2020/8/20, 31, 37, 18, 2, , 1
2020/8/21, 24, 38, 18, 2, , 2
2020/8/22, 31, 38, 19, 1, 1, 
2020/8/23, 40, 36, 20, 2, 1, 3
2020/8/24, 34, 50, 28, 4, 1, 3
2020/8/25, 62, 49, 22, 4, 1, 5
2020/8/26, 44, 70, 22, 4, 1, 5
2020/8/27, 73, 61, 21, 4, 1, 2
2020/8/28, 73, 51, 24, 3, 1, 1
2020/8/29, 66, 38, 19, 1, 1, 1
2020/8/30, 45, 29, 26, 2, 1, 3
2020/8/31, 32, 51, 41, 5, , 3
2020/9/1, 53, 57, 31, 5, , 3
2020/9/2, 66, 61, 28, 2, 1, 10
2020/9/3, 77, 68, 31, 4, 2, 3
2020/9/4, 100, 72, 58, 5, 1, 5
2020/9/5, 124, 41, 35, 3, 1, 4
2020/9/6, 62, 54, 34, 3, 1, 
2020/9/7, 100, 74, 28, 3, 1, 
2020/9/8, 113, 79, 31, 5, , 2
2020/9/9, 129, 81, 33, 3, 1, 5
2020/9/10, 134, 103, 39, 7, 2, 4
2020/9/11, 147, 101, 45, 5, 2, 5
2020/9/12, 156, 101, 33, 6, , 4
2020/9/13, 159, 101, 37, 5, 1, 6
2020/9/14, 158, 105, 41, 5, 1, 8
2020/9/15, 159, 111, 39, 6, 2, 6
2020/9/16, 163, 87, 24, 3, 1, 
2020/9/17, 140, 86, 25, 4, 1, 5
2020/9/18, 139, 97, 34, 6, 2, 4
2020/9/19, 153, 106, 40, 5, 2, 8
2020/9/20, 164, 105, 51, 5, 2, 5
2020/9/21, 159, 83, 23, 5, 1, 4
2020/9/22, 126, 76, 21, 5, 1, 9
2020/9/23, 112, 75, 35, 4, 1, 6
2020/9/24, 118, 111, 49, 7, 3, 5
2020/9/25, 165, 117, 27, 7, 3, 7
2020/9/26, 165, 79, 35, 4, 2, 7
2020/9/27, 116, 133, 36, 22, 9, 11
2020/9/28, 159, 131, 45, 5, 1, 5
2020/9/29, 161, 116, 45, 4, 2, 5
2020/9/30, 154, 121, 42, 7, 2, 20
2020/6/16, 127, 92, 48, 91, 7, 6
2020/6/17, 112, 104, 68, 66, 8, 6
2020/6/18, 128, 136, 45, 11, 6, 5
2020/6/19, 138, 103, 42, 8, 4, 3
2020/6/20, 115, 80, 51, 10, 7, 3
2020/6/21, 125, 53, 69, 8, 2, 1
2020/6/22, 104, 64, 31, 8, 9, 5
2020/6/23, 91, 61, 27, 9, 6, 16
2020/6/24, 101, 71, 39, 10, 6, 10
2020/6/25, 113, 84, 48, 10, 6, 18
2020/6/26, 130, 139, 31, 11, 6, 18
2020/6/27, 133, 307, 28, 12, 6, 23
2020/6/28, 154, 155, 33, 11, 8, 17
