date, pm25, pm10, o3, no2, so2, co
2021/4/1, 138, 94, , 10, 13, 4
2021/4/2, 175, 136, , 12, 19, 8
2021/4/3, 116, 110, , 12, 17, 8
2021/4/4, 102, 153, , 14, 22, 8
2021/4/5, 139, 194, , 10, 15, 7
2021/4/6, 187, 147, , 10, 13, 9
2021/4/7, 163, 96, , 10, 15, 8
2021/4/8, 125, 99, , 11, 16, 8
2021/4/9, 121, 105, , 12, 19, 9
2021/4/10, 119, 121, , 12, 17, 9
2021/4/11, 142, 136, , 12, 20, 8
2021/4/12, 157, 126, , 10, 16, 8
2021/4/13, 141, 109, , 7, 24, 8
2021/4/14, 143, 110, , 8, 8, 5
2021/4/15, 330, 291, , 7, , 
2021/4/16, 249, 81, , 9, 13, 8
2021/4/17, 103, 98, , 8, 16, 8
2021/4/18, 121, 109, , 9, 17, 9
2021/4/19, 128, 129, , 12, 22, 9
2021/4/20, 161, , , , , 
2021/3/1, 107, 106, , 2, 9, 4
2021/3/2, 92, 107, , 2, 10, 6
2021/3/3, 97, 182, , 3, 15, 4
2021/3/4, 147, 122, , 2, 14, 5
2021/3/5, 118, 115, , 2, 11, 4
2021/3/6, 104, , , , , 
2021/3/8, 235, 188, , 3, 7, 6
2021/3/9, 154, 140, , 3, 18, 5
2021/3/10, 131, 211, , 4, 16, 5
2021/3/11, 144, 201, , 3, 19, 4
2021/3/12, 156, 154, , 3, 17, 5
2021/3/13, 126, 100, , 2, 12, 4
2021/3/14, 85, 120, , 2, 13, 5
2021/3/15, 113, 180, , 2, 13, 4
2021/3/16, 133, 191, , 2, 14, 5
2021/3/17, 146, 214, , 3, 15, 5
2021/3/18, 151, 154, , 2, 15, 4
2021/3/19, 129, 124, , 14, 13, 2
2021/3/20, 269, 151, , 13, 19, 4
2021/3/21, 129, 147, , 13, 15, 5
2021/3/22, 120, 147, , 14, 14, 5
2021/3/23, 131, 131, , 12, 17, 5
2021/3/24, 115, 91, , 9, 9, 4
2021/3/25, 77, 97, , 10, 11, 5
2021/3/26, 83, 130, , 14, 18, 6
2021/3/27, 124, 194, , 14, 21, 6
2021/3/28, 138, 165, , 12, 16, 5
2021/3/29, 139, 203, , 11, 15, 4
2021/3/30, 150, 150, , 8, 7, 4
2021/3/31, 70, 140, , 8, 11, 5
2021/2/17, 215, 185, , 3, 11, 4
2021/2/18, 194, 187, , 3, 9, 4
2021/2/19, 193, 129, , 3, 14, 5
