date, pm25, pm10, o3, no2, so2, co
2021/4/1, 121, 149, 1, 144, 16, 12
2021/4/2, 143, 143, 1, 132, 18, 12
2021/4/3, 167, 143, 1, 131, 15, 8
2021/4/4, 146, 157, 2, 131, 18, 10
2021/4/5, 170, 242, 2, 115, 16, 10
2021/4/6, 201, 181, 1, 134, 10, 11
2021/4/7, 164, 126, 1, 129, 11, 6
2021/4/8, 139, 108, 1, 130, 10, 8
2021/4/9, 130, 144, 2, 134, 15, 8
2021/4/10, 143, 192, 1, 131, 17, 14
2021/4/11, 155, 216, 2, 146, 18, 13
2021/4/12, 177, 183, , 128, 15, 11
2021/4/13, 152, 157, 4, 131, 13, 5
2021/4/14, 191, 208, 33, 136, 18, 9
2021/4/15, 159, 226, 9, 129, 15, 11
2021/4/16, 177, 102, 8, 127, 11, 6
2021/4/17, 105, 121, , 130, 13, 10
2021/4/18, 135, 166, , 132, 16, 9
2021/4/19, 135, 141, , 98, 19, 7
2021/4/20, 162, , , , , 
2021/3/1, 149, 137, 3, 128, 9, 5
2021/3/2, 140, 177, 3, 139, 10, 9
2021/3/3, 148, 257, 3, 135, 17, 11
2021/3/4, 210, 175, 3, 135, 11, 4
2021/3/5, 172, 137, 3, 121, 12, 7
2021/3/6, 156, 190, 3, 131, 12, 10
2021/3/7, 201, 188, 4, 105, 9, 7
2021/3/8, 190, 218, 3, 108, 10, 7
2021/3/9, 193, 167, 2, 130, 12, 7
2021/3/10, 151, 250, 3, 127, 13, 16
2021/3/11, 195, 203, 2, 118, 11, 15
2021/3/12, 201, 142, 2, 135, 9, 7
2021/3/13, 152, 131, 2, 119, 11, 9
2021/3/14, 145, 144, 1, 128, 12, 7
2021/3/15, 164, 347, 1, 130, 10, 10
2021/3/16, 173, 276, 1, 138, 15, 11
2021/3/17, 176, 329, 1, 126, 15, 10
2021/3/18, 188, 189, 1, 141, 13, 8
2021/3/19, 162, 177, 1, 136, 17, 9
2021/3/20, 164, 227, 2, 129, 25, 11
2021/3/21, 192, 201, 1, 141, 11, 8
2021/3/22, 161, 156, , 110, 8, 9
2021/3/23, 146, 137, 1, 132, 10, 6
2021/3/24, 140, 123, 1, 124, 10, 7
2021/3/25, 132, 128, 1, 142, 12, 6
2021/3/26, 144, 172, 1, 126, 19, 10
2021/3/27, 172, 212, 2, 133, 18, 12
2021/3/28, 204, 186, 1, 148, 14, 11
2021/3/29, 217, 300, , 137, 9, 6
2021/3/30, 159, 159, , 131, 9, 5
2021/3/31, 130, 173, 1, 146, 11, 9
2021/2/1, 239, 274, , 64, 4, 10
2021/2/2, 243, 222, , 37, 3, 9
2021/2/3, 241, 126, , 34, 1, 6
2021/2/4, 156, 70, , 40, 3, 6
2021/2/5, 97, 113, , 39, 5, 8
2021/2/6, 154, 136, , 43, 4, 8
2021/2/7, 178, 178, , 44, 3, 10
2021/2/8, 210, 225, , 53, 5, 10
2021/2/9, 220, 275, , 61, 6, 12
2021/2/10, 203, 245, , 50, 5, 9
2021/2/11, 237, 259, , 49, 5, 9
2021/2/12, 265, 176, , 46, 5, 7
2021/2/13, 204, 219, 1, 58, 5, 9
2021/2/14, 216, 292, 2, 45, 4, 12
2021/2/15, 234, 260, 1, 42, 7, 8
2021/2/16, 221, 202, 1, 32, 8, 9
2021/2/17, 207, 251, 1, 44, 6, 11
2021/2/18, 237, 209, , 29, 7, 10
2021/2/19, 217, 140, , 19, 6, 8
2021/2/20, 183, 193, , 22, 8, 7
2021/2/21, 207, 238, , 36, 6, 9
2021/2/22, 216, 259, 1, 44, 8, 10
2021/2/23, 206, 214, , , 6, 13
2021/2/24, 213, 155, , , 8, 11
2021/2/25, 247, 147, , , 13, 9
2021/2/26, 203, 204, , , 14, 12
2021/2/27, 157, 133, , , 9, 10
2021/2/28, 132, 136, 3, 145, 8, 7
2021/1/4, 81, 55, , 57, 9, 6
2021/1/5, 89, 70, , 54, 3, 7
2021/1/6, 108, 96, , 57, 1, 6
2021/1/7, 142, 92, , 60, 2, 6
2021/1/8, 119, 127, 1, 54, 3, 6
2021/1/9, 170, 108, , 57, 1, 4
2021/1/10, 159, 104, , 51, 1, 5
2021/1/11, 159, 131, 1, 56, 1, 7
2021/1/12, 173, 189, 1, 68, 3, 8
2021/1/13, 203, 363, 1, 74, 3, 10
2021/1/14, 217, 342, 1, 78, 2, 11
2021/1/15, 240, 257, , 73, 3, 9
2021/1/16, 290, 191, 1, 58, 4, 3
2021/1/17, 220, 230, 1, 62, 3, 6
2021/1/18, 214, 201, 1, 76, 1, 9
