date, pm25, pm10, o3, no2, co
2021/3/1, 152, 105, 23, 9, 9
2021/3/2, 141, 128, 29, 12, 13
2021/3/3, 153, 221, 43, 13, 23
2021/3/4, 223, 140, 26, 11, 13
2021/3/5, 187, 128, 28, 11, 14
2021/3/6, 164, 211, 34, 10, 18
2021/2/1, 303, 217, 31, 16, 20
2021/2/2, 254, 167, 25, 9, 12
2021/2/3, 225, 120, 21, 8, 10
2021/2/4, 179, 84, 29, 10, 8
2021/2/5, 163, 93, 22, 9, 8
2021/2/6, 155, 117, 26, 10, 11
2021/2/7, 174, 165, 29, 13, 15
2021/2/8, 208, 233, 26, 14, 19
2021/2/9, 240, 189, 30, 12, 17
2021/2/10, 231, 173, 34, 19, 15
2021/2/11, 223, 220, 30, 9, 18
2021/2/12, 264, 238, 71, 8, 22
2021/2/13, 270, 202, 35, 8, 21
2021/2/14, 246, 153, 25, 7, 14
2021/2/15, 213, 181, 29, 7, 13
2021/2/16, 233, 161, 30, 7, 13
2021/2/17, 212, 147, 31, 7, 13
2021/2/18, 199, 145, 22, 5, 13
2021/2/19, 206, 134, 22, 6, 13
2021/2/20, 190, 155, 25, 6, 13
2021/2/21, 216, 154, 21, 6, 15
2021/2/22, 200, 155, 18, 6, 20
2021/2/23, 179, 261, 24, 7, 39
2021/2/24, 238, 174, 21, 10, 20
2021/2/25, 207, 135, 16, 9, 15
2021/2/26, 164, 126, 15, 10, 11
2021/2/27, 152, 124, 28, 9, 9
2021/2/28, 159, 114, 23, 9, 9
2021/1/4, 160, 69, 12, 8, 2
2021/1/5, 135, 105, 12, 8, 4
2021/1/6, 173, 114, 19, 7, 3
2021/1/7, 177, 129, 21, 9, 5
2021/1/8, 232, 116, 14, 10, 4
2021/1/9, 201, 112, 16, 8, 2
2021/1/10, 174, 116, 18, 10, 4
2021/1/11, 180, 158, 16, 12, 6
2021/1/12, 212, 231, 24, 12, 8
2021/1/13, 261, 369, 27, 14, 14
2021/1/14, 352, 467, 27, 11, 25
2021/1/15, 399, 390, 18, 14, 20
2021/1/16, 350, 182, 16, 8, 7
2021/1/17, 256, 209, 19, 7, 13
2021/1/18, 231, 289, 15, 9, 18
2021/1/19, 297, 140, 15, 11, 7
2021/1/20, 200, 148, 23, 11, 10
2021/1/21, 201, 224, 12, 7, 13
2021/1/22, 257, 136, 20, 8, 7
2021/1/23, 203, 212, 9, 10, 10
2021/1/24, 243, 169, 18, 9, 10
2021/1/25, 208, 241, 27, 10, 14
2021/1/26, 256, 214, 26, 13, 11
2021/1/27, 221, 343, 25, 12, 17
2021/1/28, 300, 279, 26, 13, 18
2021/1/29, 262, 183, 28, 14, 13
2021/1/30, 201, 208, 29, 12, 19
2021/1/31, 233, 310, 35, 17, 20
2020/10/1, 150, 137, 36, 6, 7
2020/10/2, 166, 129, 28, 5, 6
2020/10/3, 163, 130, 32, 5, 6
2020/10/4, 165, 130, 29, 6, 4
2020/10/5, 151, 143, 30, 8, 4
2020/10/6, 164, 155, 35, 7, 5
2020/10/7, 182, 156, 36, 6, 4
2020/10/8, 187, 158, 31, 10, 5
2020/10/9, 185, 148, 30, 8, 6
2020/10/10, 177, 146, 26, 8, 6
2020/10/11, 175, 224, 35, 9, 10
2020/10/12, 240, 196, 19, 9, 10
2020/10/13, 209, 159, 23, 8, 8
2020/10/14, 197, 219, 22, 5, 7
2020/10/15, 242, 199, 24, 4, 8
2020/10/16, 207, 247, 24, 4, 13
2020/10/17, 229, 160, 18, 3, 9
2020/10/18, 180, 178, 21, 3, 8
2020/10/19, 189, 180, 22, 4, 8
2020/10/20, 185, 176, 16, 5, 18
2020/10/21, 185, 297, 24, 5, 18
2020/10/22, 265, 317, 25, 4, 14
2020/10/23, 297, 277, 26, 5, 16
2020/10/24, 261, 307, 26, 5, 23
2020/10/25, 268, 304, 22, 6, 18
2020/10/26, 275, 217, 20, 4, 12
2020/10/27, 234, 278, 21, 8, 19
2020/10/28, 259, 279, 24, 8, 20
2020/10/29, 267, 352, 20, 8, 20
2020/10/30, 304, 375, 20, 6, 13
2020/10/31, 330, 384, 18, 6, 15
2020/11/1, 339, 275, 18, 7, 16
2020/11/2, 265, 204, 17, 7, 25
2020/11/3, 215, 523, 21, 11, 17
2020/11/4, 397, 395, 25, 13, 10
2020/11/5, 339, 448, 22, 12, 20
2020/11/6, 361, 476, 27, 9, 14
2020/11/7, 408, 589, 29, 11, 21
2020/11/8, 245, 731, 25, 14, 32
2020/11/9, 514, 598, 20, 11, 26
2020/11/10, 512, 258, 17, 10, 13
2020/11/11, 269, 218, 17, 12, 23
2020/11/12, 235, 329, 22, 15, 24
2020/11/13, 317, 612, 18, 11, 18
2020/11/14, 467, 343, 22, 5, 9
2020/11/15, 348, 95, 37, 5, 4
2020/11/16, 164, 104, 46, 7, 4
2020/11/17, 155, 121, 24, 8, 5
2020/11/18, 175, 142, 25, 7, 5
2020/11/19, 190, 161, 15, 8, 5
2020/11/20, 210, 127, 14, 7, 3
2020/11/21, 169, 155, 14, 8, 4
2020/11/22, 195, 220, 15, 13, 13
2020/11/23, 221, 422, 17, 16, 26
2020/11/24, 320, 385, 13, 12, 8
2020/11/25, 333, 114, 30, 8, 2
2020/11/26, 174, 99, 9, 9, 3
2020/11/27, 154, 137, 11, 10, 5
2020/11/28, 176, 186, 34, 11, 9
2020/11/29, 198, 264, 13, 11, 18
2020/11/30, 248, 365, 186, 13, 19
2020/12/1, 307, 338, 26, 12, 22
2020/12/2, 298, 259, 14, 13, 15
2020/12/3, 244, 412, 21, 11, 23
2020/12/4, 328, 322, 17, 9, 7
2020/12/5, 307, 315, 18, 10, 10
2020/12/6, 296, 397, 12, 11, 16
2020/12/7, 325, 328, 19, 10, 19
2020/12/8, 273, 328, 13, 12, 20
2020/12/9, 275, 203, 21, 11, 8
2020/12/10, 216, 257, 7, 12, 8
2020/12/11, 228, 276, 3, 8, 11
2020/12/12, 291, 134, 6, 7, 4
2020/12/13, 177, 126, 8, 7, 3
2020/12/14, 179, 143, 3, 8, 4
2020/12/15, 190, 129, , 9, 5
2020/12/16, 175, 151, , 9, 5
2020/12/17, 194, 176, , 11, 7
2020/12/18, 202, 237, 9, 11, 14
2020/12/19, 194, 289, 11, 12, 18
2020/12/20, 299, 331, 10, 13, 22
2020/12/21, 282, 621, 89, 15, 27
