date, pm25, pm10, o3, no2, so2, co
2021/3/1, 171, 124, 10, 7, 13, 11
2021/3/2, 170, 108, 10, 9, 10, 8
2021/3/3, 173, 168, 14, 14, 8, 13
2021/3/4, 200, 155, 21, 10, 8, 8
2021/3/5, 193, 109, 18, 9, 10, 10
2021/3/6, 181, 286, 2, 27, 7, 7
2021/3/7, 280, 167, 20, 9, 5, 13
2021/3/8, 221, 221, 26, 14, 4, 10
2021/3/9, 205, 202, 26, 14, 4, 12
2021/3/10, 207, 254, 24, 13, 6, 10
2021/3/11, 226, 205, 19, 12, 7, 13
2021/3/12, 215, 124, 21, 15, 6, 11
2021/3/13, 141, 94, 23, 16, 4, 10
2021/3/14, 163, 132, 22, 23, 5, 8
2021/3/15, 177, 375, 21, 22, 8, 7
2021/3/16, 224, 339, 20, 29, 6, 7
2021/3/17, 278, 397, 20, 34, 6, 10
2021/3/18, 291, 496, 16, 21, 6, 8
2021/3/19, 267, 260, 8, 29, 3, 8
2021/3/20, 216, , , , , 
2021/2/1, 215, 318, 22, 40, 2, 9
2021/2/2, 227, 288, 22, 46, 2, 13
2021/2/3, 218, 330, 20, 37, 2, 10
2021/2/4, 232, 374, 15, 25, 7, 15
2021/2/5, 180, 99, 21, 22, 4, 12
2021/2/6, 157, 415, 19, 24, 4, 12
2021/2/7, 197, 251, 23, 26, 4, 17
2021/2/8, 189, 268, 24, 27, 5, 14
2021/2/9, 201, 290, 27, 40, 5, 13
2021/2/10, 243, 328, 26, 35, 4, 15
2021/2/11, 188, 271, 23, 39, 3, 13
2021/2/12, 257, 261, 26, 31, , 8
2021/2/13, 239, 257, 24, 29, , 11
2021/2/14, 232, 343, 26, 34, 1, 10
2021/2/15, 254, 292, 21, 33, 3, 5
2021/2/16, 230, 197, 20, 25, 4, 11
2021/2/17, 183, 287, 19, 35, 4, 10
2021/2/18, 231, 513, 18, 32, 6, 9
2021/2/19, 202, 291, 23, 26, 7, 8
2021/2/20, 172, 159, 21, 24, 9, 8
2021/2/21, 176, 151, 22, 22, 9, 9
2021/2/22, 173, 145, 23, 23, 9, 9
2021/2/23, 167, 127, 22, 25, 10, 9
2021/2/24, 159, 125, 13, 18, 10, 13
2021/2/25, 156, 224, 11, 13, 8, 9
2021/2/26, 168, 131, 8, 15, 10, 10
2021/2/27, 176, 108, 8, 7, 10, 10
2021/2/28, 173, 126, 9, 8, 16, 8
2021/1/4, 364, 396, 14, 14, 3, 10
2021/1/5, 354, 304, 2, 13, 4, 11
2021/1/6, 302, 122, 11, 9, 4, 11
2021/1/7, 176, 193, 14, 17, 5, 12
2021/1/8, 223, 170, 21, 28, 5, 14
2021/1/9, 215, 153, 25, 20, 4, 12
2021/1/10, 196, 155, 29, 23, 2, 13
