date, pm25, pm10, o3, no2, so2, co
2021/4/1, 112, 139, 24, 15, 12, 3
2021/4/2, 142, 156, 31, 17, 26, 8
2021/4/3, 164, 139, 28, 17, 19, 8
2021/4/4, 148, 222, 34, 21, 28, 10
2021/4/5, 187, 228, 37, 11, 14, 8
2021/4/6, 182, 212, 23, 12, 14, 5
2021/4/7, 159, 132, 28, 15, 17, 4
2021/4/8, 138, 201, 25, 17, 28, 9
2021/4/9, 158, 136, 63, 21, 31, 7
2021/4/10, 148, 167, 182, 22, 34, 8
2021/4/11, 157, 221, 65, 25, 38, 6
2021/4/12, 178, 193, 75, 25, 26, 4
2021/4/13, 167, 153, 50, 18, 22, 3
2021/4/14, 145, 168, 49, 23, 15, 4
2021/4/15, 153, 252, 44, 18, 20, 5
2021/4/16, 164, 91, 41, 12, 15, 3
2021/4/17, 111, 131, 68, 14, 22, 5
2021/4/18, 149, 180, 59, 20, 27, 5
2021/4/19, 152, 243, 16, 24, 38, 5
2021/4/20, 189, , , , , 
2021/3/1, 152, 161, 24, , 11, 4
2021/3/2, 148, 198, 32, , 24, 8
2021/3/3, 178, 357, 90, 1, 23, 19
2021/3/4, 284, 174, 44, 25, 17, 7
2021/3/5, 180, 209, 32, 26, 11, 11
2021/3/6, 189, 235, 32, 23, 14, 10
2021/3/7, 212, 171, 32, 14, 7, 7
2021/3/8, 181, 245, 29, 18, 8, 8
2021/3/9, 212, 157, 35, 24, 13, 8
2021/3/10, 157, 211, 28, 25, 11, 12
2021/3/11, 205, 136, 36, 21, 12, 7
2021/3/12, 154, 174, 57, 25, 18, 9
2021/3/13, 193, 131, 34, 22, 16, 5
2021/3/14, 161, 185, 24, 24, 18, 6
2021/3/15, 178, 278, 24, 22, 20, 5
2021/3/16, 172, 314, 26, 25, 16, 7
2021/3/17, 188, 353, 41, 26, 18, 9
2021/3/18, 204, 252, 36, 25, 19, 7
2021/3/19, 187, 214, 32, 25, 10, 7
2021/3/20, 183, 198, 32, 26, 20, 9
2021/3/21, 187, 209, 22, 21, 15, 6
2021/3/22, 159, 240, 15, 21, 24, 5
2021/3/23, 161, 170, 33, 22, 15, 3
2021/3/24, 164, 117, 27, 17, 11, 1
2021/3/25, 127, 143, 32, 19, 13, 4
2021/3/26, 159, 185, 40, 27, 18, 11
2021/3/27, 191, 224, 30, 27, 18, 13
2021/3/28, 212, 172, 28, 17, 9, 11
2021/3/29, 169, 358, 27, 18, 14, 9
2021/3/30, 179, 153, 25, 14, 18, 2
2021/3/31, 118, 202, 24, 11, 13, 2
2021/2/1, 409, 166, 103, , 2, 24
2021/2/2, 273, 181, 9, , 1, 16
2021/2/3, 296, 132, 10, , 3, 8
2021/2/4, 206, 98, 13, , 6, 6
2021/2/5, 160, 114, 27, , 14, 5
2021/2/6, 173, 141, 16, , 10, 8
2021/2/7, 196, 237, 22, , 16, 14
2021/2/8, 270, 299, 16, , 11, 15
2021/2/9, 305, 281, 13, , 8, 16
2021/2/10, 279, 235, 22, , 18, 12
2021/2/11, 263, 322, 19, , 11, 15
2021/2/12, 339, 360, 22, , 12, 24
2021/2/13, 325, 364, 19, , 10, 23
2021/2/14, 331, 270, 22, , 11, 19
2021/2/15, 269, 295, 19, , 14, 15
2021/2/16, 273, 281, 19, , 14, 16
2021/2/17, 258, 214, 18, , 13, 13
2021/2/18, 243, 206, 23, , 9, 13
2021/2/19, 259, 190, 23, , 8, 14
2021/2/20, 232, 195, 16, , 8, 11
2021/2/21, 235, 171, 16, , 8, 12
2021/2/22, 210, 250, 26, , 10, 21
2021/2/23, 210, 378, 36, , 14, 28
2021/2/24, 283, 265, 26, , 11, 15
2021/2/25, 264, 197, 18, 1, 12, 16
2021/2/26, 182, 193, 16, , 26, 9
2021/2/27, 163, 172, 26, , 13, 6
2021/2/28, 165, 156, 24, , 10, 5
2021/1/4, 180, 75, 25, , 12, 7
2021/1/5, 150, 120, 23, , 12, 12
2021/1/6, 201, 137, 21, , 9, 10
2021/1/7, 212, 197, 22, , 12, 11
2021/1/8, 254, 136, 25, , 9, 11
2021/1/9, 213, 112, 24, , 11, 7
2021/1/10, 184, 130, 34, , 19, 9
2021/1/11, 199, 163, 24, , 14, 18
2021/1/12, 239, 260, 20, , 22, 22
2021/1/13, 321, 373, 24, , 15, 33
2021/1/14, 413, 498, 22, , 11, 30
2021/1/15, 482, 445, 29, , 10, 29
2021/1/16, 415, 180, 17, , 5, 16
2021/1/17, 299, 295, 27, , 6, 20
2021/1/18, 307, 306, 29, , 5, 26
2021/1/19, 342, 156, 16, , 2, 12
2021/1/20, 220, 169, 20, , 2, 21
2021/1/21, 216, 164, 16, , 4, 23
2021/1/22, 272, 144, 19, , 4, 12
2021/1/23, 215, 285, 8, , 1, 20
2021/1/24, 338, 223, 20, , 3, 21
2021/1/25, 261, 265, 17, , 4, 25
2021/1/26, 288, 277, 23, , 4, 20
2021/1/27, 271, , , , , 
2020/10/1, 158, 131, 54, 12, 4, 10
2020/10/2, 165, 136, 110, 14, 5, 10
2020/10/3, 169, 139, 78, 14, 4, 10
2020/10/4, 170, 138, 45, 16, 4, 10
2020/10/5, 155, 113, 65, 21, 13, 13
2020/10/6, 157, 144, 27, 39, 12, 13
2020/10/7, 179, 121, 20, 50, 6, 11
2020/10/8, 166, 142, 46, 49, 6, 12
2020/10/9, 171, 131, 36, 44, 5, 11
2020/10/10, 168, 116, 66, 44, 5, 11
2020/10/11, 166, 185, 48, 52, 5, 18
2020/10/12, 211, 132, 16, 43, 3, 16
2020/10/13, 179, 184, 12, 40, 5, 16
2020/10/14, 204, 224, 26, 52, 6, 15
2020/10/15, 233, 168, 28, 59, 7, 15
2020/10/16, 192, 156, 17, 71, 7, 20
2020/10/17, 188, 179, 17, 66, 6, 11
2020/10/18, 177, 157, 16, 83, 6, 16
2020/10/19, 173, 173, 28, 73, 4, 14
2020/10/20, 174, 130, 16, 71, 10, 25
2020/10/21, 167, 202, 19, 87, 9, 26
2020/10/22, 238, 121, 18, 78, 7, 20
2020/10/23, 230, 237, 78, 80, 7, 23
2020/10/24, 268, 127, 24, 84, 5, 31
2020/10/25, 243, 180, 29, 84, 8, 24
2020/10/26, 230, 150, 35, 75, 9, 16
2020/10/27, 195, 280, 21, 86, 9, 28
2020/10/28, 263, 216, 17, 85, 8, 27
2020/10/29, 255, 225, 21, 84, 7, 22
2020/10/30, 255, 217, 18, 82, 6, 16
2020/10/31, 262, 197, 14, 82, 6, 18
2020/11/1, 274, 295, 48, 89, 11, 27
2020/11/2, 266, 227, 29, 87, 24, 28
2020/11/3, 207, 428, 21, 63, 14, 33
2020/11/4, 357, 352, 47, 51, 13, 30
2020/11/5, 326, 355, 41, 48, 17, 28
2020/11/6, 314, 410, 31, 42, 17, 30
2020/11/7, 350, 524, 30, 46, 19, 22
2020/11/8, 429, 685, 28, 51, 16, 35
2020/11/9, 503, 675, 23, 38, 24, 35
2020/11/10, 488, 355, 17, 22, 16, 32
2020/11/11, 282, 281, 21, 7, 19, 35
2020/11/12, 253, 368, 131, , 22, 32
2020/11/13, 320, 658, 63, 1, 37, 31
2020/11/14, 488, 343, 27, , 11, 16
2020/11/15, 503, 100, 24, 50, 8, 10
2020/11/16, 159, 115, 27, 49, 12, 10
2020/11/17, 160, 156, 36, 61, 19, 11
2020/11/18, 191, 172, 31, 64, 20, 11
2020/11/19, 209, 195, 37, 70, 21, 11
2020/11/20, 236, 150, 53, 57, 21, 11
2020/11/21, 179, 147, 33, 74, 20, 14
2020/11/22, 203, 303, 41, 90, 17, 35
2020/11/23, 272, 382, 27, 96, 21, 27
2020/11/24, 341, 360, 19, 82, 19, 17
2020/11/25, 346, 117, 74, 52, 25, 10
2020/11/26, 169, 121, 25, 60, 21, 9
2020/11/27, 164, 148, 17, 70, 10, 12
2020/11/28, 187, 216, 79, 83, 16, 23
2020/11/29, 224, 301, 141, 88, 23, 32
2020/11/30, 274, 327, 105, 95, 16, 34
2020/12/1, 321, 215, 103, 91, 16, 27
2020/12/2, 279, 245, 36, 95, 11, 28
2020/12/3, 248, 349, 47, 86, 16, 30
2020/12/4, 353, 256, 31, 65, 10, 14
2020/12/5, 324, 242, 29, 67, 7, 16
2020/12/6, 308, 296, 36, 83, 8, 20
2020/12/7, 349, 297, 38, 43, 13, 28
2020/12/8, 330, 328, 29, 5, 15, 30
2020/12/9, 324, 172, 19, , 14, 11
2020/12/10, 213, 198, 14, , 13, 13
2020/12/11, 235, 244, 17, , 8, 15
2020/12/12, 343, 137, 16, , 7, 6
2020/12/13, 213, 128, 14, , 8, 3
2020/12/14, 187, 156, 17, , 9, 7
2020/12/15, 223, 130, 16, , 12, 6
2020/12/16, 194, 132, 21, , 8, 6
2020/12/17, 200, 145, 20, , 10, 9
2020/12/18, 200, 151, 31, , 11, 11
2020/12/19, 207, 180, 49, , 13, 14
2020/12/20, 235, 274, 113, , 15, 21
2020/12/21, 293, 513, 65, , 17, 31
2020/12/22, 458, 452, 110, , 12, 32
2020/12/23, 404, 401, 46, , 14, 26
2020/12/24, 392, 200, 45, , 13, 14
2020/12/25, 250, 241, 20, , 10, 16
2020/12/26, 276, 203, 21, , 9, 9
2020/12/27, 258, 175, 22, , 21, 5
2020/12/28, 180, 159, 21, , 18, 7
2020/12/29, 191, 163, 14, , 10, 8
2020/12/30, 245, 310, 18, , 10, 17
2020/12/31, 389, 588, 18, , 13, 34
2021/1/1, 510, 257, 14, , 10, 16
2021/1/2, 338, 90, 16, , 8, 8
2021/1/3, 186, 94, 28, , 15, 7
2020/7/1, 136, 103, 61, 7, 7, 8
2020/7/2, 150, 102, 45, 8, 7, 8
2020/7/3, 150, 74, 38, 6, 6, 7
2020/7/4, 121, 43, 37, 2, 8, 6
2020/7/5, 76, 66, 29, 4, 5, 6
2020/7/6, 127, 40, 13, 3, 5, 5
2020/7/7, 61, 48, 25, 5, 4, 7
2020/7/8, 79, 70, 51, 7, 5, 7
2020/7/9, 117, 65, 62, 6, 6, 6
2020/7/10, 85, 51, 41, 5, 5, 5
2020/7/11, 76, 51, 98, 3, 11, 5
2020/7/12, 72, 92, 62, 6, 9, 6
2020/7/13, 107, 112, 71, 6, 7, 7
2020/7/14, 119, 71, 37, 4, 6, 6
2020/7/15, 108, 62, 25, 4, 7, 6
2020/7/16, 94, 67, 27, 4, 5, 6
2020/7/17, 128, 60, 24, 3, 6, 6
2020/7/18, 101, 53, 77, 6, 9, 8
2020/7/19, 91, 47, 65, 7, 7, 7
2020/7/20, 66, 36, 42, 6, 7, 6
2020/7/21, 68, 53, 28, 8, 6, 7
2020/7/22, 96, 74, 55, 9, 9, 8
2020/7/23, 127, 70, 33, 5, 9, 6
2020/7/24, 117, 50, 23, 3, 6, 6
2020/7/25, 85, 75, 46, 6, 10, 10
2020/7/26, 129, 84, 41, 8, 9, 9
2020/7/27, 117, 71, 75, 5, 9, 7
2020/7/28, 87, 53, 40, 1, 14, 6
2020/7/29, 75, , , , , 
2020/7/31, 80, 44, 39, , 9, 5
2020/8/1, 81, , , , , 
2020/8/4, 80, 74, 27, 2, 16, 10
2020/8/5, 125, 59, 1, , 2, 5
2020/8/6, 42, 30, 12, , 14, 4
2020/8/7, 56, , , , , 
2020/8/10, 89, 60, 46, 1, 8, 9
2020/8/11, 112, 63, , 2, 3, 10
2020/8/12, 78, 24, 21, 3, 13, 10
2020/8/13, 49, 38, 26, 19, 7, 9
2020/8/14, 65, 50, 23, , 5, 7
2020/8/15, 93, 39, 30, , 5, 6
2020/8/16, 71, 48, 32, 2, 6, 9
2020/8/17, 93, 52, 25, 2, 9, 8
2020/8/18, 84, 35, 28, 2, 8, 9
2020/8/19, 69, 26, 30, 3, 5, 7
2020/8/20, 60, 38, 72, 11, 8, 8
2020/8/21, 50, 37, 20, 2, 2, 6
2020/8/22, 42, 32, 27, 2, 6, 5
2020/8/23, 53, 33, 25, 3, 5, 5
2020/8/24, 50, 38, 28, 3, 5, 6
2020/8/25, 53, 47, 33, 5, 6, 7
2020/8/26, 62, 62, 47, 5, 8, 10
2020/8/27, 97, 57, 58, 21, 16, 11
2020/8/28, 108, 60, 18, 11, 7, 8
2020/8/29, 100, 36, 17, 6, 5, 5
2020/8/30, 49, 24, 16, 7, 5, 5
2020/8/31, 31, 42, 17, 9, 7, 6
2020/9/1, 53, 61, 30, 11, 6, 7
2020/9/2, 82, 63, 21, 8, 5, 7
2020/9/3, 96, 62, 22, 9, 5, 7
2020/9/4, 108, 69, 31, 15, 7, 9
2020/9/5, 120, 65, 37, 11, 6, 8
2020/9/6, 130, 75, 88, 17, 9, 10
2020/9/7, 128, 76, 78, 39, 19, 8
2020/9/8, 113, 91, 225, 10, 6, 9
2020/9/9, 139, 84, 121, 10, 5, 8
2020/9/10, 132, 105, 42, 12, 5, 9
2020/9/11, 148, 111, 19, 10, 15, 9
2020/9/12, 153, 97, 18, 7, 9, 8
2020/9/13, 154, 116, 196, 11, 7, 10
2020/9/14, 164, 113, 97, 12, 6, 11
2020/9/15, 162, 117, 51, 11, 6, 10
2020/9/16, 159, 93, 88, 7, 6, 8
2020/9/17, 135, 89, 107, 10, 5, 9
2020/9/18, 128, 100, 37, 8, 4, 8
2020/9/19, 149, 115, 152, 8, 5, 9
2020/9/20, 165, 113, 61, 7, 4, 9
2020/9/21, 161, 69, 17, 6, 4, 8
2020/9/22, 96, 57, 15, 4, 3, 6
2020/9/23, 68, 70, 22, 6, 5, 7
2020/9/24, 98, 100, 64, 10, 5, 9
2020/9/25, 130, 128, 45, 14, 4, 12
2020/9/26, 156, 93, 53, 9, 4, 8
2020/9/27, 113, 136, 54, 12, 5, 11
2020/9/28, 155, 137, 116, 10, 4, 9
2020/9/29, 160, 119, 101, 10, 4, 8
2020/9/30, 148, 140, 83, 12, 4, 10
2020/4/1, 104, , 151, 9, 9, 4
2020/4/2, 85, , 195, 11, 28, 5
2020/4/3, 71, , 313, 12, 31, 6
2020/4/4, 100, , 74, 12, 20, 7
2020/4/5, 136, , 79, 12, 26, 8
2020/4/6, 145, , 86, 10, 19, 4
2020/4/7, 87, , 133, 10, 29, 5
2020/4/8, 87, , 37, 10, 12, 5
2020/4/9, 87, , 68, 12, 21, 7
2020/4/10, 127, , 93, 13, 27, 9
2020/4/11, 156, , 164, 10, 23, 5
2020/4/12, 89, , 213, 13, 27, 7
2020/4/13, 151, 114, 58, 14, 19, 7
2020/4/14, 126, 125, 29, 13, 10, 8
2020/4/15, 137, 156, 31, 15, 12, 10
2020/4/16, 159, 73, 16, 16, 10, 5
2020/4/17, 88, 71, 17, 13, 8, 5
2020/4/18, 84, 56, 13, 18, 9, 6
2020/4/19, 98, 80, 17, 15, 9, 7
2020/4/20, 118, 69, 18, 19, 11, 6
2020/4/21, 114, 106, 16, 17, 12, 8
2020/4/22, 145, 83, 18, 14, 10, 7
2020/4/23, 119, 87, 13, 12, 7, 7
2020/4/24, 134, 63, 16, 10, 7, 5
2020/4/25, 80, 77, 16, 10, 7, 6
2020/4/26, 109, 43, 18, 8, 6, 5
2020/4/27, 81, 65, 11, 9, 6, 6
2020/4/28, 116, 74, 28, 9, 7, 6
2020/4/29, 138, 77, 15, 8, 6, 6
2020/4/30, 133, 89, 37, 7, 6, 6
2020/5/1, 145, 71, 10, 6, 5, 5
2020/5/2, 99, 58, 14, 8, 6, 5
2020/5/3, 101, 49, 25, 15, 9, 5
2020/5/4, 82, 87, 20, 15, 13, 8
2020/5/5, 139, 98, 15, 13, 7, 7
2020/5/6, 136, 59, 22, 11, 8, 6
2020/5/7, 86, 76, 21, 9, 5, 6
2020/5/8, 124, 78, 18, 6, 6, 6
2020/5/9, 135, 115, 20, 8, 5, 5
2020/5/10, 112, 61, 33, 8, 7, 6
2020/5/11, 118, 61, 30, 9, 9, 6
2020/5/12, 118, 100, 27, 10, 10, 7
2020/5/13, 154, 83, 184, 10, 17, 7
2020/5/14, 137, 81, 118, 17, 20, 6
2020/5/15, 126, 98, 147, 16, 20, 7
2020/5/16, 140, 108, 500, 12, 23, 8
2020/5/17, 156, 130, 216, 13, 26, 9
2020/5/18, 169, 146, 98, 15, 22, 11
2020/5/19, 180, 109, 154, 15, 24, 7
2020/5/20, 135, 113, 60, 19, 13, 7
2020/5/21, 123, 134, 57, 25, 11, 11
2020/5/22, 166, 136, 105, 20, 14, 8
2020/5/23, 157, 145, 500, 13, 26, 8
2020/5/24, 149, 113, 247, 12, 27, 8
2020/5/25, 136, 119, 54, 14, 10, 9
2020/5/26, 128, 106, 40, 8, 9, 6
2020/5/27, 115, 143, 26, 4, 8, 5
2020/5/28, 100, 52, 22, 5, 6, 5
2020/5/29, 77, 37, 22, 4, 6, 4
2020/5/30, 70, 33, 22, 5, 15, 4
2020/5/31, 73, 72, 23, 8, 10, 8
2020/6/1, 135, 73, 30, 7, 8, 7
2020/6/2, 123, 94, 31, 9, 11, 8
2020/6/3, 150, 103, 22, 10, 13, 9
2020/6/4, 151, 68, 27, 6, 9, 7
2020/6/5, 125, 61, 24, 5, 6, 6
2020/6/6, 93, 69, 22, 6, 10, 6
2020/6/7, 114, 82, 59, 8, 15, 7
2020/6/8, 138, 103, 81, 10, 14, 8
2020/6/9, 151, 117, 71, 13, 15, 9
2020/6/10, 150, 102, 47, 10, 18, 8
2020/6/11, 142, 100, 52, 8, 9, 8
2020/6/12, 152, 107, 28, 8, 9, 8
2020/6/13, 144, 117, 29, 9, 12, 10
2020/6/14, 157, 95, 46, 9, 8, 7
2020/6/15, 133, 80, 43, 7, 8, 6
2020/6/16, 101, 71, 33, 5, 2, 6
2020/6/17, 88, 76, 63, 6, 2, 7
2020/6/18, 99, 153, 11, 7, 4, 8
2020/6/19, 154, 89, 31, 8, 8, 6
