date, pm25, pm10, o3, no2, so2, co
2021/4/1, 104, 125, 46, 6, 10, 5
2021/4/2, 130, 140, 45, 6, 15, 8
2021/4/3, 148, 173, 61, 7, 14, 10
2021/4/4, 169, 165, 51, 3, 15, 8
2021/4/5, 157, 191, 72, 1, 10, 8
2021/4/6, 170, 205, 63, 2, 8, 9
2021/4/7, 167, 124, 75, 4, 8, 6
2021/4/8, 126, 120, 45, 3, 12, 7
2021/4/9, 129, 149, 63, 4, 14, 7
2021/4/10, 143, 180, 54, 5, 17, 7
2021/4/11, 159, 228, 66, 9, 23, 9
2021/4/12, 183, 197, 61, 3, 12, 7
2021/4/13, 145, 211, 64, 3, 16, 6
2021/4/14, 151, 186, 60, 10, 11, 6
2021/4/15, 149, 275, 52, 12, 14, 7
2021/4/16, 159, 81, 49, 9, 7, 4
2021/4/17, 99, 136, 61, 9, 10, 5
2021/4/18, 135, 160, 66, 18, 14, 7
2021/4/19, 150, 151, 60, 16, 18, 8
2021/4/20, 176, , , , , 
2021/3/1, 159, 146, 39, 11, 2, 4
2021/3/2, 137, 144, 54, 16, 8, 8
2021/3/3, 161, 164, 41, 18, 10, 11
2021/3/4, 177, 160, 51, 14, 13, 9
2021/3/5, 174, 155, 72, 9, 15, 9
2021/3/6, 198, 154, 27, 5, 12, 11
2021/3/7, 173, 155, 43, 3, 11, 11
2021/3/8, 184, 188, 49, 4, 11, 11
2021/3/9, 198, 98, 40, 10, 10, 8
2021/3/10, 129, 174, 46, 17, 12, 12
2021/3/11, 197, 123, 22, 12, 10, 8
2021/3/12, 172, 103, 58, 14, 13, 7
2021/3/13, 161, 137, 57, 19, 16, 9
2021/3/14, 170, 151, 44, 11, 13, 7
2021/3/15, 171, 286, 42, 15, 12, 8
2021/3/16, 177, 322, 75, 20, 14, 10
2021/3/17, 194, 258, 59, 25, 19, 9
2021/3/18, 186, 217, 55, 20, 18, 9
2021/3/19, 183, 169, 63, 20, 18, 9
2021/3/20, 180, 185, 52, 16, 18, 9
2021/3/21, 185, 156, 39, 8, 9, 7
2021/3/22, 164, 172, 36, 7, 6, 5
2021/3/23, 132, 115, 57, 9, 7, 5
2021/3/24, 131, 119, 42, 10, 8, 4
2021/3/25, 128, 121, 58, 13, 9, 7
2021/3/26, 150, 177, 74, 10, 15, 11
2021/3/27, 184, 206, 61, 7, 17, 14
2021/3/28, 209, 147, 47, 2, 14, 9
2021/3/29, 171, 309, 36, 3, 7, 6
2021/3/30, 171, 148, 44, 4, 6, 4
2021/3/31, 121, 218, 40, 5, 6, 3
2021/2/1, 251, 234, 45, 2, 12, 19
2021/2/2, 246, 164, 36, 1, 7, 17
2021/2/3, 214, 113, 29, , 6, 12
2021/2/4, 166, 58, 30, 1, 6, 8
2021/2/5, 98, 111, 32, 2, 9, 11
2021/2/6, 163, 133, 36, 2, 8, 14
2021/2/7, 173, 184, 53, 3, 12, 19
2021/2/8, 218, 199, 47, 3, 10, 23
2021/2/9, 227, 166, 45, 2, 8, 19
2021/2/10, 210, 167, 50, 2, 15, 18
2021/2/11, 205, 183, 39, 1, 11, 17
2021/2/12, 238, 132, 15, 1, 6, 23
2021/2/13, 205, 144, 45, 1, 8, 24
2021/2/14, 214, 211, 43, 1, 10, 21
2021/2/15, 236, 167, 27, 1, 11, 15
2021/2/16, 223, 170, 43, 1, 15, 16
2021/2/17, 227, 174, 48, 1, 20, 15
2021/2/18, 221, 176, 34, 1, 13, 16
2021/2/19, 255, 132, 54, 1, 10, 14
2021/2/20, 202, 182, 65, 2, 12, 13
2021/2/21, 225, 166, 55, 1, 10, 11
2021/2/22, 198, 149, 42, 3, 10, 11
2021/2/23, 178, 201, 88, 3, 17, 13
2021/2/24, 215, 174, 53, 10, 13, 14
2021/2/25, 187, 148, 38, 15, 8, 16
2021/2/26, 163, 145, 32, 12, 14, 11
2021/2/27, 160, 146, 38, 12, 5, 7
2021/2/28, 158, 131, 42, 9, 2, 5
2021/1/4, 162, 70, 24, 6, 3, 6
2021/1/5, 144, 93, 18, 10, 2, 7
2021/1/6, 177, 109, 24, 8, 4, 4
2021/1/7, 185, 111, 10, 9, 8, 6
2021/1/8, 183, 141, 22, 14, 7, 7
2021/1/9, 212, 131, 26, 12, 5, 4
2021/1/10, 189, 136, 23, 13, 5, 5
2021/1/11, 189, 151, 24, 16, 3, 9
2021/1/12, 221, 202, 36, 12, 5, 11
2021/1/13, 266, 257, 30, 11, 7, 19
2021/1/14, 302, 430, 15, 10, 8, 28
2021/1/15, 416, 270, 22, 6, 5, 24
2021/1/16, 337, 139, 22, 1, 2, 12
2021/1/17, 240, 166, 21, 2, 4, 14
2021/1/18, 237, 217, 37, 2, 11, 15
2021/1/19, 272, 156, 32, , 6, 8
2021/1/20, 216, 147, 40, 1, 6, 10
2021/1/21, 199, 124, 16, 2, 4, 11
2021/1/22, 206, 123, 24, 1, 4, 11
2021/1/23, 204, 225, 8, 2, 5, 14
2021/1/24, 287, 198, 10, 1, 6, 11
2021/1/25, 256, 149, 24, 3, 5, 15
2021/1/26, 220, 168, 37, 2, 7, 13
2021/1/27, 224, 159, 14, 1, 4, 16
2021/1/28, 225, 173, 34, 3, 6, 16
2021/1/29, 227, 188, 35, 3, 7, 10
2021/1/30, 206, 241, 43, 3, 10, 15
2021/1/31, 262, 207, 35, 2, 7, 16
2020/10/1, 157, 150, 58, 19, 11, 4
2020/10/2, 164, 148, 48, 14, 14, 4
2020/10/3, 172, 142, 43, 8, 14, 5
2020/10/4, 166, 171, 49, 4, 11, 7
2020/10/5, 165, 179, 46, 14, 11, 7
2020/10/6, 165, 180, 64, 22, 16, 6
2020/10/7, 196, 168, 47, 26, 12, 6
2020/10/8, 192, 225, 41, 27, 13, 5
2020/10/9, 195, 177, 46, 25, 11, 5
2020/10/10, 199, 184, 47, 26, 11, 5
2020/10/11, 201, 204, 46, 23, 12, 6
2020/10/12, 212, 148, 41, 9, 7, 5
2020/10/13, 182, 165, 41, 13, 7, 5
2020/10/14, 190, 165, 40, 24, 11, 5
2020/10/15, 202, 160, 51, 23, 14, 5
2020/10/16, 198, 188, 46, 32, 17, 3
2020/10/17, 216, 202, 58, 31, 13, 4
2020/10/18, 207, 206, 51, 31, 17, 6
2020/10/19, 189, 161, 41, 31, 9, 5
2020/10/20, 177, 176, 47, 30, 8, 7
2020/10/21, 189, 207, 46, 27, 11, 8
2020/10/22, 219, 226, 49, 21, 12, 7
2020/10/23, 269, 237, 34, 37, 11, 8
2020/10/24, 232, 269, 49, 37, 18, 9
2020/10/25, 285, 241, 57, 34, 16, 6
2020/10/26, 271, 258, 45, 35, 19, 8
2020/10/27, 253, 245, 52, 44, 17, 10
2020/10/28, 245, 210, 46, 35, 12, 8
