Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
12/03/2020,Delhi,6,6,0,0
13/03/2020,Delhi,6,6,0,0
14/03/2020,Delhi,7,5,1,1
15/03/2020,Delhi,7,4,2,1
16/03/2020,Delhi,7,4,2,1
17/03/2020,Delhi,8,5,2,1
18/03/2020,Delhi,10,7,2,1
19/03/2020,Delhi,12,9,2,1
20/03/2020,Delhi,17,13,3,1
21/03/2020,Delhi,26,20,5,1
22/03/2020,Delhi,29,23,5,1
23/03/2020,Delhi,29,23,5,1
24/03/2020,Delhi,31,24,6,1
25/03/2020,Delhi,30,22,6,2
26/03/2020,Delhi,35,28,6,1
27/03/2020,Delhi,36,29,6,1
28/03/2020,Delhi,39,32,6,1
29/03/2020,Delhi,39,31,6,2
30/03/2020,Delhi,53,45,6,2
31/03/2020,Delhi,97,89,6,2
01/04/2020,Delhi,120,112,6,2
02/04/2020,Delhi,152,144,6,2
03/04/2020,Delhi,219,207,8,4
04/04/2020,Delhi,386,372,8,6
05/04/2020,Delhi,445,424,15,6
06/04/2020,Delhi,503,478,18,7
07/04/2020,Delhi,523,497,19,7
08/04/2020,Delhi,576,546,21,9
09/04/2020,Delhi,669,639,21,9
10/04/2020,Delhi,720,683,25,12
11/04/2020,Delhi,903,865,25,13
12/04/2020,Delhi,1069,1025,25,19
13/04/2020,Delhi,1154,1103,27,24
14/04/2020,Delhi,1510,1452,30,28
15/04/2020,Delhi,1561,1501,30,30
16/04/2020,Delhi,1578,1506,40,32
17/04/2020,Delhi,1640,1551,51,38
18/04/2020,Delhi,1707,1593,72,42
19/04/2020,Delhi,1893,1779,72,42
20/04/2020,Delhi,2003,1886,72,45
21/04/2020,Delhi,2081,1603,431,47
22/04/2020,Delhi,2156,1498,611,47
23/04/2020,Delhi,2248,1476,724,48
24/04/2020,Delhi,2376,1518,808,50
25/04/2020,Delhi,2514,1604,857,53
26/04/2020,Delhi,2625,1702,869,54
27/04/2020,Delhi,2918,1987,877,54
28/04/2020,Delhi,3108,2177,877,54
29/04/2020,Delhi,3314,2182,1078,54
30/04/2020,Delhi,3439,2291,1092,56
01/05/2020,Delhi,3515,2362,1094,59
02/05/2020,Delhi,3738,2510,1167,61
03/05/2020,Delhi,4122,2802,1256,64
04/05/2020,Delhi,4549,3123,1362,64
05/05/2020,Delhi,4898,3403,1431,64
06/05/2020,Delhi,5104,3572,1468,64
07/05/2020,Delhi,5532,3925,1542,65
08/05/2020,Delhi,5980,3983,1931,66
09/05/2020,Delhi,6318,4230,2020,68
