Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
12-03-2020,Haryana,14,14,0,0
13-03-2020,Haryana,14,14,0,0
14-03-2020,Haryana,14,14,0,0
15-03-2020,Haryana,14,14,0,0
16-03-2020,Haryana,14,14,0,0
17-03-2020,Haryana,15,15,0,0
18-03-2020,Haryana,16,16,0,0
19-03-2020,Haryana,17,17,0,0
20-03-2020,Haryana,17,17,0,0
21-03-2020,Haryana,17,17,0,0
22-03-2020,Haryana,21,21,0,0
23-03-2020,Haryana,26,26,0,0
24-03-2020,Haryana,26,15,11,0
25-03-2020,Haryana,28,17,11,0
26-03-2020,Haryana,30,19,11,0
27-03-2020,Haryana,30,19,11,0
28-03-2020,Haryana,33,21,12,0
29-03-2020,Haryana,33,21,12,0
30-03-2020,Haryana,33,16,17,0
31-03-2020,Haryana,40,19,21,0
01-04-2020,Haryana,43,22,21,0
02-04-2020,Haryana,43,22,21,0
03-04-2020,Haryana,43,22,21,0
04-04-2020,Haryana,49,25,24,0
05-04-2020,Haryana,49,25,24,0
06-04-2020,Haryana,84,58,25,1
07-04-2020,Haryana,90,64,25,1
08-04-2020,Haryana,147,116,28,3
09-04-2020,Haryana,147,116,28,3
10-04-2020,Haryana,169,137,29,3
11-04-2020,Haryana,177,145,29,3
12-04-2020,Haryana,177,145,29,3
13-04-2020,Haryana,185,153,29,3
14-04-2020,Haryana,185,153,29,3
15-04-2020,Haryana,199,162,34,3
16-04-2020,Haryana,205,159,43,3
17-04-2020,Haryana,205,159,43,3
18-04-2020,Haryana,225,179,43,3
19-04-2020,Haryana,225,179,43,3
20-04-2020,Haryana,233,143,87,3
21-04-2020,Haryana,254,124,127,3
22-04-2020,Haryana,254,124,127,3
23-04-2020,Haryana,262,119,140,3
24-04-2020,Haryana,272,113,156,3
25-04-2020,Haryana,272,113,156,3
26-04-2020,Haryana,289,110,176,3
27-04-2020,Haryana,289,110,176,3
28-04-2020,Haryana,296,110,183,3
29-04-2020,Haryana,310,98,209,3
30-04-2020,Haryana,310,98,209,3
01-05-2020,Haryana,313,101,209,3
02-05-2020,Haryana,360,129,227,4
03-05-2020,Haryana,360,129,227,4
04-05-2020,Haryana,442,192,245,5
05-05-2020,Haryana,517,257,254,6
06-05-2020,Haryana,548,286,256,6
07-05-2020,Haryana,594,327,260,7
08-05-2020,Haryana,625,358,260,7
09-05-2020,Haryana,647,360,279,8
10-05-2020,Haryana,675,376,290,9
11-05-2020,Haryana,703,393,300,10
12-05-2020,Haryana,730,382,337,11
13-05-2020,Haryana,780,427,342,11
14-05-2020,Haryana,793,364,418,11
15-05-2020,Haryana,818,368,439,11
16-05-2020,Haryana,818,368,439,11
17-05-2020,Haryana,887,360,514,13
18-05-2020,Haryana,910,334,562,14
19-05-2020,Haryana,928,316,598,14
20-05-2020,Haryana,964,323,627,14
21-05-2020,Haryana,993,331,648,14
22-05-2020,Haryana,1031,335,681,15
23-05-2020,Haryana,1067,345,706,16
24-05-2020,Haryana,1131,365,750,16
25-05-2020,Haryana,1184,403,765,16
26-05-2020,Haryana,1184,403,765,16
27-05-2020,Haryana,1305,464,824,17
28-05-2020,Haryana,1381,525,838,18
29-05-2020,Haryana,1504,604,881,19
30-05-2020,Haryana,1721,762,940,19
31-05-2020,Haryana,1923,932,971,20
01-06-2020,Haryana,2091,1023,1048,20
