Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
12-03-2020,Maharashtra,11,11,0,0
13-03-2020,Maharashtra,11,11,0,0
14-03-2020,Maharashtra,14,14,0,0
15-03-2020,Maharashtra,31,31,0,0
16-03-2020,Maharashtra,32,32,0,0
17-03-2020,Maharashtra,39,38,0,1
18-03-2020,Maharashtra,41,40,0,1
19-03-2020,Maharashtra,45,44,0,1
20-03-2020,Maharashtra,47,46,0,1
21-03-2020,Maharashtra,52,51,0,1
22-03-2020,Maharashtra,67,65,0,2
23-03-2020,Maharashtra,74,72,0,2
24-03-2020,Maharashtra,87,85,0,2
25-03-2020,Maharashtra,89,87,0,2
26-03-2020,Maharashtra,124,120,1,3
27-03-2020,Maharashtra,130,111,15,4
28-03-2020,Maharashtra,180,150,25,5
29-03-2020,Maharashtra,186,155,25,6
30-03-2020,Maharashtra,193,160,25,8
31-03-2020,Maharashtra,216,168,39,9
01-04-2020,Maharashtra,302,254,39,9
02-04-2020,Maharashtra,335,280,42,13
03-04-2020,Maharashtra,335,277,42,16
04-04-2020,Maharashtra,423,362,42,19
05-04-2020,Maharashtra,490,424,42,24
06-04-2020,Maharashtra,690,603,42,45
07-04-2020,Maharashtra,748,647,56,45
08-04-2020,Maharashtra,1018,875,79,64
09-04-2020,Maharashtra,1135,946,117,72
10-04-2020,Maharashtra,1364,1142,125,97
11-04-2020,Maharashtra,1574,1276,188,110
12-04-2020,Maharashtra,1761,1426,208,127
13-04-2020,Maharashtra,1985,1619,217,149
14-04-2020,Maharashtra,2334,1957,217,160
15-04-2020,Maharashtra,2687,2250,259,178
16-04-2020,Maharashtra,2916,2434,295,187
17-04-2020,Maharashtra,3205,2711,300,194
18-04-2020,Maharashtra,3323,2791,331,201
19-04-2020,Maharashtra,3651,3075,365,211
20-04-2020,Maharashtra,4203,3473,507,223
21-04-2020,Maharashtra,4666,3862,572,232
22-04-2020,Maharashtra,5218,4245,722,251
23-04-2020,Maharashtra,5652,4594,789,269
24-04-2020,Maharashtra,6430,5307,840,283
25-04-2020,Maharashtra,6817,5676,840,301
26-04-2020,Maharashtra,7628,6229,1076,323
