Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
12-03-2020,Uttar Pradesh,11,11,0,0
13-03-2020,Uttar Pradesh,11,11,0,0
14-03-2020,Uttar Pradesh,12,7,5,0
15-03-2020,Uttar Pradesh,12,8,4,0
16-03-2020,Uttar Pradesh,13,9,4,0
17-03-2020,Uttar Pradesh,15,10,5,0
18-03-2020,Uttar Pradesh,16,11,5,0
19-03-2020,Uttar Pradesh,17,12,5,0
20-03-2020,Uttar Pradesh,19,10,9,0
21-03-2020,Uttar Pradesh,24,15,9,0
22-03-2020,Uttar Pradesh,27,18,9,0
23-03-2020,Uttar Pradesh,31,22,9,0
24-03-2020,Uttar Pradesh,33,24,9,0
25-03-2020,Uttar Pradesh,33,22,11,0
26-03-2020,Uttar Pradesh,37,26,11,0
27-03-2020,Uttar Pradesh,41,30,11,0
28-03-2020,Uttar Pradesh,55,44,11,0
29-03-2020,Uttar Pradesh,55,44,11,0
30-03-2020,Uttar Pradesh,75,64,11,0
31-03-2020,Uttar Pradesh,101,87,14,0
01-04-2020,Uttar Pradesh,103,89,14,0
02-04-2020,Uttar Pradesh,113,97,14,2
03-04-2020,Uttar Pradesh,113,97,14,2
04-04-2020,Uttar Pradesh,174,153,19,2
05-04-2020,Uttar Pradesh,227,206,19,2
06-04-2020,Uttar Pradesh,227,206,19,2
07-04-2020,Uttar Pradesh,305,281,21,3
08-04-2020,Uttar Pradesh,326,302,21,3
09-04-2020,Uttar Pradesh,361,330,27,4
10-04-2020,Uttar Pradesh,410,375,31,4
11-04-2020,Uttar Pradesh,431,395,32,4
12-04-2020,Uttar Pradesh,452,402,45,5
13-04-2020,Uttar Pradesh,483,432,46,5
14-04-2020,Uttar Pradesh,558,504,49,5
15-04-2020,Uttar Pradesh,660,605,50,5
16-04-2020,Uttar Pradesh,735,673,51,11
17-04-2020,Uttar Pradesh,805,718,74,13
18-04-2020,Uttar Pradesh,849,753,82,14
19-04-2020,Uttar Pradesh,969,869,86,14
20-04-2020,Uttar Pradesh,1084,959,108,17
21-04-2020,Uttar Pradesh,1184,1026,140,18
22-04-2020,Uttar Pradesh,1294,1134,140,20
23-04-2020,Uttar Pradesh,1449,1255,173,21
24-04-2020,Uttar Pradesh,1510,1280,206,24
25-04-2020,Uttar Pradesh,1621,1349,247,25
26-04-2020,Uttar Pradesh,1793,1505,261,27
27-04-2020,Uttar Pradesh,1868,1550,289,29
28-04-2020,Uttar Pradesh,1955,1589,335,31
29-04-2020,Uttar Pradesh,2053,1557,462,34
30-04-2020,Uttar Pradesh,2134,1585,510,39
01-05-2020,Uttar Pradesh,2203,1651,513,39
02-05-2020,Uttar Pradesh,2328,1632,654,42
03-05-2020,Uttar Pradesh,2487,1755,689,43
04-05-2020,Uttar Pradesh,2645,1848,754,43
